taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2476860	Metallura tyrianthina (Loddiges, 1832)	2476860	Metallura tyrianthina (Loddiges, 1832)	32	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Metallura	2476858	Metallura tyrianthina	2476860	LC
6170402	Piaya cayana nigricrissa (Cabanis, 1862)	6170402	Piaya cayana nigricrissa (Cabanis, 1862)	3	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Cuculiformes	1492	Cuculidae	9309	Piaya	2496427	Piaya cayana	2496432	
2488179	Tangara arthus R.Lesson, 1832	2488179	Tangara arthus R.Lesson, 1832	9567	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Tangara	2488096	Tangara arthus	2488179	LC
2489133	Progne chalybea (Gmelin, 1789)	2489133	Progne chalybea (Gmelin, 1789)	237	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Progne	2489127	Progne chalybea	2489133	LC
8009306	Clibanornis rubiginosus (P.L.Sclater, 1857)	5230262	Automolus rubiginosus (P.L.Sclater, 1857)	307	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Automolus	2485730	Automolus rubiginosus	5230262	LC
10930571	Dendroma rufa (Vieillot, 1818)	2485712	Philydor rufum (Vieillot, 1818)	4596	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Philydor	2485696	Philydor rufum	2485712	NE
6172682	Pheucticus chrysogaster chrysogaster	6172682	Pheucticus chrysogaster chrysogaster	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Pheucticus	2490486	Pheucticus chrysogaster	2490491	
2481071	Herpetotheres cachinnans (Linnaeus, 1758)	2481071	Herpetotheres cachinnans (Linnaeus, 1758)	1009	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Falconiformes	7191407	Falconidae	5240	Herpetotheres	2481070	Herpetotheres cachinnans	2481071	LC
2481930	Cathartes aura (Linnaeus, 1758)	2481930	Cathartes aura (Linnaeus, 1758)	6494	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Cathartidae	3242141	Cathartes	2481927	Cathartes aura	2481930	LC
2482947	Myiopagis viridicata (Vieillot, 1817)	2482947	Myiopagis viridicata (Vieillot, 1817)	75	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Myiopagis	2482944	Myiopagis viridicata	2482947	LC
2488315	Chlorophonia cyanea (Thunberg, 1822)	2488315	Chlorophonia cyanea (Thunberg, 1822)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Chlorophonia	2488311	Chlorophonia cyanea	2488315	LC
2491356	Sporophila corvina (P.L.Sclater, 1860)	2491356	Sporophila corvina (P.L.Sclater, 1860)	5054	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Sporophila	2491308	Sporophila corvina	2491356	LC
6093898	Taraba major transandeanus (P.L.Sclater, 1855)	6093898	Taraba major transandeanus (P.L.Sclater, 1855)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thamnophilidae	5286	Taraba	2490223	Taraba major	2490224	
6101060	Tolmomyias flavotectus (Hartert & Ejo, 1902)	6174946	Tolmomyias assimilis flavotectus (Hartert, 1902)	31	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Tolmomyias	2482872	Tolmomyias assimilis	2482899	LC
6172291	Tangara gyrola nupera Bangs, 1917	6172291	Tangara gyrola nupera Bangs, 1917	4	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Tangara	2488096	Tangara gyrola	2488114	
9095476	Leuconotopicus fumigatus obscuratus (Chapman, 1927)	9095476	Leuconotopicus fumigatus obscuratus (Chapman, 1927)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Leuconotopicus	4845041	Leuconotopicus fumigatus	9000455	
2476897	Urochroa bougueri (Bourcier, 1851)	2476897	Urochroa bougueri (Bourcier, 1851)	927	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Urochroa	2476896	Urochroa bougueri	2476897	LC
7192811	Doryfera ludovicae ludovicae	7192811	Doryfera ludovicae ludovicae	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Doryfera	2476967	Doryfera ludovicae	2476971	
2485362	Syndactyla subalaris (P.L.Sclater, 1859)	2485362	Syndactyla subalaris (P.L.Sclater, 1859)	3324	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Syndactyla	2485356	Syndactyla subalaris	2485362	LC
2496990	Nyctidromus albicollis (J.F.Gmelin, 1789)	2496990	Nyctidromus albicollis (J.F.Gmelin, 1789)	455	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Caprimulgiformes	8510645	Caprimulgidae	5225	Nyctidromus	2496989	Nyctidromus albicollis	2496990	LC
7341947	Arremon brunneinucha (Lafresnaye, 1839)	7341947	Arremon brunneinucha (Lafresnaye, 1839)	608	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Arremon	2491613	Arremon brunneinucha	7341947	LC
9053125	Colibri cyanotus (Bourcier, 1843)	9053125	Colibri cyanotus (Bourcier, 1843)	467	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Colibri	5228473	Colibri cyanotus	9053125	NE
2485256	Thripadectes ignobilis (P.L.Sclater & Salvin, 1879)	2485256	Thripadectes ignobilis (P.L.Sclater & Salvin, 1879)	82	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Thripadectes	2485254	Thripadectes ignobilis	2485256	LC
7340421	Orochelidon murina (Cassin, 1853)	2489177	Notiochelidon murina (Cassin, 1853)	41	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Notiochelidon	2489174	Notiochelidon murina	2489177	LC
2478863	Semnornis ramphastinus (Jardine, 1855)	2478863	Semnornis ramphastinus (Jardine, 1855)	981	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Semnornithidae	6101214	Semnornis	2478862	Semnornis ramphastinus	2478863	NT
6085663	Coccycua minuta gracilis Heine, 1863	6170398	Piaya minuta gracilis (Heine, 1863)	6	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Cuculiformes	1492	Cuculidae	9309	Piaya	2496427	Piaya minuta	2496428	
6172588	Tityra semifasciata nigriceps Allen, 1888	6172588	Tityra semifasciata nigriceps Allen, 1888	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cotingidae	5236	Tityra	2486465	Tityra semifasciata	2486467	
2490552	Formicarius rufipectus Salvin, 1866	2490552	Formicarius rufipectus Salvin, 1866	2608	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Formicariidae	9311	Formicarius	2490547	Formicarius rufipectus	2490552	LC
5228511	Philodice mitchellii (Bourcier, 1847)	2476368	Calliphlox mitchellii (Bourcier, 1847)	3077	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Calliphlox	2476367	Calliphlox mitchellii	2476368	NE
5229529	Mionectes olivaceus hederaceus Bangs, 1910	5229529	Mionectes olivaceus hederaceus Bangs, 1910	8	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Mionectes	2482811	Mionectes olivaceus	9504121	
6179132	Geotrygon frenata bourcieri Bonaparte, 1855	7465014	Zentrygon frenata bourcieri (Bonaparte, 1855)	1	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Zentrygon	7366089	Zentrygon frenata	8243080	
7191484	Baryphthengus martii martii	7191484	Baryphthengus martii martii	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Coraciiformes	1447	Momotidae	5255	Baryphthengus	2475268	Baryphthengus martii	2475270	
9784421	Catharus maculatus (P.L.Sclater, 1858)	6086112	Catharus dryas maculatus (P.L.Sclater, 1858)	105	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Catharus	2490799	Catharus dryas	2490808	LC
2482867	Myiornis atricapillus (Lawrence, 1875)	2482867	Myiornis atricapillus (Lawrence, 1875)	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Myiornis	2482865	Myiornis atricapillus	2482867	LC
2487433	Vireo masteri P.G.W.Salaman & F.G.Stiles, 1996	2487433	Vireo masteri P.G.W.Salaman & F.G.Stiles, 1996	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Vireonidae	9358	Vireo	2487406	Vireo masteri	2487433	NT
2476351	Ocreatus underwoodii (R.Lesson, 1832)	2476351	Ocreatus underwoodii (R.Lesson, 1832)	4490	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Ocreatus	2476350	Ocreatus underwoodii	2476351	LC
2483836	Mecocerculus poecilocercus (P.L.Sclater & Salvin, 1873)	2483836	Mecocerculus poecilocercus (P.L.Sclater & Salvin, 1873)	263	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Mecocerculus	2483821	Mecocerculus poecilocercus	2483836	LC
2496719	Pharomachrus antisianus (d'Orbigny, 1837)	2496719	Pharomachrus antisianus (d'Orbigny, 1837)	116	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Trogoniformes	1449	Trogonidae	9356	Pharomachrus	2496714	Pharomachrus antisianus	2496719	LC
2497921	Tyto alba (Scopoli, 1769)	2497921	Tyto alba (Scopoli, 1769)	61	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Tytonidae	5292	Tyto	2497905	Tyto alba	2497921	LC
6172311	Tangara arthus goodsoni E.Hartert, 1913	6172311	Tangara arthus goodsoni E.Hartert, 1913	31	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Tangara	2488096	Tangara arthus	2488179	
2486053	Lepidocolaptes affinis (Lafresnaye, 1839)	2486053	Lepidocolaptes affinis (Lafresnaye, 1839)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Lepidocolaptes	2486010	Lepidocolaptes affinis	2486053	LC
