"gbif_id","gbif_common_name","ISO 639-2 Code","ISO 639-1 Code","English name of Language","French name of Language","German name of Language"
"2480495","aguilucho cenizo","abk","ab","Abkhazian","abkhaze","Abchasisch"
"2440894","da-ama","aar","aa","Afar","afar","Danakil-Sprache"
"2474156","afrikaanse kwartel","afr","af","Afrikaans","afrikaans","Afrikaans"
"1919346","afrikaanse migreerder","afr","af","Afrikaans","afrikaans","Afrikaans"
"9694948","albakoor","afr","af","Afrikaans","afrikaans","Afrikaans"
"5228136","amerikaanse koningriethaan","afr","af","Afrikaans","afrikaans","Afrikaans"
"2433472","antarktiese pelsob","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480331","asiatiese goue strandkiewiet","afr","af","Afrikaans","afrikaans","Afrikaans"
"2474029","asiatiese patrys","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480649","baardaasvoël","afr","af","Afrikaans","afrikaans","Afrikaans"
"9372012","basterkokerboom","afr","af","Afrikaans","afrikaans","Afrikaans"
"2351271","beekforel","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480377","berghaan","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441757","bergskilpad","afr","af","Afrikaans","afrikaans","Afrikaans"
"2777789","bitteraalwyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441042","blesbok","afr","af","Afrikaans","afrikaans","Afrikaans"
"7261461","blou duiker","afr","af","Afrikaans","afrikaans","Afrikaans"
"2397867","blou marlyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"8098719","blou marlyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"2419543","blou pylstert","afr","af","Afrikaans","afrikaans","Afrikaans"
"2417940","blouhaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"2419592","bloukol-pylstert","afr","af","Afrikaans","afrikaans","Afrikaans"
"2474896","bloukorhaan","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480495","bloupaddavreter","afr","af","Afrikaans","afrikaans","Afrikaans"
"9797180","bloureier","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480372","blouvalk","afr","af","Afrikaans","afrikaans","Afrikaans"
"2373980","blouvin-tuna","afr","af","Afrikaans","afrikaans","Afrikaans"
"2440735","blouwalvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2394503","blouwang-sonvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441105","blouwildebees","afr","af","Afrikaans","afrikaans","Afrikaans"
"5384064","boereturksvy","afr","af","Afrikaans","afrikaans","Afrikaans"
"5220086","boggelwalvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2440470","bolkopdolfyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441042","bontebok","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480259","bontelsie","afr","af","Afrikaans","afrikaans","Afrikaans"
"2475679","bontvisvanger","afr","af","Afrikaans","afrikaans","Afrikaans"
"2474882","boskorhaan","afr","af","Afrikaans","afrikaans","Afrikaans"
"2497530","bosuil","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441225","bosvark","afr","af","Afrikaans","afrikaans","Afrikaans"
"2334443","breëbalk-vuurvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480426","breëkoparend","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480967","brilmalgas","afr","af","Afrikaans","afrikaans","Afrikaans"
"5229384","brilpikkewyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"2476041","bromvoël","afr","af","Afrikaans","afrikaans","Afrikaans"
