scientificName,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
"Chamaepetes goudotii (R.Lesson, 1828)","Chamaepetes goudotii (R.Lesson, 1828)",740,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,LC
"Chamaepetes goudotii fagani C.Chubb, 1917","Chamaepetes goudotii fagani C.Chubb, 1917",2,SUBSPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,
"Penelope montagnii (Bonaparte, 1856)","Penelope montagnii (Bonaparte, 1856)",25,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope montagnii,2482198.0,LC
"Penelope ortoni Salvin, 1874","Penelope ortoni Salvin, 1874",8,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope ortoni,2482216.0,EN
"Penelope purpurascens Wagler, 1830","Penelope purpurascens Wagler, 1830",3098,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope purpurascens,2482225.0,NT
"Aburria aburri (R.Lesson, 1828)","Aburria aburri (R.Lesson, 1828)",1400,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Aburria,2482290.0,Aburria aburri,2482313.0,NT
"Odontophorus erythrops Gould, 1859","Odontophorus erythrops Gould, 1859",35,SPECIES,ACCEPTED,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus erythrops,5228045.0,LC
"Odontophorus melanonotus Gould, 1861","Odontophorus melanonotus Gould, 1861",1039,SPECIES,ACCEPTED,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus melanonotus,5228049.0,VU
"Galbula ruficauda Cuvier, 1816","Galbula ruficauda Cuvier, 1816",15,SPECIES,ACCEPTED,Piciformes,724.0,Galbulidae,5244.0,Galbula,7772409.0,Galbula ruficauda,5228236.0,LC
"Malacoptila panamensis Lafresnaye, 1847","Malacoptila panamensis Lafresnaye, 1847",76,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,LC
"Malacoptila panamensis poliopis P.L.Sclater, 1862","Malacoptila panamensis poliopis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,
"Nystalus radiatus (P.L.Sclater, 1854)","Nystalus radiatus (P.L.Sclater, 1854)",514,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Nystalus,2475191.0,Nystalus radiatus,2475200.0,LC
"Hapaloptila castanea (J.Verreaux, 1866)","Hapaloptila castanea (J.Verreaux, 1866)",24,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Hapaloptila,2475204.0,Hapaloptila castanea,2475205.0,LC
"Micromonacha lanceolata (Deville, 1849)","Micromonacha lanceolata (Deville, 1849)",22,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Micromonacha,2475206.0,Micromonacha lanceolata,2475207.0,LC
"Picumnus olivaceus Lafresnaye, 1845","Picumnus olivaceus Lafresnaye, 1845",892,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,LC
"Picumnus olivaceus harterti Hellmayr, 1909","Picumnus olivaceus harterti Hellmayr, 1909",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,
"Dryocopus lineatus (Linnaeus, 1766)","Dryocopus lineatus (Linnaeus, 1766)",738,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,NE
"Dryocopus lineatus fuscipennis P.L.Sclater, 1860","Dryocopus lineatus fuscipennis P.L.Sclater, 1860",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,
"Melanerpes pucherani (Malherbe, 1849)","Melanerpes pucherani (Malherbe, 1849)",83,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Melanerpes,2478067.0,Melanerpes pucherani,2478068.0,LC
"Dryobates callonotus (Waterhouse, 1841)","Veniliornis callonotus (Waterhouse, 1841)",697,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,NE
"Veniliornis callonotus (Waterhouse, 1841)","Veniliornis callonotus (Waterhouse, 1841)",4,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,LC
"Dryobates kirkii (Malherbe, 1845)","Veniliornis kirkii (Malherbe, 1845)",22,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis kirkii,2478367.0,NE
"Dryobates dignus (P.L.Sclater & Salvin, 1877)","Veniliornis dignus (P.L.Sclater & Salvin, 1877)",6,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis dignus,2478378.0,NE
"Celeus loricatus (Reichenbach, 1854)","Celeus loricatus (Reichenbach, 1854)",13,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Celeus,2478432.0,Celeus loricatus,5228950.0,LC
"Campephilus melanoleucos (J.F.Gmelin, 1788)","Campephilus melanoleucos (J.F.Gmelin, 1788)",1,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus melanoleucos,2478564.0,LC
"Campephilus pollens (Bonaparte, 1845)","Campephilus pollens (Bonaparte, 1845)",216,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus pollens,2478569.0,LC
Campephilus pollens pollens,Campephilus pollens pollens,3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus pollens,2478569.0,
"Campephilus gayaquilensis (R.Lesson, 1845)","Campephilus gayaquilensis (R.Lesson, 1845)",1861,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus gayaquilensis,2478579.0,LC
"Campephilus haematogaster (Tschudi, 1844)","Campephilus haematogaster (Tschudi, 1844)",78,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus haematogaster,2478584.0,LC
"Campephilus haematogaster splendens Hargitt, 1889","Campephilus haematogaster splendens Hargitt, 1889",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus haematogaster,2478584.0,
"Dryobates fumigatus (d'Orbigny, 1840)","Leuconotopicus fumigatus (d'Orbigny, 1840)",2282,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,NE
"Leuconotopicus fumigatus (d'Orbigny, 1840)","Leuconotopicus fumigatus (d'Orbigny, 1840)",8,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,LC
Leuconotopicus fumigatus fumigatus,Leuconotopicus fumigatus fumigatus,5,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,
"Leuconotopicus fumigatus obscuratus (Chapman, 1927)","Leuconotopicus fumigatus obscuratus (Chapman, 1927)",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,
"Colaptes rivolii (Boissonneau, 1840)","Colaptes rivolii (Boissonneau, 1840)",77,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rivolii,7340159.0,LC
"Colaptes rubiginosus (Swainson, 1820)","Colaptes rubiginosus (Swainson, 1820)",3215,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rubiginosus,7340161.0,LC
"Colaptes rubiginosus rubripileus (Salvadori & Festa, 1900)","Colaptes rubiginosus rubripileus (Salvadori & Festa, 1900)",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rubiginosus,7340161.0,
"Ramphastos brevis Meyer de Schauensee, 1945","Ramphastos brevis Meyer de Schauensee, 1945",6618,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos brevis,2478769.0,LC
"Ramphastos ambiguus Swainson, 1823","Ramphastos ambiguus Swainson, 1823",6526,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos ambiguus,2478779.0,NT
"Ramphastos ambiguus swainsonii Gould, 1833","Ramphastos ambiguus swainsonii Gould, 1833",6,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos ambiguus,2478779.0,
"Pteroglossus torquatus (J.F.Gmelin, 1788)","Pteroglossus torquatus (J.F.Gmelin, 1788)",5337,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus torquatus,2478838.0,LC
Pteroglossus torquatus erythropygius,Pteroglossus torquatus erythropygius,57,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus torquatus,2478838.0,
"Pteroglossus erythropygius Gould, 1843","Pteroglossus erythropygius Gould, 1843",64,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus erythropygius,2478842.0,LC
"Andigena nigrirostris spilorhynchus Gould, 1858","Andigena nigrirostris spilorhynchus Gould, 1858",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Andigena,2478852.0,Andigena nigrirostris,2478854.0,
"Andigena laminirostris Gould, 1851","Andigena laminirostris Gould, 1851",195,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Andigena,2478852.0,Andigena laminirostris,2478861.0,NT
"Aulacorhynchus haematopygus (Gould, 1835)","Aulacorhynchus haematopygus (Gould, 1835)",4044,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Aulacorhynchus,2478937.0,Aulacorhynchus haematopygus,5229025.0,LC
"Aulacorhynchus haematopygus sexnotatus Gould, 1868","Aulacorhynchus haematopygus sexnotatus Gould, 1868",12,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Aulacorhynchus,2478937.0,Aulacorhynchus haematopygus,5229025.0,
"Eubucco bourcierii (Lafresnaye, 1845)","Eubucco bourcierii (Lafresnaye, 1845)",6334,SPECIES,ACCEPTED,Piciformes,724.0,Capitonidae,3242201.0,Eubucco,2478968.0,Eubucco bourcierii,2478979.0,LC
"Eubucco bourcierii aequatorialis (Salvadori & Festa, 1900)","Eubucco bourcierii aequatorialis (Salvadori & Festa, 1900)",4,SUBSPECIES,ACCEPTED,Piciformes,724.0,Capitonidae,3242201.0,Eubucco,2478968.0,Eubucco bourcierii,2478979.0,
"Capito squamatus Salvin, 1876","Capito squamatus Salvin, 1876",24,SPECIES,ACCEPTED,Piciformes,724.0,Capitonidae,3242201.0,Capito,2479028.0,Capito squamatus,2479030.0,LC
"Semnornis ramphastinus (Jardine, 1855)","Semnornis ramphastinus (Jardine, 1855)",981,SPECIES,ACCEPTED,Piciformes,724.0,Semnornithidae,6101214.0,Semnornis,2478862.0,Semnornis ramphastinus,2478863.0,NT
Semnornis ramphastinus ramphastinus,Semnornis ramphastinus ramphastinus,6,SUBSPECIES,ACCEPTED,Piciformes,724.0,Semnornithidae,6101214.0,Semnornis,2478862.0,Semnornis ramphastinus,2478863.0,
"Nothocercus julius (Bonaparte, 1854)","Nothocercus julius (Bonaparte, 1854)",10,SPECIES,ACCEPTED,Tinamiformes,726.0,Tinamidae,9353.0,Nothocercus,2477468.0,Nothocercus julius,2477472.0,LC
"Crypturellus soui (Hermann, 1783)","Crypturellus soui (Hermann, 1783)",64,SPECIES,ACCEPTED,Tinamiformes,726.0,Tinamidae,9353.0,Crypturellus,2477492.0,Crypturellus soui,2477507.0,LC
"Cyanolyca pulchra (Lawrence, 1876)","Cyanolyca pulchra (Lawrence, 1876)",21,SPECIES,ACCEPTED,Passeriformes,729.0,Corvidae,5235.0,Cyanolyca,2482541.0,Cyanolyca pulchra,2482546.0,NT
"Cyanolyca turcosa (Bonaparte, 1853)","Cyanolyca turcosa (Bonaparte, 1853)",85,SPECIES,ACCEPTED,Passeriformes,729.0,Corvidae,5235.0,Cyanolyca,2482541.0,Cyanolyca turcosa,2482549.0,LC
"Cyanolyca viridicyanus (Orbigny & Lafresnaye, 1838)","Cyanolyca viridicyanus (Orbigny & Lafresnaye, 1838)",2,SPECIES,ACCEPTED,Passeriformes,729.0,Corvidae,5235.0,Cyanolyca,2482541.0,Cyanolyca viridicyanus,7342105.0,NT
"Snowornis cryptolophus (P.L.Sclater & Salvin, 1877)","Snowornis cryptolophus (P.L.Sclater & Salvin, 1877)",54,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Snowornis,2486235.0,Snowornis cryptolophus,2486238.0,LC
"Querula purpurata (Statius Muller, 1776)","Querula purpurata (Statius Muller, 1776)",11,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Querula,2486252.0,Querula purpurata,2486253.0,LC
