acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,commonName,Subspecies
"Chamaepetes goudotii (R.Lesson, 1828)",742,SPECIES,ACCEPTED,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,LC,Chamaepetes goudotii,"(R.Lesson, 1828)",Sickle-winged Guan,"Chamaepetes goudotii fagani, 0.002702702702702703"
"Penelope montagnii (Bonaparte, 1856)",25,SPECIES,ACCEPTED,Penelope,2482191.0,Penelope montagnii,2482198.0,LC,Penelope montagnii,"(Bonaparte, 1856)",Andean Guan,
"Penelope ortoni Salvin, 1874",8,SPECIES,ACCEPTED,Penelope,2482191.0,Penelope ortoni,2482216.0,EN,Penelope ortoni,"Salvin, 1874",Baudo Guan,
"Penelope purpurascens Wagler, 1830",3098,SPECIES,ACCEPTED,Penelope,2482191.0,Penelope purpurascens,2482225.0,NT,Penelope purpurascens,"Wagler, 1830",Crested Guan,
"Aburria aburri (R.Lesson, 1828)",1400,SPECIES,ACCEPTED,Aburria,2482290.0,Aburria aburri,2482313.0,NT,Aburria aburri,"(R.Lesson, 1828)",Wattled Guan,
"Odontophorus erythrops Gould, 1859",35,SPECIES,ACCEPTED,Odontophorus,2474171.0,Odontophorus erythrops,5228045.0,LC,Odontophorus erythrops,"Gould, 1859",Rufous-fronted Wood Quail,
"Odontophorus melanonotus Gould, 1861",1039,SPECIES,ACCEPTED,Odontophorus,2474171.0,Odontophorus melanonotus,5228049.0,VU,Odontophorus melanonotus,"Gould, 1861",Dark-backed Wood Quail,
"Galbula ruficauda Cuvier, 1816",15,SPECIES,ACCEPTED,Galbula,7772409.0,Galbula ruficauda,5228236.0,LC,Galbula ruficauda,"Cuvier, 1816",Rufous-tailed Jacamar,
"Malacoptila panamensis Lafresnaye, 1847",78,SPECIES,ACCEPTED,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,LC,Malacoptila panamensis,"Lafresnaye, 1847",White-whiskered Puffbird,"Malacoptila panamensis poliopis, 0.02631578947368421"
"Nystalus radiatus (P.L.Sclater, 1854)",514,SPECIES,ACCEPTED,Nystalus,2475191.0,Nystalus radiatus,2475200.0,LC,Nystalus radiatus,"(P.L.Sclater, 1854)",Barred Puffbird,
"Hapaloptila castanea (J.Verreaux, 1866)",24,SPECIES,ACCEPTED,Hapaloptila,2475204.0,Hapaloptila castanea,2475205.0,LC,Hapaloptila castanea,"(J.Verreaux, 1866)",White-faced Nunbird,
