gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1993719866,Calidris minutilla,EC,,Galápagos,1,-0.481923,-90.337958,0,1,2019
971899922,Calidris minutilla,EC,Floreana--Punta Cormorant,Galápagos,8,-1.226127,-90.42834,12,9,2005
2659522935,Calidris minutilla,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,1,2019
3298165199,Calidris minutilla,EC,Salinas otro lado Puerto Ayora,Galápagos,2,-0.754455,-90.31279,12,2,2020
3210586644,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,2,-0.52693,-90.48803,6,12,2015
2836616684,Calidris minutilla,EC,Ecuador - Galápagos - Santa Cruz,,1,-0.494,-90.3408,7,10,2016
1173605063,Calidris minutilla,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,11,2012
1751265101,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,5,2008
3653358377,Calidris minutilla,EC,Isla Baltra,Galápagos,1,-0.462708,-90.275085,33,11,2009
4054751050,Calidris minutilla,EC,,Galápagos,1,-0.813148,-89.479133,12,2,2023
1167551832,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,1,2014
2117953026,Calidris minutilla,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,11,2006
920944311,Calidris minutilla,EC,"Galapagos, Isabela, Puerto Villamil und Umgebung",,1,-0.955519,-90.965675,11,12,2012
2129429594,Calidris minutilla,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,11,2016
3635297751,Calidris minutilla,EC,Santa Cruz--Playa Garrapatero,Galápagos,1,-0.694628,-90.22084,2,8,2021
1378178409,Calidris minutilla,EC,San Cristóbal--Cerro Brujo,Galápagos,1,-0.764342,-89.45876,8,3,2015
2097656277,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,8,2017
2090828356,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,3,-0.526929,-90.48804,6,8,2017
1792244424,Calidris minutilla,EC,North Seymour,Galápagos,1,-0.393273,-90.285645,12,11,2014
2723102268,Calidris minutilla,EC,San Cristóbal--Punta Pitt,Galápagos,1,-0.712999,-89.24687,6,12,2019
3638750527,Calidris minutilla,EC,San Cristóbal--Cerro Brujo,Galápagos,1,-0.764342,-89.45876,8,3,2019
1163280222,Calidris minutilla,EC,Isla Santiago--Puerto Egas,Galápagos,2,-0.244788,-90.86174,16,3,2014
2775914913,Calidris minutilla,EC,Isla Floreana,Galápagos,4,-1.3,-90.4333,398,1,2019
1405560253,Calidris minutilla,EC,Santa Cruz--Academy Bay,Galápagos,4,-0.750825,-90.30414,0,11,2015
3657914532,Calidris minutilla,EC,Isabela--Playa de los Alemanes,Galápagos,4,-0.75306,-90.31006,0,12,2021
1362329526,Calidris minutilla,EC,Isla Isabela,Galápagos,1,-0.80106,-91.12871,907,2,2015
1749537276,Calidris minutilla,EC,Wall of Tears,Galápagos,1,-0.980012,-91.03357,9,12,2010
2151383103,Calidris minutilla,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,2,2018
1355226253,Calidris minutilla,EC,Isla Bartolome & Santiago,Galápagos,1,-0.27337,-90.5794,35,2,2015
972356372,Calidris minutilla,EC,Isla San Cristóbal,Galápagos,2,-0.905648,-89.530334,450,10,2013
3275253793,Calidris minutilla,EC,Floreana--Punta Cormorant,Galápagos,8,-1.226127,-90.42834,12,9,2005
2665594152,Calidris minutilla,EC,Santa Cruz--El Garrapatero Beach,Galápagos,2,-0.694654,-90.2208,2,2,2019
2200349515,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,3,-0.526929,-90.48804,6,9,2018
3135573814,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,2,-0.526929,-90.48804,6,2,2020
3690589073,Calidris minutilla,EC,Isabela--Laguna Salinas,Galápagos,8,-0.955573,-90.96804,5,8,2017
1206485690,Calidris minutilla,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,2,2010
979584350,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,2,-0.526929,-90.48804,6,2,2011
1381946131,Calidris minutilla,EC,Isla Santiago,Galápagos,1,-0.264358,-90.715485,384,3,2010
2738967686,Calidris minutilla,EC,San Cristóbal--Cerro Brujo,Galápagos,12,-0.793167,-89.46366,18,1,2019
1356364788,Calidris minutilla,EC,Isabela--Laguna Salinas,Galápagos,7,-0.955573,-90.96804,5,3,2015
3649060246,Calidris minutilla,EC,Isla Santiago--Puerto Egas,Galápagos,2,-0.244788,-90.86174,16,4,2008
3534457713,Calidris minutilla,EC,Isla San Cristóbal,Galápagos,3,-0.888401,-89.49176,676,9,2021
976721423,Calidris minutilla,EC,Isabela--Puerto Villamil,Galápagos,4,-0.956961,-90.96559,9,8,2009
2661027097,Calidris minutilla,EC,Isla Santiago--Puerto Egas,Galápagos,3,-0.244788,-90.86174,16,2,2018
963912421,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,8,2013
3259465366,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,2,-0.526929,-90.48804,6,2,2020
1159796586,Calidris minutilla,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,2,2014
3661308020,Calidris minutilla,EC,Santiago--Coast near Sombrero Chino,Galápagos,1,-0.366924,-90.586586,1,12,2008
2670099359,Calidris minutilla,EC,Baltra--Muelle de Pasajeros Seymour,Galápagos,3,-0.436508,-90.284775,0,2,2019
2765063754,Calidris minutilla,EC,Isla Santiago--Puerto Egas,Galápagos,1,-0.244788,-90.86174,16,3,2016
1392865120,Calidris minutilla,EC,Bahia Sardinas,Galápagos,1,-0.697075,-89.36213,5,10,2015
3141969933,Calidris minutilla,EC,Salinas otro lado Puerto Ayora,Galápagos,3,-0.754455,-90.31279,12,2,2020
3159062138,Calidris minutilla,EC,San Cristóbal--Cerro Brujo,Galápagos,1,-0.764342,-89.45876,8,3,2020
2044224992,Calidris minutilla,EC,Santa Cruz--El Garrapatero Beach,Galápagos,4,-0.694654,-90.2208,2,2,2017
1726317556,Calidris minutilla,EC,Isla Santiago--Puerto Egas,Galápagos,1,-0.244788,-90.86174,16,3,2016
975180095,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,5,-0.526929,-90.48804,6,11,2013
3289821915,Calidris minutilla,EC,Playa Tortuga Bay,Galápagos,2,-0.76169,-90.33593,5,10,2020
258131883,Calidris minutilla,EC,Santa Cruz--Caleta Tortuga Negra (Black Turtle Cove),Galápagos,4,-0.497125,-90.32599,0,3,2006
2190161246,Calidris minutilla,EC,Isla Bartolome,Galápagos,1,-0.284871,-90.55391,10,10,2014
2704370541,Calidris minutilla,EC,Isabela--Puerto Villamil beach west,Galápagos,4,-0.957525,-90.978226,0,10,2019
3580389105,Calidris minutilla,EC,San Cristóbal--Punta Pitt,Galápagos,8,-0.712999,-89.24687,6,9,2021
2048152249,Calidris minutilla,EC,Floreana--Punta Cormorant,Galápagos,14,-1.226127,-90.42834,12,3,2017
2783305292,Calidris minutilla,EC,Isabela--Puerto Villamil beach front,Galápagos,2,-0.957511,-90.96847,0,11,2019
1206485905,Calidris minutilla,EC,Isla Isabela,Galápagos,1,-0.80106,-91.12871,907,2,2010
2725518531,Calidris minutilla,EC,Isabela--Trail from Centro Tortugas to Laguna Flamencos to Pue,Galápagos,8,-0.950338,-90.97308,9,11,2019
2768678255,Calidris minutilla,EC,Isabela--Puerto Villamil beach front,Galápagos,2,-0.957511,-90.96847,0,11,2019
3205688349,Calidris minutilla,EC,Isabela--Playita,Galápagos,1,-0.958815,-90.98662,0,11,2014
2726899695,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,2,2017
2784643393,Calidris minutilla,EC,San Cristóbal--Cerro Brujo,Galápagos,6,-0.793167,-89.46366,18,11,2019
3162295552,Calidris minutilla,EC,Isabela--Laguna Salinas,Galápagos,11,-0.955573,-90.96804,5,3,2020
579378167,Calidris minutilla,EC,Floreana Island,Galápagos,1,-1.285293,-90.406494,309,3,1996
980593303,Calidris minutilla,EC,Isabela--Elizabeth Bay,Galápagos,1,-0.597285,-91.08318,0,2,2007
2049745223,Calidris minutilla,EC,San Cristóbal--Cerro Brujo,Galápagos,1,-0.764342,-89.45876,8,2,2017
3156860732,Calidris minutilla,EC,Isabela--Trail from Centro Tortugas to Laguna Flamencos to Pue,Galápagos,1,-0.950338,-90.97308,9,1,2020
2049671286,Calidris minutilla,EC,Santa Cruz--Tortuga Bay and trail from Puerto Ayora,Galápagos,1,-0.760905,-90.332214,6,3,2017
3668742883,Calidris minutilla,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,11,2009
2171827323,Calidris minutilla,EC,Isla Isabela,Galápagos,1,-0.80106,-91.12871,907,11,2014
581620382,Calidris minutilla,EC,Santa Cruz--Las Bachas Beach,Galápagos,3,-0.494164,-90.340706,4,10,2011
2702017359,Calidris minutilla,EC,Salinas otro lado Puerto Ayora,Galápagos,1,-0.754455,-90.31279,12,3,2015
2229615719,Calidris minutilla,EC,Isla Santiago,Galápagos,1,-0.264358,-90.715485,384,3,2010
1381947438,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,2,2010
2115211779,Calidris minutilla,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,12,2017
2661410974,Calidris minutilla,EC,Santa Cruz--Camino a Las Grietas,Galápagos,1,-0.754365,-90.31293,12,3,2019
3224481355,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,3,-0.526929,-90.48804,6,2,2020
2773221558,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,2,-0.526929,-90.48804,6,12,2019
1778791600,Calidris minutilla,EC,Isabela--Posada De Flamengos,Galápagos,1,-0.945527,-90.97488,7,10,2009
2706501550,Calidris minutilla,EC,Isla Santiago--Puerto Egas,Galápagos,1,-0.244788,-90.86174,16,10,2019
2113474906,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,12,2017
2718975747,Calidris minutilla,EC,Isabela--Laguna Salinas,Galápagos,7,-0.955573,-90.96804,5,2,2015
3292064359,Calidris minutilla,EC,Santa Cruz--Camino a Las Grietas,Galápagos,1,-0.754365,-90.31293,12,9,2020
2152822096,Calidris minutilla,EC,Santa Cruz--Las Bachas Beach,Galápagos,4,-0.494164,-90.340706,4,3,2018
2219781512,Calidris minutilla,EC,Isle Daphne,Galápagos,1,-0.337828,-90.37628,0,3,2016
3620703993,Calidris minutilla,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,2,2010
2030011519,Calidris minutilla,EC,Wall of Tears trail,Galápagos,7,-0.959205,-90.98858,7,1,2017
3301193205,Calidris minutilla,EC,Santa Cruz--Las Bachas Beach,Galápagos,5,-0.494164,-90.340706,4,10,2013
1204461130,Calidris minutilla,EC,Santiago Island,Galápagos,1,-0.255657,-90.703766,338,2,2011
3550742645,Calidris minutilla,EC,Isla Lobos,Galápagos,2,-0.856192,-89.56629,0,11,2021
821796405,Calidris minutilla,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,12,2010
2801145074,Calidris minutilla,EC,Isla Santiago,Galápagos,1,-0.264358,-90.715485,384,11,2011
3222247862,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,4,-0.526929,-90.48804,6,2,2020
2089896433,Calidris minutilla,EC,Floreana--Punta Cormorant,Galápagos,2,-1.226127,-90.42834,12,7,2017
2770704884,Calidris minutilla,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,12,2019
1355227149,Calidris minutilla,EC,Isla San Cristóbal,Galápagos,1,-0.905648,-89.530334,450,2,2015
2673893425,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,11,2001
1162407859,Calidris minutilla,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,2,2014
2801745264,Calidris minutilla,EC,Isla Santiago--Puerto Egas,Galápagos,10,-0.244788,-90.86174,16,11,2010
