gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
956270881,Chroicocephalus cirrocephalus,EC,Ferry terminal,Galápagos,1,-0.488027,-90.279465,13,5,2013
3285987683,Chroicocephalus cirrocephalus,EC,Isabela--Puerto Villamil beach front,Galápagos,1,-0.957511,-90.96847,0,6,2013
1773083451,Chroicocephalus cirrocephalus,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,7,1991
2135031768,Chroicocephalus cirrocephalus,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,4,2018
1185904562,Chroicocephalus cirrocephalus,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,12,1983
1405806309,Chroicocephalus cirrocephalus,EC,Ferry terminal,Galápagos,1,-0.488027,-90.279465,13,5,2013
3299328819,Chroicocephalus cirrocephalus,EC,Isabela--Puerto Villamil beach front,Galápagos,1,-0.957511,-90.96847,0,6,2013
1185906095,Chroicocephalus cirrocephalus,EC,San Cristóbal--Puerto Baquerizo Moreno,Galápagos,1,-0.901721,-89.61024,6,7,1991
2162839718,Chroicocephalus cirrocephalus,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,4,2018
1185905890,Chroicocephalus cirrocephalus,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,1,1984
1206464763,Chroicocephalus cirrocephalus,EC,Ferry terminal,Galápagos,1,-0.488027,-90.279465,13,5,2013
1175740537,Chroicocephalus cirrocephalus,EC,"Punta Comorant, Floreana Island",Galápagos,1,-1.22511,-90.4282,0,6,2014
3206378797,Chroicocephalus cirrocephalus,EC,Isabela--Puerto Villamil beach front,Galápagos,1,-0.957511,-90.96847,0,6,2013
2159648111,Chroicocephalus cirrocephalus,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,4,2018
1777831663,Chroicocephalus cirrocephalus,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,5,2013
