gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1024204977,Creagrus furcatus,EC,,Galápagos,1,-1.370348,-89.744843,0,8,2014
3456611976,Creagrus furcatus,EC,,Galápagos,1,0.318143,-89.949666,4,1,2008
891021756,Creagrus furcatus,EC,,Galápagos,1,-0.435134,-90.282554,6,10,2009
4014974938,Creagrus furcatus,EC,,Galápagos,1,-1.371237,-89.744693,14,12,2022
3466245272,Creagrus furcatus,EC,,Galápagos,1,-0.584308,-90.160618,3,8,2019
1038611259,Creagrus furcatus,EC,Galapagos-Inseln/Isla Espanola/HOOD/Punta Suarez,,1,-1.371787,-89.739075,9,12,1994
3447349570,Creagrus furcatus,EC,Galapagos-Inseln/Isla Santa Cruz/TORTUGA BAY und Umgebung,,1,-0.761639,-90.335083,6,10,1997
3289243538,Creagrus furcatus,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,10,2019
2698262656,Creagrus furcatus,EC,Daphne Major,Galápagos,50,-0.421773,-90.372086,23,6,2019
1747385523,Creagrus furcatus,EC,Five-fingered Rock and area,Galápagos,8,-0.86383,-89.62913,0,6,2016
3668551994,Creagrus furcatus,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,8,2019
2220264877,Creagrus furcatus,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,7,2001
1197312928,Creagrus furcatus,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,3,2002
1180845965,Creagrus furcatus,EC,Isla Santa Fe,Galápagos,1,-0.816909,-90.04068,59,3,2003
1383849838,Creagrus furcatus,EC,Floreana--Isla Champion,Galápagos,200,-1.237925,-90.38574,20,8,2015
3651558287,Creagrus furcatus,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,8,2004
3572767506,Creagrus furcatus,EC,Española--Punta Suarez,Galápagos,3,-1.371529,-89.74399,7,6,2012
2187629795,Creagrus furcatus,EC,Española--Punta Suarez,Galápagos,26,-1.371529,-89.74399,7,6,2018
2141964533,Creagrus furcatus,EC,North Seymour,Galápagos,1,-0.393273,-90.285645,12,11,2011
965583603,Creagrus furcatus,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,7,2008
2769985530,Creagrus furcatus,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,1,2006
2660936136,Creagrus furcatus,EC,"Océan Pacifique sud (-0,3449,-90,8482)",Galápagos,8,-0.344919,-90.8482,0,3,2019
1786265436,Creagrus furcatus,EC,Bolivar Channel,Galápagos,1,-0.306482,-91.382416,0,2,2003
3248471848,Creagrus furcatus,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,4,2008
586315287,Creagrus furcatus,EC,Canal de San Cristobal,Galápagos,1,-1.169963,-89.58801,0,6,2011
1204688396,Creagrus furcatus,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,8,2014
