gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2028505547,Crotophaga ani,EC,,Galápagos,1,-0.830856,-91.169264,932,3,2019
979671388,Crotophaga ani,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,8,2011
2657261158,Crotophaga ani,EC,Salasaca 2,Galápagos,1,-0.64783,-90.41033,412,2,2019
1383062927,Crotophaga ani,EC,Santa Cruz--Charles Darwin Research Station,Galápagos,6,-0.741642,-90.30513,11,8,2015
1726332541,Crotophaga ani,EC,Genovesa--Prince Philip's Steps,Galápagos,1,0.310197,-89.94352,6,3,2016
1784305407,Crotophaga ani,EC,Santa Cruz--Charles Darwin Research Station,Galápagos,2,-0.741642,-90.30513,11,8,2014
961480190,Crotophaga ani,EC,Floreana--Post Office Bay,Galápagos,1,-1.236016,-90.44947,0,11,2011
3286045182,Crotophaga ani,EC,Isabela--Sendero Crianza Arnaldo Tupiza,Galápagos,1,-0.955375,-90.971275,8,5,2017
2722156635,Crotophaga ani,EC,Floreana--Puerto Velazco Ibarra,Galápagos,7,-1.276534,-90.4888,3,6,2007
1712113060,Crotophaga ani,EC,Isla Santiago--Puerto Egas,Galápagos,5,-0.244788,-90.86174,16,1,2016
1189649641,Crotophaga ani,EC,Santa Cruz--Charles Darwin Research Station,Galápagos,12,-0.741642,-90.30513,11,3,2011
2039958331,Crotophaga ani,EC,Santa Cruz--Media Luna,Galápagos,2,-0.666175,-90.32404,500,1,2017
3571625548,Crotophaga ani,EC,Isabela--Sierra Negra Rim Trail,Galápagos,2,-0.800639,-91.090294,997,12,2020
2366040133,Crotophaga ani,EC,,Galápagos,1,-0.739432,-90.322936,23,8,2019
2132690435,Crotophaga ani,EC,Santa Cruz--Rancho El Chato,Galápagos,1,-0.667624,-90.43156,231,1,2018
3134357703,Crotophaga ani,EC,San Cristóbal--Cerro Tijeretas trails,Galápagos,3,-0.891571,-89.60962,21,2,2020
3224780332,Crotophaga ani,EC,Santa Cruz--Playa Garrapatero,Galápagos,2,-0.694628,-90.22084,2,2,2020
1402559758,Crotophaga ani,EC,Isabela - Tagus Cove,Galápagos,3,-0.2608,-91.3707,0,12,2015
2672334568,Crotophaga ani,EC,Cerro Mesa,Galápagos,6,-0.641133,-90.289024,397,1,2019
1291109491,Crotophaga ani,EC,,Galápagos,1,-0.656792,-90.416943,348,5,2016
4009825689,Crotophaga ani,EC,,Galápagos,1,-0.745681,-90.317606,12,12,2022
1749536112,Crotophaga ani,EC,Isla Santiago--Puerto Egas,Galápagos,1,-0.244788,-90.86174,16,12,2010
3238723837,Crotophaga ani,EC,"Santa Cruz Island, Galapagos",Galápagos,1,-0.620126,-90.347,568,7,2000
3573537503,Crotophaga ani,EC,San Cristóbal--Punta Pitt,Galápagos,5,-0.712999,-89.24687,6,9,2021
2672362186,Crotophaga ani,EC,Salasaca 11,Galápagos,1,-0.643736,-90.41971,393,2,2019
1404212827,Crotophaga ani,EC,Isla San Cristóbal,Galápagos,1,-0.905648,-89.530334,450,7,2015
2656161525,Crotophaga ani,EC,Cerro Crocker Top,Galápagos,1,-0.642447,-90.32597,832,2,2019
3690914761,Crotophaga ani,EC,Isabela--wetlands south of tortoise breeding center,Galápagos,3,-0.953513,-90.97206,7,7,2021
2187261658,Crotophaga ani,EC,Isabela--Posada De Flamengos,Galápagos,6,-0.945527,-90.97488,7,6,2018
936875141,Crotophaga ani,EC,Isla Baltra,Galápagos,1,-0.462708,-90.275085,33,6,1999
2789393924,Crotophaga ani,EC,Santa Cruz--Rancho El Chato,Galápagos,1,-0.667624,-90.43156,231,5,2017
