gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3335251354,Egretta tricolor,EC,,Galápagos,1,-0.901013,-89.613333,0,12,2020
3623027075,Egretta tricolor,EC,San Cristóbal--Muelle Puerto Baquerizo Moreno,Galápagos,1,-0.901872,-89.61229,7,9,2021
3661677230,Egretta tricolor,EC,"Avenida de la Armada Nacional, Puerto Baquerizo Moreno, Islas Galápagos, EC (-0,903, -89,614)",Galápagos,1,-0.902505,-89.61373,10,7,2021
3398964088,Egretta tricolor,EC,,Galápagos,1,-0.900587,-89.611178,5,10,2021
3335270354,Egretta tricolor,EC,,Galápagos,1,-0.903508,-89.612822,8,6,2021
3638120254,Egretta tricolor,EC,San Cristóbal--Muelle Puerto Baquerizo Moreno,Galápagos,1,-0.901872,-89.61229,7,12,2020
3544207995,Egretta tricolor,EC,San Cristóbal--Puerto Baquerizo Moreno,Galápagos,1,-0.901721,-89.61024,6,3,2021
3676531283,Egretta tricolor,EC,San Cristóbal--Puerto Baquerizo Moreno,Galápagos,1,-0.901721,-89.61024,6,5,2021
3612682626,Egretta tricolor,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,7,2021
3014025796,Egretta tricolor,EC,,Galápagos,1,-0.903333,-89.612922,7,12,2020
3653326377,Egretta tricolor,EC,"Parque Nacional Galápagos, San Cristobal EC-Galapagos (-0.9031,-89.6126)",Galápagos,1,-0.903142,-89.612564,4,6,2021
2175086125,Egretta tricolor,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,5,2018
2147997598,Egretta tricolor,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,4,2018
3519691723,Egretta tricolor,EC,San Cristóbal--Cerro Tijeretas trails,Galápagos,1,-0.891571,-89.60962,21,3,2021
3569396067,Egretta tricolor,EC,San Cristóbal--Puerto Baquerizo Moreno,Galápagos,1,-0.901721,-89.61024,6,10,2021
3584677957,Egretta tricolor,EC,San Cristóbal--Puerto Baquerizo Moreno,Galápagos,1,-0.901721,-89.61024,6,11,2021
3301817057,Egretta tricolor,EC,,Galápagos,1,-0.902925,-89.613062,13,5,2021
3355226569,Egretta tricolor,EC,,Galápagos,1,-0.890813,-89.612147,16,8,2021
3335264355,Egretta tricolor,EC,,Galápagos,1,-0.901013,-89.613333,0,12,2020
3603082100,Egretta tricolor,EC,"Puerto Baquerizo Moreno, Lagoon by stream outlet",Galápagos,1,-0.903201,-89.61307,14,5,2021
3581601830,Egretta tricolor,EC,San Cristóbal--Puerto Baquerizo Moreno bay,Galápagos,1,-0.897976,-89.61358,0,11,2021
3575834069,Egretta tricolor,EC,San Cristóbal--Puerto Baquerizo Moreno Plaza Pública,Galápagos,1,-0.902558,-89.61238,7,7,2021
3552568609,Egretta tricolor,EC,San Cristóbal--Muelle Puerto Baquerizo Moreno,Galápagos,1,-0.901872,-89.61229,7,12,2020
3597925032,Egretta tricolor,EC,San Cristóbal--Puerto Baquerizo Moreno Plaza Pública,Galápagos,1,-0.902558,-89.61238,7,4,2021
3581824161,Egretta tricolor,EC,San Cristóbal--Muelle Puerto Baquerizo Moreno,Galápagos,1,-0.901872,-89.61229,7,6,2021
2175084185,Egretta tricolor,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,5,2018
3516444209,Egretta tricolor,EC,San Cristóbal--Puerto Baquerizo Moreno Plaza Pública,Galápagos,1,-0.902558,-89.61238,7,2,2021
3302321174,Egretta tricolor,EC,,Galápagos,1,-0.903378,-89.612975,9,5,2021
3384878082,Egretta tricolor,EC,,Galápagos,1,-0.901672,-89.612773,0,8,2021
