gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2242846411,Gallinula chloropus,EC,,Galápagos,1,-0.753177,-90.310868,2,12,2018
921837891,Gallinula chloropus,EC,"Galapagos, Isabela, Puerto Villamil und Umgebung",,1,-0.955519,-90.965675,11,12,2012
829196301,Gallinula chloropus,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,2,2003
1748861339,Gallinula chloropus,EC,Santa Cruz--Rancho El Manzanillo,Galápagos,6,-0.696909,-90.40198,189,6,2016
2212667649,Gallinula chloropus,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,6,2016
3044881245,Gallinula chloropus,EC,,Galápagos,1,-0.955645,-90.971283,9,1,2018
3684652047,Gallinula chloropus,EC,Isabela--Posada De Flamengos,Galápagos,2,-0.945527,-90.97488,7,7,2021
1376408340,Gallinula chloropus,EC,Isabela--Punta Moreno,Galápagos,8,-0.692808,-91.31836,0,6,2015
2045377503,Gallinula chloropus,EC,Isla Isabela--Laguna Flamencos,Galápagos,1,-0.952301,-90.97106,9,1,2017
2796533117,Gallinula chloropus,EC,Isabela--Centro de Crianza Tortugas,Galápagos,2,-0.947227,-90.97397,12,5,2018
3564856742,Gallinula chloropus,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,10,2005
1807325838,Gallinula chloropus,EC,,Galápagos,1,-0.959974,-91.005996,20,12,2006
3966369651,Gallinula chloropus,EC,,Galápagos,1,-0.75311,-90.311779,9,11,2022
2423234987,Gallinula chloropus,EC,,Galápagos,1,-0.94526,-90.97504,7,7,2019
2718010174,Gallinula chloropus,EC,Isabela--wetlands south of tortoise breeding center,Galápagos,9,-0.953513,-90.97206,7,10,2019
3674859097,Gallinula chloropus,EC,Isabela--Sendero Crianza Arnaldo Tupiza,Galápagos,8,-0.955375,-90.971275,8,6,2021
2199008199,Gallinula chloropus,EC,Isabela--Trail from Centro Tortugas to Laguna Flamencos to Pue,Galápagos,12,-0.950338,-90.97308,9,7,2018
4022199821,Gallinula chloropus,EC,,Galápagos,1,-0.953436,-90.972053,7,12,2022
1847420188,Gallinula chloropus,EC,,Galápagos,1,-0.947181,-90.973912,12,4,2018
2331855740,Gallinula chloropus,EC,,Galápagos,1,-0.698349,-90.402691,147,7,2019
4006623795,Gallinula chloropus,EC,,Galápagos,1,-0.953105,-90.971894,7,7,2022
3070540035,Gallinula chloropus,EC,,Galápagos,1,-0.957601,-90.968457,0,3,2011
1721398882,Gallinula chloropus,EC,Santa Cruz--Rancho El Manzanillo,Galápagos,3,-0.696909,-90.40198,189,2,2016
2171583262,Gallinula chloropus,EC,Santa Cruz--highlands/tortoise reserve,Galápagos,1,-0.630053,-90.43698,374,5,2018
3068115324,Gallinula chloropus,EC,,Galápagos,1,-0.955305,-90.971327,8,8,2012
3079861749,Gallinula chloropus,EC,,Galápagos,1,-0.95429,-90.971931,10,7,2018
2108198069,Gallinula chloropus,EC,San Cristóbal--El Junco Lagoon,Galápagos,1,-0.895277,-89.479996,650,11,2017
3560733470,Gallinula chloropus,EC,"Parque Nacional Galápagos, San Cristobal EC-Galapagos -0.88745, -89.53878",Galápagos,2,-0.887448,-89.53878,388,10,2021
1206393298,Gallinula chloropus,EC,Isla Santa Cruz,Galápagos,2,-0.640249,-90.37259,610,11,2014
3537624205,Gallinula chloropus,EC,"Parque Nacional Galápagos, Santa Cruz EC-Galápagos -0.75041, -90.30957",Galápagos,2,-0.750412,-90.30957,4,9,2021
2695745617,Gallinula chloropus,EC,Santa Cruz--Rancho Primicias,Galápagos,8,-0.670337,-90.43067,230,6,2019
3090708741,Gallinula chloropus,EC,,Galápagos,1,-0.953921,-90.971738,8,7,2018
1838345111,Gallinula chloropus,EC,,Galápagos,1,-0.698238,-90.402535,145,3,2018
3112436757,Gallinula chloropus,EC,,Galápagos,1,-0.95538,-90.971224,9,4,2021
1778532103,Gallinula chloropus,EC,Isla Isabela,Galápagos,1,-0.80106,-91.12871,907,8,2011
2146264040,Gallinula chloropus,EC,San Cristóbal--El Junco Lagoon,Galápagos,4,-0.895277,-89.479996,650,5,2018
1733595144,Gallinula chloropus,EC,Santa Cruz--highlands/tortoise reserve,Galápagos,4,-0.630053,-90.43698,374,4,2016
3662399752,Gallinula chloropus,EC,Galapagos,Galápagos,1,-1.277709,-90.48674,8,12,2019
