gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2215034783,Geospiza difficilis,EC,Genovesa--Darwin Bay,Galápagos,3,0.319123,-89.95776,22,7,2008
2115517133,Geospiza difficilis,EC,Genovesa,Galápagos,4,0.328215,-89.95622,19,12,2017
2227707867,Geospiza difficilis,EC,Genovesa--Darwin Bay,Galápagos,2,0.319123,-89.95776,22,11,2004
2764169538,Geospiza difficilis,EC,Isla Fernandina--Punta Espinoza,Galápagos,1,-0.264551,-91.445946,0,6,2019
1751814901,Geospiza difficilis,EC,Genovesa,Galápagos,1,0.328215,-89.95622,19,1,2013
2062951749,Geospiza difficilis,EC,Genovesa--Prince Philip's Steps,Galápagos,1,0.310197,-89.94352,6,6,2017
831608761,Geospiza difficilis,EC,Isla Fernandina--Punta Espinoza,Galápagos,1,-0.264551,-91.445946,0,10,2012
961495615,Geospiza difficilis,EC,Genovesa--Darwin Bay,Galápagos,1,0.319123,-89.95776,22,7,2013
3279735365,Geospiza difficilis,EC,Genovesa--Prince Philip's Steps,Galápagos,2,0.310197,-89.94352,6,6,2002
1747614597,Geospiza difficilis,EC,Genovesa,Galápagos,12,0.328215,-89.95622,19,6,2016
1207881193,Geospiza difficilis,EC,Genovesa--Prince Philip's Steps,Galápagos,4,0.310197,-89.94352,6,3,2014
269426938,Geospiza difficilis,EC,Isla Genovesa (Tower)-Darwin Bay,Galápagos,15,0.314568,-89.95245,0,9,2007
2778496696,Geospiza difficilis,EC,Isla Santiago--Puerto Egas,Galápagos,1,-0.244788,-90.86174,16,6,2019
2166801491,Geospiza difficilis,EC,Genovesa--Darwin Bay,Galápagos,5,0.319123,-89.95776,22,6,2018
1725900949,Geospiza difficilis,EC,Genovesa--Prince Philip's Steps,Galápagos,1,0.310197,-89.94352,6,4,2016
2227517715,Geospiza difficilis,EC,Genovesa (Tower),Galápagos,3,0.324095,-89.972534,42,12,2018
2690519388,Geospiza difficilis,EC,Genovesa,Galápagos,1,0.328215,-89.95622,19,5,2019
