gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2873742349,Geospiza fortis,EC,,Galápagos,1,-0.947402,-90.973995,9,1,2019
4011685683,Geospiza fortis,EC,,Galápagos,1,-1.226389,-90.42683,19,12,2022
2716671188,Geospiza fortis,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,6,2008
2799974168,Geospiza fortis,EC,Isla Isabela,Galápagos,1,-0.80106,-91.12871,907,8,2003
2719424787,Geospiza fortis,EC,Baltra--Aeropuerto/Airport,Galápagos,5,-0.450349,-90.26848,50,11,2019
3568601467,Geospiza fortis,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,6,2017
1190881062,Geospiza fortis,EC,Isla Santa Cruz,Galápagos,2,-0.640249,-90.37259,610,7,2009
1179994862,Geospiza fortis,EC,Isabela--Punta Moreno,Galápagos,1,-0.692808,-91.31836,0,7,2014
1401502830,Geospiza fortis,EC,Santa Cruz--Puerto Ayora,Galápagos,1,-0.74233,-90.31457,12,12,2015
3138676930,Geospiza fortis,EC,Isla Eden,Galápagos,1,-0.560058,-90.537254,42,1,2020
2800442246,Geospiza fortis,EC,Santa Cruz to Baltra Ferry,Galápagos,1,-0.48571,-90.2786,0,7,2016
2090713456,Geospiza fortis,EC,Isabela Is -- coming down from Sierra Negra,Galápagos,2,-0.846702,-91.0573,504,7,2017
2722541375,Geospiza fortis,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,11,2019
1204416999,Geospiza fortis,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,3,2004
180263005,Geospiza fortis,EC,Isla Santiago--Puerto Egas,Galápagos,1,-0.244788,-90.86174,16,3,2007
2042707466,Geospiza fortis,EC,San Cristóbal--Cerro Tijeretas trails,Galápagos,1,-0.891571,-89.60962,21,2,2017
2125416713,Geospiza fortis,EC,"(-0.748, -90.313)",Galápagos,4,-0.747958,-90.31342,0,3,2018
1787684354,Geospiza fortis,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,7,2007
2873900329,Geospiza fortis,EC,,Galápagos,1,-0.765575,-90.33961,0,7,2019
2873877356,Geospiza fortis,EC,,Galápagos,1,-0.742686,-90.303763,10,12,2000
2774407855,Geospiza fortis,EC,"Galapagos Islands, Isabela EC-Galapagos (-0.7219,-91.3339)",Galápagos,1,-0.721872,-91.3339,59,7,2019
3529604102,Geospiza fortis,EC,Santa Cruz--Rancho El Chato,Galápagos,12,-0.667624,-90.43156,231,6,2021
3694097273,Geospiza fortis,EC,Floreana--Post Office Bay,Galápagos,2,-1.236016,-90.44947,0,12,2021
1383853866,Geospiza fortis,EC,Santa Cruz--Charles Darwin Research Station,Galápagos,6,-0.741642,-90.30513,11,8,2015
2187477428,Geospiza fortis,EC,Santa Cruz--Charles Darwin Research Station,Galápagos,20,-0.741642,-90.30513,11,6,2018
2085707847,Geospiza fortis,EC,Santa Cruz--Rancho Primicias,Galápagos,45,-0.670337,-90.43067,230,6,2017
271684499,Geospiza fortis,EC,Española--Punta Suarez,Galápagos,7,-1.371529,-89.74399,7,6,2008
3199231250,Geospiza fortis,EC,Santa Cruz--Rancho El Chato,Galápagos,1,-0.667624,-90.43156,231,8,2018
1207935303,Geospiza fortis,EC,Santa Cruz--Charles Darwin Research Station,Galápagos,1,-0.741642,-90.30513,11,6,2014
1715771465,Geospiza fortis,EC,Urbina Cove,Galápagos,2,-0.818454,-90.7978,0,2,2016
1749858269,Geospiza fortis,EC,Isla Baltra,Galápagos,1,-0.462708,-90.275085,33,6,2016
2712421177,Geospiza fortis,EC,Santa Cruz--Los Gemelos sinkholes,Galápagos,12,-0.625613,-90.38525,607,7,2019
3070260080,Geospiza fortis,EC,,Galápagos,1,-0.691154,-90.220847,6,2,2012
2115355893,Geospiza fortis,EC,North Seymour Island trail,Galápagos,1,-0.3989,-90.291275,6,7,2015
3687369654,Geospiza fortis,EC,Floreana--Punta Cormorant,Galápagos,6,-1.226127,-90.42834,12,6,2021
589325404,Geospiza fortis,EC,Puerto Villamil-El Cura,Galápagos,1,-0.928304,-91.01349,39,6,2011
2126377901,Geospiza fortis,EC,Floreana--Puerto Velazco Ibarra,Galápagos,2,-1.276534,-90.4888,3,2,2018
3638531563,Geospiza fortis,EC,San Cristóbal--El Junco Lagoon,Galápagos,1,-0.895277,-89.479996,650,11,2009
960990737,Geospiza fortis,EC,Isla Baltra,Galápagos,1,-0.462708,-90.275085,33,7,2013
2786795963,Geospiza fortis,EC,"Galapagos Islands, San Cristobal EC-Galapagos (-0.6977,-89.2676)",Galápagos,1,-0.697657,-89.26756,0,8,2019
2706239941,Geospiza fortis,EC,San Cristóbal--La Galapaguera,Galápagos,1,-0.913543,-89.43605,121,7,2019
1193596000,Geospiza fortis,EC,San Cristóbal--Cerro Brujo,Galápagos,1,-0.764342,-89.45876,8,1,2005
3631913815,Geospiza fortis,EC,"Parque Nacional Galápagos, Santa Cruz EC-Galapagos -0.74235, -90.30932",Galápagos,1,-0.742355,-90.30932,7,7,2021
1987552068,Geospiza fortis,EC,no specific locality,Galapagos Islands,1,-0.422455,-90.372162,42,1,1981
1987552075,Geospiza fortis,EC,no specific locality,Galapagos Islands,1,-0.422455,-90.372162,42,1,1981
1987553992,Geospiza fortis,EC,no specific locality,Galapagos Islands,1,-0.422455,-90.372162,42,1,1981
1987553940,Geospiza fortis,EC,no specific locality,Galapagos Islands,1,-0.422455,-90.372162,42,1,1981
1987556401,Geospiza fortis,EC,no specific locality,Galapagos Islands,1,-0.422455,-90.372162,42,1,1981
1180250395,Geospiza fortis,EC,"North Seymour, Galapagos, Ecuador",Galápagos,2,-0.395242,-90.28427,19,7,2014
2064909401,Geospiza fortis,EC,Isla San Cristóbal,Galápagos,1,-0.905648,-89.530334,450,4,2017
977315142,Geospiza fortis,EC,Isla San Cristóbal,Galápagos,1,-0.905648,-89.530334,450,3,2011
3563377105,Geospiza fortis,EC,Isla Santiago--Puerto Egas,Galápagos,1,-0.244788,-90.86174,16,8,2021
