gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2733831269,Limosa fedoa,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,7,2009
1198923656,Limosa fedoa,EC,"Isla Baltra and Las Bachas Beach, Santa Cruz",Galápagos,1,-0.48088,-90.29095,6,7,2009
1401070408,Limosa fedoa,EC,Floreana--Post Office Bay,Galápagos,1,-1.236016,-90.44947,0,12,2015
829529000,Limosa fedoa,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,8,2009
2769956217,Limosa fedoa,EC,Isabela--Playita,Galápagos,1,-0.958815,-90.98662,0,11,2010
1401504164,Limosa fedoa,EC,Floreana--Post Office Bay,Galápagos,1,-1.236016,-90.44947,0,12,2015
1190427772,Limosa fedoa,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,7,2009
2756664176,Limosa fedoa,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,7,2009
1185900563,Limosa fedoa,EC,Playa Tortuga Bay,Galápagos,1,-0.76169,-90.33593,5,10,1997
2670392743,Limosa fedoa,EC,Santa Cruz--El Garrapatero Beach,Galápagos,1,-0.694654,-90.2208,2,3,2019
2110650849,Limosa fedoa,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,1,2014
1791299705,Limosa fedoa,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,5,2009
2656855272,Limosa fedoa,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,7,2009
3293600756,Limosa fedoa,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,7,2009
829704871,Limosa fedoa,EC,"Puerto Villamil, Isabela",Galápagos,1,-0.956047,-90.967316,8,2,2011
935768608,Limosa fedoa,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,7,2010
1204683093,Limosa fedoa,EC,Santa Cruz--Las Bachas Beach,Galápagos,1,-0.494164,-90.340706,4,1,2010
