gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1389601291,Oceanites gracilis,EC,Off coast of Espanola,Galápagos,1,-1.343213,-89.711525,0,9,2015
3244341704,Oceanites gracilis,EC,North Seymour,Galápagos,1,-0.393273,-90.285645,12,11,2005
1782943570,Oceanites gracilis,EC,Española<-->San Cristóbal pelagic,Galápagos,3,-1.116237,-89.654785,0,6,2012
2182222747,Oceanites gracilis,EC,Isabela--northwest,Galápagos,4,-0.027856,-91.57003,0,6,2018
1777941682,Oceanites gracilis,EC,Playa Tortuga Negra,Galápagos,5,-0.245132,-91.38638,0,11,2008
2095544734,Oceanites gracilis,EC,Santa Cruz--Caleta Tortuga Negra (Black Turtle Cove),Galápagos,36,-0.497125,-90.32599,0,8,2017
3620019285,Oceanites gracilis,EC,Española--Punta Suarez,Galápagos,2,-1.371529,-89.74399,7,10,2021
1782274610,Oceanites gracilis,EC,Santa Cruz--South Plaza,Galápagos,1,-0.583188,-90.16501,7,1,2005
1399031139,Oceanites gracilis,EC,Santa Cruz--Las Bachas Beach,Galápagos,15,-0.494164,-90.340706,4,11,2015
1201830564,Oceanites gracilis,EC,Floreana<-->Española pelagic,Galápagos,15,-1.347761,-90.05615,0,6,2012
3145861217,Oceanites gracilis,EC,Isla Santiago--Buccaneer Cove,Galápagos,1,-0.190887,-90.83153,78,1,2020
2150989345,Oceanites gracilis,EC,Isla Santiago--Buccaneer Cove,Galápagos,15,-0.190887,-90.83153,78,3,2018
2718882588,Oceanites gracilis,EC,Floreana--Isla Champion,Galápagos,1,-1.237925,-90.38574,20,6,2007
2690331272,Oceanites gracilis,EC,Puerto Baquerizo Moreno to Isla Lobos boat,Galápagos,10,-0.872655,-89.59103,0,8,2019
2681503144,Oceanites gracilis,EC,Santa Cruz--Puerto Ayora,Galápagos,1,-0.742329,-90.31457,12,1,2010
2675459414,Oceanites gracilis,EC,Santa Cruz--South Plaza,Galápagos,5,-0.583188,-90.16501,7,2,2003
2219302849,Oceanites gracilis,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,10,2018
276078381,Oceanites gracilis,EC,Santa Cruz--Puerto Ayora,Galápagos,20,-0.742329,-90.31457,12,7,2010
2117326330,Oceanites gracilis,EC,Isla Isabela,Galápagos,1,-0.80106,-91.12871,907,8,2007
2175336556,Oceanites gracilis,EC,Isla Santiago--Puerto Egas,Galápagos,25,-0.244788,-90.86174,16,4,2018
2124292919,Oceanites gracilis,EC,Bolivar Channel,Galápagos,30,-0.306482,-91.382416,0,7,2017
3139356237,Oceanites gracilis,EC,Isla Eden,Galápagos,5,-0.560058,-90.537254,42,1,2020
1767862208,Oceanites gracilis,EC,Galapagos Islands--entire area (*historical checklists only; please use a more precise location when possible),Galápagos,1,-0.478779,-90.62516,0,8,1991
3685931020,Oceanites gracilis,EC,Isabela--Elizabeth Bay,Galápagos,10,-0.597285,-91.08318,0,9,2021
