gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2690829852,Pelagodroma marina,EC,"(-0.1099,-91.5143)",Galápagos,1,-0.109927,-91.51429,0,7,2019
1793366487,Pelagodroma marina,EC,Bolivar Channel,Galápagos,1,-0.306482,-91.382416,0,7,2008
592005067,Pelagodroma marina,EC,Isla Isabela--Puerto Villamil area,Galápagos,1,-0.953707,-90.96954,6,6,2008
592003154,Pelagodroma marina,EC,Isla Isabela--Puerto Villamil area,Galápagos,1,-0.953707,-90.96954,6,6,2008
2741873300,Pelagodroma marina,EC,Galapagos Islands--entire area (*historical checklists only; please use a more precise location when possible),Galápagos,1,-0.478779,-90.62516,0,7,2009
2655130243,Pelagodroma marina,EC,Galapagos Islands--entire area (*historical checklists only; please use a more precise location when possible),Galápagos,1,-0.478779,-90.62516,0,7,2009
3625270237,Pelagodroma marina,EC,Genovesa,Galápagos,2,0.328215,-89.95622,19,8,2019
1792953742,Pelagodroma marina,EC,Isabela--Elizabeth Bay,Galápagos,1,-0.597285,-91.08318,0,7,2008
2178086827,Pelagodroma marina,EC,"(-1.3391,-89.6570)",Galápagos,1,-1.339127,-89.657005,0,6,2018
2716943416,Pelagodroma marina,EC,"(-1.3391,-89.6570)",Galápagos,1,-1.339127,-89.657005,0,6,2018
1793149194,Pelagodroma marina,EC,Bolivar Channel,Galápagos,1,-0.306482,-91.382416,0,7,2008
2725312325,Pelagodroma marina,EC,Isla Mosquera,Galápagos,2,-0.405031,-90.27793,9,12,2018
2204179629,Pelagodroma marina,EC,"(-1.3391,-89.6570)",Galápagos,1,-1.339127,-89.657005,0,6,2018
592660662,Pelagodroma marina,EC,Isla Baltra,Galápagos,1,-0.462708,-90.275085,33,6,2010
1207056013,Pelagodroma marina,EC,Santa Cruz--Academy Bay,Galápagos,1,-0.750825,-90.30414,0,4,2011
2194761962,Pelagodroma marina,EC,Bolivar Channel,Galápagos,1,-0.306482,-91.382416,0,7,2008
1410683558,Pelagodroma marina,EC,Galápagos--inshore waters north,Galápagos,2,0.0,-90.0,0,7,2008
3208348888,Pelagodroma marina,EC,Galapagos Islands--entire area (*historical checklists only; please use a more precise location when possible),Galápagos,1,-0.478779,-90.62516,0,7,2009
1789031116,Pelagodroma marina,EC,Isla Isabela--Puerto Villamil area,Galápagos,1,-0.953707,-90.96954,6,6,2008
1185902217,Pelagodroma marina,EC,Galápagos--inshore waters north,Galápagos,3,0.0,-90.0,0,6,2005
2183175536,Pelagodroma marina,EC,"(-1.3391,-89.6570)",Galápagos,1,-1.339127,-89.657005,0,6,2018
1793318884,Pelagodroma marina,EC,Bolivar Channel,Galápagos,1,-0.306482,-91.382416,0,7,2008
2705680475,Pelagodroma marina,EC,Marchena<-->Genovesa pelagic,Galápagos,4,0.291222,-90.17492,0,8,2019
833710067,Pelagodroma marina,EC,Bolivar Channel,Galápagos,1,-0.306482,-91.382416,0,7,2008
1184475246,Pelagodroma marina,EC,Galápagos--inshore waters north,Galápagos,1,0.0,-90.0,0,7,2014
2194876952,Pelagodroma marina,EC,"(-1.3391,-89.6570)",Galápagos,1,-1.339127,-89.657005,0,6,2018
2164619010,Pelagodroma marina,EC,"(-1.3391,-89.6570)",Galápagos,1,-1.339127,-89.657005,0,6,2018
3162907286,Pelagodroma marina,EC,Genovesa,Galápagos,2,0.328215,-89.95622,19,8,2019
2779710933,Pelagodroma marina,EC,Off Espanola,Galápagos,1,-1.27086,-89.84298,0,6,2019
1185765497,Pelagodroma marina,EC,Española<-->San Cristóbal pelagic,Galápagos,1,-1.116237,-89.654785,0,7,2014
