gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1838369868,Pelecanus occidentalis,EC,,Galápagos,1,-0.241442,-90.86133,0,3,2018
3860823852,Pelecanus occidentalis,EC,,Galápagos,1,-0.900174,-89.610168,0,4,2022
2850864070,Pelecanus occidentalis,EC,,Galápagos,1,-0.694649,-90.220802,2,1,2015
3985642205,Pelecanus occidentalis,EC,,Galápagos,1,-0.9583,-90.9643,0,1,2018
2294581740,Pelecanus occidentalis,EC,,Galápagos,1,-0.515424,-90.527259,0,6,2017
3925378161,Pelecanus occidentalis,EC,,Galápagos,1,-0.90033,-89.610445,1,10,2022
2104766926,Pelecanus occidentalis,EC,Genovesa--Prince Philip's Steps,Galápagos,1,0.310197,-89.94352,6,11,2017
2181998671,Pelecanus occidentalis,EC,Santa Cruz--Caleta Tortuga Negra (Black Turtle Cove),Galápagos,5,-0.497125,-90.32599,0,2,2017
2686464581,Pelecanus occidentalis,EC,Bolivar Channel--north end,Galápagos,1,-0.111511,-91.5312,0,6,2019
2659008246,Pelecanus occidentalis,EC,Santa Cruz--South Plaza,Galápagos,1,-0.583188,-90.16501,7,10,1998
1347124366,Pelecanus occidentalis,EC,Santa Cruz--Tortuga Bay and trail from Puerto Ayora,Galápagos,1,-0.760905,-90.332214,6,1,2015
1787622643,Pelecanus occidentalis,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,7,2007
836098837,Pelecanus occidentalis,EC,Española<-->San Cristóbal pelagic,Galápagos,1,-1.116237,-89.654785,0,8,2012
3662316967,Pelecanus occidentalis,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,6,1997
3686633979,Pelecanus occidentalis,EC,Genovesa--Darwin Bay,Galápagos,1,0.319123,-89.95776,22,9,2021
2036385010,Pelecanus occidentalis,EC,Floreana--Punta Cormorant,Galápagos,2,-1.226127,-90.42834,12,1,2017
3148086060,Pelecanus occidentalis,EC,San Cristóbal--Cerro Brujo,Galápagos,3,-0.793167,-89.46366,18,1,2020
2796990715,Pelecanus occidentalis,EC,Santa Cruz--Charles Darwin Research Station,Galápagos,6,-0.741642,-90.30513,11,12,2019
2076715667,Pelecanus occidentalis,EC,Isla Bartolome,Galápagos,2,-0.284871,-90.55391,10,6,2017
1785980863,Pelecanus occidentalis,EC,Santa Cruz--Charles Darwin Research Station,Galápagos,5,-0.741642,-90.30513,11,11,2016
1203676526,Pelecanus occidentalis,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,7,2014
3286044831,Pelecanus occidentalis,EC,Santiago--Sombrero Chino,Galápagos,3,-0.369799,-90.583626,0,2,2015
1376694357,Pelecanus occidentalis,EC,Isabela--Urvina Bay (Urbina Bay),Galápagos,1,-0.400998,-91.23596,0,6,2015
3652583897,Pelecanus occidentalis,EC,San Cristóbal--Puerto Baquerizo Moreno Plaza Pública,Galápagos,2,-0.902558,-89.61238,7,10,2021
591684501,Pelecanus occidentalis,EC,Isla Santa Fe,Galápagos,1,-0.816909,-90.04068,59,12,2004
2173107634,Pelecanus occidentalis,EC,Isabela--Punta Vicente Roca,Galápagos,3,-0.051709,-91.56191,50,5,2018
3633680424,Pelecanus occidentalis,EC,"Parque Nacional Galápagos, Isabela EC-Galapagos -0.96580, -90.96277",Galápagos,5,-0.965797,-90.962776,0,6,2021
3558800557,Pelecanus occidentalis,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,2,2017
3271020737,Pelecanus occidentalis,EC,Genovesa,Galápagos,1,0.328215,-89.95622,19,11,2005
