gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1783701639,Phalaropus fulicarius,EC,Isla Baltra,Galápagos,10,-0.462708,-90.275085,33,11,2013
3288306129,Phalaropus fulicarius,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,11,2015
2113770375,Phalaropus fulicarius,EC,"(-0.8502,-90.0261)",Galápagos,7,-0.850219,-90.02609,0,11,2017
3276628597,Phalaropus fulicarius,EC,Áreas costeras de Fernandina y del occidente de Isabela IBA,Galápagos,1,-0.2935,-91.405334,0,1,2014
840153201,Phalaropus fulicarius,EC,Cruising between Santiago I. and Plazas Is.,Galápagos,100,-0.320147,-90.40993,0,11,2012
2201678274,Phalaropus fulicarius,EC,Isabela--Nearshore waters NW Coast,Galápagos,1,-0.040855,-91.59465,0,11,2006
596079428,Phalaropus fulicarius,EC,Isla Santa Fe,Galápagos,100,-0.816909,-90.04068,59,11,2010
3136142279,Phalaropus fulicarius,EC,Isabela--Punta Moreno,Galápagos,1,-0.692808,-91.31836,0,1,2020
3676683577,Phalaropus fulicarius,EC,Española--Punta Suarez,Galápagos,30,-1.371529,-89.74399,7,11,2021
964646560,Phalaropus fulicarius,EC,Isabela--Elizabeth Bay,Galápagos,1,-0.597285,-91.08318,0,2,2010
2114051710,Phalaropus fulicarius,EC,Punta Moreno,Galápagos,5,-0.718294,-91.33715,1,1,1998
256053072,Phalaropus fulicarius,EC,Galapagos--Santa Cruz to Santa Fe,Galápagos,2,-0.782751,-90.16205,0,9,2007
3649467681,Phalaropus fulicarius,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,11,2009
2668054914,Phalaropus fulicarius,EC,Santa Cruz--Ferry Terminal,Galápagos,20,-0.487568,-90.280426,8,1,2018
1406391665,Phalaropus fulicarius,EC,Santa Cruz<-->Santa Fe pelagic,Galápagos,5,-0.801461,-90.170715,0,11,2015
2706343083,Phalaropus fulicarius,EC,Santa Cruz<-->Isabela pelagic,Galápagos,150,-0.881893,-90.625534,0,11,2019
3691812656,Phalaropus fulicarius,EC,Santa Cruz--Cerro Dragon,Galápagos,16,-0.526929,-90.48804,6,12,2021
596143563,Phalaropus fulicarius,EC,Isla Santa Fe,Galápagos,100,-0.816909,-90.04068,59,11,2010
1405493858,Phalaropus fulicarius,EC,Isla Santiago--Buccaneer Cove,Galápagos,230,-0.190887,-90.83153,78,8,2001
2762228015,Phalaropus fulicarius,EC,San Cristóbal<-->Santa Cruz pelagic,Galápagos,100,-0.766095,-90.00223,0,11,2019
3648860447,Phalaropus fulicarius,EC,Santa Cruz--Caleta Tortuga Negra (Black Turtle Cove),Galápagos,1,-0.497125,-90.32599,0,12,2021
2709966453,Phalaropus fulicarius,EC,Santa Cruz<-->Isabela pelagic,Galápagos,150,-0.881893,-90.625534,0,11,2019
1202709353,Phalaropus fulicarius,EC,Isabela Channel,Galápagos,3,-0.332335,-90.90912,0,12,2013
