gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2227173359,Phoebastria irrorata,EC,Española--Punta Suarez,Galápagos,200,-1.371529,-89.74399,7,6,2018
1204688397,Phoebastria irrorata,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,8,2014
837948636,Phoebastria irrorata,EC,Española--Gardner Bay,Galápagos,5,-1.353596,-89.66131,16,11,2011
2139682026,Phoebastria irrorata,EC,Isabela--Elizabeth Bay,Galápagos,1,-0.597285,-91.08318,0,7,2004
2689342130,Phoebastria irrorata,EC,Española--Punta Suarez,Galápagos,73,-1.371529,-89.74399,7,8,2019
3146224036,Phoebastria irrorata,EC,Isla Española,Galápagos,400,-1.3753,-89.6777,130,5,2015
2188547823,Phoebastria irrorata,EC,Española--Punta Suarez,Galápagos,25,-1.371529,-89.74399,7,11,2004
3196130829,Phoebastria irrorata,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,6,2013
3559624059,Phoebastria irrorata,EC,Española<-->San Cristóbal pelagic,Galápagos,3,-1.116237,-89.654785,0,8,2021
3532998370,Phoebastria irrorata,EC,San Cristóbal<-->Santa Cruz pelagic,Galápagos,7,-0.766095,-90.00223,0,6,2021
2151726469,Phoebastria irrorata,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,1,2004
2832858161,Phoebastria irrorata,EC,Ecuador - Galápagos - Espanola,,1,-1.372668,-89.743867,5,12,2016
2788988852,Phoebastria irrorata,EC,Española--Punta Suarez,Galápagos,40,-1.371529,-89.74399,7,11,2019
3658232751,Phoebastria irrorata,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,7,2015
2128819249,Phoebastria irrorata,EC,"(-0.7903,-90.0837)",Galápagos,8,-0.790319,-90.08373,0,7,2017
1763236270,Phoebastria irrorata,EC,Española--Gardner Bay,Galápagos,1,-1.353596,-89.66131,16,8,2016
3692120413,Phoebastria irrorata,EC,Genovesa--Darwin Bay,Galápagos,1,0.319123,-89.95776,22,6,1997
943997922,Phoebastria irrorata,EC,Santa Cruz<-->Española pelagic,Galápagos,10,-1.080579,-90.01268,0,11,2011
1147237224,Phoebastria irrorata,EC,Española Island,Galápagos,1,-1.369817,-89.739033,2,5,2010
1147041504,Phoebastria irrorata,EC,Española Island,Galápagos,1,-1.369817,-89.739033,2,5,2010
1147064719,Phoebastria irrorata,EC,Española Island,Galápagos,1,-1.369817,-89.739033,2,5,2010
1147136246,Phoebastria irrorata,EC,Española Island,Galápagos,1,-1.369817,-89.739033,2,5,2010
1147193987,Phoebastria irrorata,EC,Española Island,Galápagos,1,-1.369817,-89.739033,2,5,2010
1147043053,Phoebastria irrorata,EC,Española Island,Galápagos,1,-1.369817,-89.739033,2,5,2010
1147135431,Phoebastria irrorata,EC,Española Island,Galápagos,1,-1.369817,-89.739033,2,5,2010
1147100157,Phoebastria irrorata,EC,Española Island,Galápagos,1,-1.369817,-89.739033,2,5,2010
4057237547,Phoebastria irrorata,EC,Ecuador - Galápagos - Espanola,,3,-1.367523,-89.742027,0,11,2022
2201835042,Phoebastria irrorata,EC,"Galapagos Islands, Santa Cruz EC-Galapagos (-0.7427,-90.3102)",Galápagos,1,-0.74265,-90.31024,5,10,2018
1757568933,Phoebastria irrorata,EC,Española--Gardner Bay,Galápagos,4,-1.353596,-89.66131,16,6,1998
