gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2200443111,Phoenicopterus chilensis,EC,Islotes Mirador de la Baronesa,Galápagos,1,-1.228787,-90.44427,0,9,2018
2099414545,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,3,2017
2139058630,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,4,2018
3606180591,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,4,2021
3200167968,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,2,2010
3630050095,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,5,2021
2227893497,Phoenicopterus chilensis,EC,"Galapagos Islands, Floreana EC-Galapagos (Punta Cormoran) (-1.2277,-90.4249)",Galápagos,1,-1.227703,-90.42488,7,11,2018
2698191715,Phoenicopterus chilensis,EC,Floreana--Post Office Bay,Galápagos,1,-1.236016,-90.44947,0,8,2019
2206158231,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,3,-1.226127,-90.42834,12,10,2018
2709989187,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,11,2019
2666556201,Phoenicopterus chilensis,EC,Floreana--Mirador de la Baronessa,Galápagos,1,-1.226396,-90.43843,0,4,2019
2780943079,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,4,2019
2781027093,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,8,2019
2160424437,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,5,2018
2691530697,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,2,-1.226127,-90.42834,12,5,2019
2772974927,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,8,2019
3666353840,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,3,2021
2740053309,Phoenicopterus chilensis,EC,Floreana--Mirador de la Baronessa,Galápagos,1,-1.226396,-90.43843,0,4,2019
2690263741,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,8,2019
2788710881,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,2,-1.226127,-90.42834,12,8,2019
2692196242,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,8,2019
2764176611,Phoenicopterus chilensis,EC,"Galapagos Islands, Floreana EC-Galapagos (-1.2910,-90.4316)",Galápagos,2,-1.290971,-90.43158,362,7,2019
2151649883,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,4,2018
2795061714,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,8,2019
2206667105,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,3,-1.226127,-90.42834,12,10,2018
2777548185,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,8,2019
2762367159,Phoenicopterus chilensis,EC,Floreana--Mirador de la Baronessa,Galápagos,1,-1.226396,-90.43843,0,11,2019
1776741542,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,2,-1.226127,-90.42834,12,7,2016
3557939905,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,2,2021
3283766213,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,7,2008
2783954116,Phoenicopterus chilensis,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,8,2019
2243732651,Phoenicopterus chilensis,EC,Punta Cormorant,,1,-1.227,-90.4284,15,8,2016
2189234897,Phoenicopterus chilensis,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,6,2018
