gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3903551674,Phoenicopterus ruber,EC,,Galápagos,1,-0.825167,-91.092833,999,7,2013
2423088261,Phoenicopterus ruber,EC,,Galápagos,1,-0.954169,-90.971707,10,1,2019
3802504488,Phoenicopterus ruber,EC,,Galápagos,1,-1.226572,-90.428391,12,5,2022
2780057370,Phoenicopterus ruber,EC,Floreana--Punta Cormorant,Galápagos,17,-1.226127,-90.42834,12,8,2019
2113345439,Phoenicopterus ruber,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,8,2012
3667148093,Phoenicopterus ruber,EC,Santa Cruz--Cerro Dragon,Galápagos,2,-0.526929,-90.48804,6,11,2021
1175740507,Phoenicopterus ruber,EC,"Punta Comorant, Floreana Island",Galápagos,29,-1.22511,-90.4282,0,6,2014
2745923302,Phoenicopterus ruber,EC,Floreana--Punta Cormorant,Galápagos,65,-1.226127,-90.42834,12,3,2019
1154678365,Phoenicopterus ruber,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,1,2014
4018131010,Phoenicopterus ruber,EC,,Galápagos,1,-0.953414,-90.972083,7,1,2023
3645648335,Phoenicopterus ruber,EC,Isla Rábida,Galápagos,11,-0.400654,-90.70776,9,9,2021
1352923965,Phoenicopterus ruber,EC,Santa Cruz--Las Bachas Beach,Galápagos,5,-0.494164,-90.340706,4,2,2015
1779041999,Phoenicopterus ruber,EC,Floreana--Punta Cormorant,Galápagos,20,-1.226127,-90.42834,12,4,2003
961448551,Phoenicopterus ruber,EC,Isla Rábida,Galápagos,3,-0.400654,-90.70776,9,7,2013
2138030602,Phoenicopterus ruber,EC,Isabela--Trail from Centro Tortugas to Laguna Flamencos to Pue,Galápagos,10,-0.950338,-90.97308,9,3,2018
3663396533,Phoenicopterus ruber,EC,Isabela--Puerto Villamil beach front,Galápagos,2,-0.957511,-90.96847,0,12,2019
2709374659,Phoenicopterus ruber,EC,Floreana--Punta Cormorant,Galápagos,20,-1.226127,-90.42834,12,11,2019
1640082555,Phoenicopterus ruber,EC,,Galápagos,1,-0.536949,-90.494385,32,3,2012
1052600585,Phoenicopterus ruber,EC,,Galápagos,1,-0.351318,-90.565673,0,3,2012
3398861578,Phoenicopterus ruber,EC,,Galápagos,1,-0.954373,-90.971678,9,10,2021
1405043141,Phoenicopterus ruber,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,5,2014
2683280105,Phoenicopterus ruber,EC,Isla Bartolome,Galápagos,2,-0.284871,-90.55391,10,6,2019
1378601537,Phoenicopterus ruber,EC,Santa Cruz--Cerro Dragon,Galápagos,4,-0.526929,-90.48804,6,7,2015
1162495221,Phoenicopterus ruber,EC,Isabela--Puerto Villamil,Galápagos,4,-0.956961,-90.96559,9,3,2014
2767741410,Phoenicopterus ruber,EC,Isla Fernandina--Mangle Point,Galápagos,1,-0.454555,-91.38239,0,2,2019
942346209,Phoenicopterus ruber,EC,"Floreana, Galapagos Islands, Ecuador",Galápagos,1,-1.2975,-90.434166,434,1,2002
2680522853,Phoenicopterus ruber,EC,Santiago--Sombrero Chino,Galápagos,15,-0.369799,-90.583626,0,5,2018
3257808496,Phoenicopterus ruber,EC,"21 sep. 2020 2:28 p. m.--0,692, -90,222",Galápagos,1,-0.69226,-90.222244,4,9,2020
2742363896,Phoenicopterus ruber,EC,Isabela--Concha de Perla,Galápagos,6,-0.962294,-90.95741,1,4,2019
3698217047,Phoenicopterus ruber,EC,,Galápagos,1,-1.226304,-90.427275,10,10,2008
3903325062,Phoenicopterus ruber,EC,,Galápagos,1,-0.952079,-90.971464,9,8,2022
2456537663,Phoenicopterus ruber,EC,,Galápagos,1,-0.945562,-90.974913,8,8,2012
2609346284,Phoenicopterus ruber,EC,,Galápagos,1,-1.227098,-90.427295,11,12,2000
2423165234,Phoenicopterus ruber,EC,,Galápagos,1,-0.952999,-90.972446,9,8,2015
1640067263,Phoenicopterus ruber,EC,,Galápagos,1,-0.954342,-90.971545,8,8,2017
3113294698,Phoenicopterus ruber,EC,,Galápagos,1,-1.227316,-90.427308,10,2,2018
3090651751,Phoenicopterus ruber,EC,,Galápagos,1,-0.953921,-90.971738,8,7,2018
1978464232,Phoenicopterus ruber,EC,,Galápagos,1,-1.225299,-90.42517,42,2,2010
3802569728,Phoenicopterus ruber,EC,,Galápagos,1,-0.494257,-90.338404,5,5,2022
2719957012,Phoenicopterus ruber,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,4,2019
2758585744,Phoenicopterus ruber,EC,Isla Isabela--Laguna Flamencos,Galápagos,12,-0.952301,-90.97106,9,7,2019
1738340595,Phoenicopterus ruber,EC,Floreana--Punta Cormorant,Galápagos,5,-1.226127,-90.42834,12,4,2016
3802562382,Phoenicopterus ruber,EC,,Galápagos,1,-0.945222,-90.974967,7,1,2022
1838352191,Phoenicopterus ruber,EC,,Galápagos,1,-0.722092,-91.335095,42,3,2018
3067973421,Phoenicopterus ruber,EC,,Galápagos,1,-0.955382,-90.971394,8,8,2012
1305165115,Phoenicopterus ruber,EC,,Galápagos,1,-0.951971,-90.97227,6,5,2016
1143524776,Phoenicopterus ruber,EC,,Galápagos,1,-0.916643,-90.960812,16,7,2015
2800756458,Phoenicopterus ruber,EC,Isla Isabela--Laguna Flamencos,Galápagos,6,-0.952301,-90.97106,9,7,2019
2083163680,Phoenicopterus ruber,EC,Isla Floreana,Galápagos,7,-1.3,-90.4333,398,9,2017
1378599869,Phoenicopterus ruber,EC,Santa Cruz--Las Bachas Beach,Galápagos,4,-0.494164,-90.340706,4,7,2015
2730432334,Phoenicopterus ruber,EC,Santa Cruz--Las Bachas Beach,Galápagos,2,-0.494164,-90.340706,4,3,2019
1759800984,Phoenicopterus ruber,EC,Santa Cruz--El Garrapatero Beach,Galápagos,1,-0.694654,-90.2208,2,7,1993
2695591536,Phoenicopterus ruber,EC,Isla Floreana,Galápagos,31,-1.3,-90.4333,398,9,2019
1370713603,Phoenicopterus ruber,EC,Isabela--Laguna Salinas,Galápagos,2,-0.955573,-90.96804,5,5,2015
3994149131,Phoenicopterus ruber,EC,,Galápagos,1,-0.692606,-90.22281,3,11,2022
2311387201,Phoenicopterus ruber,EC,,Galápagos,1,-0.955412,-90.968192,6,7,2017
2273257284,Phoenicopterus ruber,EC,,Galápagos,1,-0.953708,-90.971863,9,6,2019
3335403211,Phoenicopterus ruber,EC,,Galápagos,1,-0.955768,-90.971433,9,12,2017
3712607514,Phoenicopterus ruber,EC,,Galápagos,1,-0.955808,-90.97145,8,10,2016
2423087760,Phoenicopterus ruber,EC,,Galápagos,1,-0.95445,-90.971584,8,1,2019
2518125969,Phoenicopterus ruber,EC,,Galápagos,1,-0.937522,-90.977268,11,10,2019
2868118724,Phoenicopterus ruber,EC,,Galápagos,1,-0.953512,-90.972008,7,3,2020
1144977814,Phoenicopterus ruber,EC,,Galápagos,1,-0.916643,-90.960812,16,7,2015
1783857543,Phoenicopterus ruber,EC,Isla Santa Cruz,Galápagos,2,-0.640249,-90.37259,610,6,2014
2837303434,Phoenicopterus ruber,EC,Ecuador - Galápagos - Isla Isabela,,1,-0.9556,-90.9712,9,4,2019
2838663164,Phoenicopterus ruber,EC,Ecuador - Galápagos - Santa Cruz,,2,-0.693408,-90.221775,3,10,2013
