gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2329698223,Pyrocephalus rubinus,EC,Galapagos/Isabela/Volcan Chico mit Sierra Negra,,1,-0.810043,-91.131424,923,12,2012
2799369819,Pyrocephalus rubinus,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,8,1993
3684189032,Pyrocephalus rubinus,EC,Isabela--Urbina Bay (on land),Galápagos,1,-0.392748,-91.22588,14,7,2021
837927782,Pyrocephalus rubinus,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,11,2011
2723550519,Pyrocephalus rubinus,EC,"Floreana (-1.2868, -90.4365)",Galápagos,1,-1.2868,-90.4365,320,8,1992
2654711916,Pyrocephalus rubinus,EC,Isla Isabela,Galápagos,2,-0.95056,-90.96748,7,1,2019
1355279646,Pyrocephalus rubinus,EC,Isla Isabela,Galápagos,1,-0.881961,-91.132835,667,2,2015
3724585951,Pyrocephalus rubinus,EC,Ecuador - Galápagos - Santa Cruz,,1,-0.620921,-90.379486,595,11,2000
2843424652,Pyrocephalus rubinus,EC,Ecuador - Galápagos NP,,1,-0.3998,-90.7066,2,10,2016
2090101289,Pyrocephalus rubinus,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,8,2017
2169779455,Pyrocephalus rubinus,EC,Daphne Major,Galápagos,1,-0.421773,-90.372086,23,1,1980
2789253401,Pyrocephalus rubinus,EC,Isabela--Sierra Negra highlands,Galápagos,2,-0.840932,-91.07219,631,7,2019
2708284514,Pyrocephalus rubinus,EC,Isabela—Road to Sierra Negra Highlands,Galápagos,1,-0.838008,-91.08516,796,7,2019
1774450228,Pyrocephalus rubinus,EC,Tierras altas de Santa Cruz IBA,Galápagos,1,-0.63807,-90.3732,599,11,2001
1403201444,Pyrocephalus rubinus,EC,Santa Cruz--Los Gemelos sinkholes,Galápagos,1,-0.625613,-90.38525,607,5,2008
2722691864,Pyrocephalus rubinus,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,12,2019
3659781850,Pyrocephalus rubinus,EC,Santa Cruz--Los Gemelos sinkholes,Galápagos,1,-0.625613,-90.38525,607,3,1998
2109919751,Pyrocephalus rubinus,EC,Isabela--Urvina Bay (Urbina Bay),Galápagos,1,-0.400998,-91.23596,0,12,2017
598232849,Pyrocephalus rubinus,EC,Santa Cruz--highlands/tortoise reserve,Galápagos,1,-0.630053,-90.43698,374,3,2011
2153841519,Pyrocephalus rubinus,EC,Southern Isabela - off-shore and on coast,Galápagos,1,-1.029195,-91.22313,13,12,2010
2797386837,Pyrocephalus rubinus,EC,"(-0.8384,-91.0816)",Galápagos,2,-0.838413,-91.08162,742,7,2019
3644519903,Pyrocephalus rubinus,EC,Isabela--road to highlands,Galápagos,1,-0.915431,-90.99772,24,11,2021
2227913141,Pyrocephalus rubinus,EC,Santa Cruz--Los Gemelos sinkholes,Galápagos,1,-0.625613,-90.38525,607,7,2008
3222124180,Pyrocephalus rubinus,EC,Isabela--Sierra Negra,Galápagos,1,-0.793222,-91.09752,892,2,2020
3206872979,Pyrocephalus rubinus,EC,Santa Cruz--Los Gemelos sinkholes,Galápagos,1,-0.625613,-90.38525,607,6,2001
2184221104,Pyrocephalus rubinus,EC,Isabela--Sierra Negra highlands,Galápagos,2,-0.840932,-91.07219,631,6,2018
2215336552,Pyrocephalus rubinus,EC,Isabela--Urbina Bay (on land),Galápagos,1,-0.392748,-91.22588,14,9,2018
2691890779,Pyrocephalus rubinus,EC,Isabela--Sierra Negra highlands,Galápagos,1,-0.840932,-91.07219,631,7,2019
2118824555,Pyrocephalus rubinus,EC,Floreana highlands,Galápagos,1,-1.295761,-90.45039,341,10,2001
837327333,Pyrocephalus rubinus,EC,Floreana (Santa María),Galápagos,1,-1.228884,-90.42488,14,8,1997
958666373,Pyrocephalus rubinus,EC,Isabela--Punta Moreno,Galápagos,1,-0.692808,-91.31836,0,12,1999
2174884302,Pyrocephalus rubinus,EC,Isabela--Sierra Negra highlands,Galápagos,2,-0.840932,-91.07219,631,6,2018
2669569734,Pyrocephalus rubinus,EC,Santa Cruz--highlands/tortoise reserve,Galápagos,1,-0.630053,-90.43698,374,1,2018
3154818421,Pyrocephalus rubinus,EC,"Unnamed Road, Islas Galápagos, EC (-0,837, -91,091)",Galápagos,1,-0.837075,-91.09078,867,2,2020
2233477018,Pyrocephalus rubinus,EC,Isla Bartolome,Galápagos,1,-0.284871,-90.55391,10,12,2008
2801292767,Pyrocephalus rubinus,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,8,2005
1784633431,Pyrocephalus rubinus,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,4,1997
1407704596,Pyrocephalus rubinus,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,10,2014
2693216993,Pyrocephalus rubinus,EC,"(-0.8384,-91.0816)",Galápagos,2,-0.838413,-91.08162,742,7,2019
598119018,Pyrocephalus rubinus,EC,Santa Cruz--highlands/tortoise reserve,Galápagos,2,-0.630053,-90.43698,374,3,2011
837771026,Pyrocephalus rubinus,EC,Isabela--Sierra Negra highlands,Galápagos,5,-0.840932,-91.07219,631,8,2009
3635787385,Pyrocephalus rubinus,EC,Santa Cruz--Rancho El Manzanillo,Galápagos,1,-0.696909,-90.40198,189,9,2019
2084391416,Pyrocephalus rubinus,EC,Isabela--Sierra Negra highlands,Galápagos,4,-0.840932,-91.07219,631,7,2017
1770427423,Pyrocephalus rubinus,EC,Santa Cruz--Tortuga Bay and trail from Puerto Ayora,Galápagos,1,-0.760905,-90.332214,6,9,1998
1178042198,Pyrocephalus rubinus,EC,Isabela--Punta Moreno,Galápagos,1,-0.692808,-91.31836,0,6,2014
2711602946,Pyrocephalus rubinus,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,12,2019
2793894934,Pyrocephalus rubinus,EC,Isla Marchena--Entire,Galápagos,1,0.330961,-90.47516,168,1,1988
