gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2143959196,Tringa flavipes,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,3,2011
3070544013,Tringa flavipes,EC,,Galápagos,1,-0.955257,-90.971269,8,3,2011
2128171707,Tringa flavipes,EC,Isla Fernandina,Galápagos,1,-0.379712,-91.50169,1022,3,1998
3199858599,Tringa flavipes,EC,Galapagos Islands--entire area (*historical checklists only; please use a more precise location when possible),Galápagos,1,-0.478779,-90.62516,0,12,1987
1201807197,Tringa flavipes,EC,Puerto Villamil al Centro de cria de tortugas,Galápagos,1,-0.952295,-90.97109,10,10,2012
2040140413,Tringa flavipes,EC,Isabela--Laguna Salinas,Galápagos,1,-0.955573,-90.96804,5,2,2017
2038117509,Tringa flavipes,EC,Santa Cruz--El Garrapatero Beach,Galápagos,1,-0.694654,-90.2208,2,2,2017
847458798,Tringa flavipes,EC,Tortuga Bay,Galápagos,1,-0.762,-90.337,3,4,2012
979760421,Tringa flavipes,EC,Isabela--Puerto Villamil,Galápagos,4,-0.956961,-90.96559,9,11,2008
603443349,Tringa flavipes,EC,Isla Fernandina--Punta Espinoza,Galápagos,1,-0.264551,-91.445946,0,1,2010
3581987656,Tringa flavipes,EC,San Cristóbal--La Loberia,Galápagos,2,-0.926588,-89.61181,1,11,2021
1410739156,Tringa flavipes,EC,Santa Cruz--Bahia Ballena,Galápagos,1,-0.601168,-90.53717,6,2,2013
3214793299,Tringa flavipes,EC,Santa Cruz--South Plaza,Galápagos,1,-0.583188,-90.16501,7,2,2010
1196810358,Tringa flavipes,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,2,2010
3182208087,Tringa flavipes,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,12,2008
1397785527,Tringa flavipes,EC,Isabela--Tagus Cove,Galápagos,1,-0.262298,-91.37226,0,11,2015
2032634385,Tringa flavipes,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,1,2017
3689895989,Tringa flavipes,EC,Santa Cruz--western farmlands,Galápagos,1,-0.667581,-90.38721,386,10,2021
1767007904,Tringa flavipes,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,11,2006
2036176540,Tringa flavipes,EC,Santa Cruz <-> Bartolome pelagic,Galápagos,1,-0.399247,-90.436485,0,2,2017
1784163028,Tringa flavipes,EC,Isla Baltra,Galápagos,1,-0.462708,-90.275085,33,10,2012
3187897036,Tringa flavipes,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,12,2008
1778791848,Tringa flavipes,EC,Isabela--Posada De Flamengos,Galápagos,3,-0.945527,-90.97488,7,10,2009
3202811430,Tringa flavipes,EC,Isabela--Playita,Galápagos,1,-0.958815,-90.98662,0,11,2014
1398113599,Tringa flavipes,EC,North Seymour,Galápagos,1,-0.393273,-90.285645,12,3,2006
1394452121,Tringa flavipes,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,6,2006
2219882511,Tringa flavipes,EC,Isla Fernandina,Galápagos,1,-0.379712,-91.50169,1022,5,2011
2218689294,Tringa flavipes,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,11,1991
2040705995,Tringa flavipes,EC,Isabela--El Estero Ponds,Galápagos,1,-0.958738,-90.99153,8,3,2017
978277780,Tringa flavipes,EC,Isla Isabela,Galápagos,1,-0.80106,-91.12871,907,11,2007
3554697296,Tringa flavipes,EC,Cormorant Point,Galápagos,1,-1.226014,-90.426735,30,3,2009
1793808005,Tringa flavipes,EC,Isla Santa Fe,Galápagos,1,-0.816909,-90.04068,59,12,1990
2218755718,Tringa flavipes,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,11,1991
3538781157,Tringa flavipes,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,11,2004
266542063,Tringa flavipes,EC,Isla San Cristóbal,Galápagos,1,-0.905648,-89.530334,450,12,2003
2066597005,Tringa flavipes,EC,Isla Isabela,Galápagos,1,-0.80106,-91.12871,907,4,2017
2034577569,Tringa flavipes,EC,Isla Bartolome,Galápagos,1,-0.284871,-90.55391,10,2,2017
2218753729,Tringa flavipes,EC,Isla Santiago,Galápagos,1,-0.264358,-90.715485,384,11,1991
1394442355,Tringa flavipes,EC,Isla Santa Fe,Galápagos,1,-0.816909,-90.04068,59,6,2006
2666006799,Tringa flavipes,EC,Baltra--Muelle de Pasajeros Seymour,Galápagos,1,-0.436508,-90.284775,0,2,2019
3566527466,Tringa flavipes,EC,Cormorant Point,Galápagos,1,-1.226014,-90.426735,30,3,2009
1162276101,Tringa flavipes,EC,Isla Santiago--Puerto Egas,Galápagos,1,-0.244788,-90.86174,16,3,2014
1772627557,Tringa flavipes,EC,Isabela--Puerto Villamil beach front,Galápagos,1,-0.957511,-90.96847,0,10,2016
2131846139,Tringa flavipes,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,2,2018
2036244948,Tringa flavipes,EC,Santa Cruz <-> Bartolome pelagic,Galápagos,1,-0.399247,-90.436485,0,2,2017
2214093968,Tringa flavipes,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,12,2018
1748764050,Tringa flavipes,EC,Isla Fernandina--Punta Espinoza,Galápagos,1,-0.264551,-91.445946,0,10,2015
1717855885,Tringa flavipes,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,2,2016
3693502026,Tringa flavipes,EC,Isabela--Punta Moreno,Galápagos,1,-0.692808,-91.31836,0,10,2010
3217964618,Tringa flavipes,EC,Santa Cruz--Muelle Puerto Ayora,Galápagos,1,-0.747844,-90.31327,0,2,2020
3179741455,Tringa flavipes,EC,Isabela--Laguna Salinas,Galápagos,1,-0.955573,-90.96804,5,3,2020
2038598449,Tringa flavipes,EC,Isabela--Posada De Flamengos,Galápagos,1,-0.945527,-90.97488,7,2,2017
2795016951,Tringa flavipes,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,3,2019
2664132646,Tringa flavipes,EC,Isla Fernandina--Punta Espinoza,Galápagos,1,-0.264551,-91.445946,0,3,2019
2762560602,Tringa flavipes,EC,Isabela--Tagus Cove,Galápagos,1,-0.262298,-91.37226,0,11,2019
2233544489,Tringa flavipes,EC,Isla Santiago,Galápagos,1,-0.264358,-90.715485,384,11,1991
2781983065,Tringa flavipes,EC,Floreana--Corona del Diablo,Galápagos,1,-1.216322,-90.42308,0,12,2017
2149611705,Tringa flavipes,EC,Floreana Lava Lodge,Galápagos,1,-1.279962,-90.48868,9,2,2017
1781129658,Tringa flavipes,EC,Isabela--Posada De Flamengos,Galápagos,4,-0.945527,-90.97488,7,10,2009
150481713,Tringa flavipes,EC,Floreana--Punta Cormorant,Galápagos,1,-1.226127,-90.42834,12,1,1986
3198871906,Tringa flavipes,EC,Isabela--Puerto Villamil,Galápagos,2,-0.956961,-90.96559,9,8,2008
150482211,Tringa flavipes,EC,Gal. Playa Espumilla,Galápagos,1,-0.203676,-90.83007,0,1,1982
3161483576,Tringa flavipes,EC,Isabela--Laguna Salinas,Galápagos,1,-0.955573,-90.96804,5,3,2020
2036279109,Tringa flavipes,EC,Santa Cruz <-> Bartolome pelagic,Galápagos,1,-0.399247,-90.436485,0,2,2017
1792859762,Tringa flavipes,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,10,2004
2036216311,Tringa flavipes,EC,Floreana Lava Lodge,Galápagos,1,-1.279962,-90.48868,9,2,2017
3223693010,Tringa flavipes,EC,Genovesa--Darwin Bay,Galápagos,2,0.319123,-89.95776,22,1,2020
1397671000,Tringa flavipes,EC,Isla San Cristóbal,Galápagos,1,-0.905648,-89.530334,450,11,2015
2045037842,Tringa flavipes,EC,Isla Bartolome,Galápagos,1,-0.284871,-90.55391,10,2,2017
1207050372,Tringa flavipes,EC,Santa Cruz--Puerto Ayora,Galápagos,1,-0.742329,-90.31457,12,3,2012
2718533982,Tringa flavipes,EC,Santiago--Coast near Sombrero Chino,Galápagos,1,-0.366924,-90.586586,1,4,2008
2756653434,Tringa flavipes,EC,Isla Fernandina--Punta Espinoza,Galápagos,1,-0.264551,-91.445946,0,3,2019
2151123270,Tringa flavipes,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,3,2011
2122616219,Tringa flavipes,EC,Santa Cruz--Poza El Chato,Galápagos,1,-0.673176,-90.43847,182,3,2009
2752607073,Tringa flavipes,EC,Baltra--Muelle de Pasajeros Seymour,Galápagos,1,-0.436508,-90.284775,0,2,2019
3623047898,Tringa flavipes,EC,Cormorant Point,Galápagos,1,-1.226014,-90.426735,30,3,2009
2796723726,Tringa flavipes,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,3,2005
1778047559,Tringa flavipes,EC,Santa Cruz--Poza El Chato,Galápagos,2,-0.673176,-90.43847,182,4,2009
972524898,Tringa flavipes,EC,Isla Isabela,Galápagos,1,-0.80106,-91.12871,907,11,2008
3691258346,Tringa flavipes,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,10,2010
1784155602,Tringa flavipes,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,11,2012
3658858943,Tringa flavipes,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,3,2019
1399027349,Tringa flavipes,EC,"Ecuador, Galapagos, Genovesa: Playa Darwin et Barronco",Galápagos,1,0.318602,-89.949486,4,11,2015
3200749123,Tringa flavipes,EC,Isabela--Posada De Flamengos,Galápagos,1,-0.945527,-90.97488,7,10,2019
2036393480,Tringa flavipes,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,1,2017
847895506,Tringa flavipes,EC,Playa Cerro Brujo,Galápagos,2,-0.764852,-89.45847,0,11,2012
3561335962,Tringa flavipes,EC,Santa Cruz--Playa Garrapatero,Galápagos,1,-0.694628,-90.22084,2,10,2021
