gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1182823525,Tringa melanoleuca,EC,Santa Cruz--South Plaza,Galápagos,1,-0.583188,-90.16501,7,2,2003
2705129149,Tringa melanoleuca,EC,Santa Cruz--Red Mangrove Aventura Lodge,Galápagos,1,-0.742865,-90.30978,2,8,2002
2770854536,Tringa melanoleuca,EC,San Cristóbal--Puerto Baquerizo Moreno,Galápagos,1,-0.901721,-89.61024,6,11,2019
2772837862,Tringa melanoleuca,EC,Santa Cruz--Finch Bay,Galápagos,1,-0.752997,-90.311615,9,9,2015
1206390701,Tringa melanoleuca,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,11,2014
1204786753,Tringa melanoleuca,EC,Floreana--Puerto Velazco Ibarra,Galápagos,1,-1.276534,-90.4888,3,9,2013
2659319728,Tringa melanoleuca,EC,Santa Cruz--Camino a Las Grietas,Galápagos,1,-0.754365,-90.31293,12,1,2019
2692103074,Tringa melanoleuca,EC,Isabela--Punta Moreno,Galápagos,1,-0.692808,-91.31836,0,1,2018
974862842,Tringa melanoleuca,EC,Santa Cruz--Cerro Dragon,Galápagos,1,-0.526929,-90.48804,6,12,2013
1707247196,Tringa melanoleuca,EC,Isla Santiago,Galápagos,1,-0.271201,-90.71359,355,6,1997
2209870868,Tringa melanoleuca,EC,Santa Cruz--Finch Bay,Galápagos,1,-0.752997,-90.311615,9,12,2018
2774489861,Tringa melanoleuca,EC,Áreas costeras de Fernandina y del occidente de Isabela IBA,Galápagos,1,-0.2935,-91.405334,0,12,2019
267658256,Tringa melanoleuca,EC,Isla San Cristóbal--Cerro Brujo,Galápagos,1,-0.766638,-89.45821,0,9,2007
935778856,Tringa melanoleuca,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,7,2010
845399182,Tringa melanoleuca,EC,Isla Floreana,Galápagos,1,-1.3,-90.4333,398,12,2009
3630289669,Tringa melanoleuca,EC,Isabela--Puerto Villamil beach west,Galápagos,1,-0.957525,-90.978226,0,6,2021
1776267213,Tringa melanoleuca,EC,Isla San Cristóbal,Galápagos,1,-0.905648,-89.530334,450,9,2014
2705886528,Tringa melanoleuca,EC,"Avenida de la Armada Nacional, Puerto Baquerizo Moreno, Islas Galápagos, EC (-0.902, -89.614)",Galápagos,1,-0.902451,-89.61376,9,11,2019
3585481309,Tringa melanoleuca,EC,Santa Cruz--Las Grietas,Galápagos,1,-0.757638,-90.31487,12,10,2010
3652654219,Tringa melanoleuca,EC,Isabela--Puerto Villamil beach west,Galápagos,1,-0.957525,-90.978226,0,7,2021
2423084757,Tringa melanoleuca,EC,,Galápagos,1,-0.753092,-90.310654,0,1,2019
3595045733,Tringa melanoleuca,EC,Isla Santa Cruz,Galápagos,1,-0.640249,-90.37259,610,3,2021
2330847183,Tringa melanoleuca,EC,Galapagos-Inseln/Isla GENOVESA (Tower),,1,0.329588,-89.964294,65,1,1995
2187544748,Tringa melanoleuca,EC,Santa Cruz--Camino a Las Grietas,Galápagos,1,-0.754365,-90.31293,12,6,2018
3455776901,Tringa melanoleuca,EC,,Galápagos,1,-0.956875,-90.982051,0,6,2021
935762376,Tringa melanoleuca,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,7,2010
845132642,Tringa melanoleuca,EC,Ecuador - Galapagos General,Galápagos,1,-0.558742,-90.32083,170,4,2003
3691963365,Tringa melanoleuca,EC,Isla Española,Galápagos,1,-1.3753,-89.6777,130,11,2002
269589798,Tringa melanoleuca,EC,Isla San Cristóbal--Cerro Brujo,Galápagos,1,-0.766638,-89.45821,0,9,2007
3540314226,Tringa melanoleuca,EC,Santa Cruz--Finch Bay,Galápagos,7,-0.752997,-90.311615,9,9,2021
3632728304,Tringa melanoleuca,EC,Isabela--Puerto Villamil beach west,Galápagos,1,-0.957525,-90.978226,0,7,2021
2751425759,Tringa melanoleuca,EC,"Playa De Los Alemanes, Puerto Ayora, Islas Galápagos, EC",Galápagos,1,-0.753049,-90.31139,8,1,2019
1206235672,Tringa melanoleuca,EC,Isabela--wetlands south of tortoise breeding center,Galápagos,1,-0.953513,-90.97206,7,2,2008
2764086093,Tringa melanoleuca,EC,Isla Bartolome,Galápagos,1,-0.284871,-90.55391,10,1,2018
3558793262,Tringa melanoleuca,EC,Isabela--Puerto Villamil beach west,Galápagos,1,-0.957525,-90.978226,0,7,2021
2193343244,Tringa melanoleuca,EC,Santa Cruz--Finch Bay,Galápagos,1,-0.752997,-90.311615,9,7,2018
2788398518,Tringa melanoleuca,EC,Isabela--Playa de los Alemanes,Galápagos,1,-0.75306,-90.31006,0,1,2019
1359560139,Tringa melanoleuca,EC,Tortuga Bay Santa Cruz,Galápagos,1,-0.759665,-90.3341,6,4,2015
2730074490,Tringa melanoleuca,EC,"Galapagos Islands, Isabela EC-Galapagos (-0.9569,-90.9696)",Galápagos,1,-0.956852,-90.96955,0,1,2019
845152404,Tringa melanoleuca,EC,San Cristóbal--Playa Ochoa,Galápagos,1,-0.86351,-89.5709,0,2,2003
937749283,Tringa melanoleuca,EC,Isabela--Puerto Villamil,Galápagos,1,-0.956961,-90.96559,9,11,2008
978158464,Tringa melanoleuca,EC,San Cristóbal--Puerto Baquerizo Moreno,Galápagos,1,-0.901721,-89.61024,6,11,1989
978274514,Tringa melanoleuca,EC,Isla Isabela,Galápagos,1,-0.80106,-91.12871,907,11,2007
1778791841,Tringa melanoleuca,EC,Isabela--Posada De Flamengos,Galápagos,1,-0.945527,-90.97488,7,10,2009
1777949992,Tringa melanoleuca,EC,Isabela--Punta Moreno,Galápagos,1,-0.692808,-91.31836,0,12,2008
3658838644,Tringa melanoleuca,EC,Isabela--Puerto Villamil beach west,Galápagos,1,-0.957525,-90.978226,0,9,2021
2225651486,Tringa melanoleuca,EC,Santa Cruz--Angermeyer Point to Las Grietas trail,Galápagos,1,-0.754873,-90.31326,6,12,2018
1787497010,Tringa melanoleuca,EC,North Seymour,Galápagos,1,-0.393273,-90.285645,12,5,1998
2155518889,Tringa melanoleuca,EC,Santa Cruz--Camino a Las Grietas,Galápagos,1,-0.754365,-90.31293,12,4,2018
2761269449,Tringa melanoleuca,EC,San Cristóbal--Puerto Baquerizo Moreno,Galápagos,1,-0.901721,-89.61024,6,11,2019
2227977625,Tringa melanoleuca,EC,Isabela--Puerto Villamil beach west,Galápagos,1,-0.957525,-90.978226,0,12,2018
2724106603,Tringa melanoleuca,EC,Genovesa--Darwin Bay,Galápagos,1,0.319123,-89.95776,22,11,2019
1785170288,Tringa melanoleuca,EC,Pelagic Sombrero Chino <-> Rabida,Galápagos,1,-0.401141,-90.64064,0,10,2014
