gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1640085418,Zenaida galapagoensis,EC,,Galápagos,1,-0.757203,-90.315379,10,6,2017
1990560856,Zenaida galapagoensis,EC,,Galápagos,1,-0.445213,-90.2685,44,1,2019
2005300239,Zenaida galapagoensis,EC,,Galápagos,1,-0.264827,-91.446138,0,1,2019
1986628743,Zenaida galapagoensis,EC,,Galápagos,1,-0.625645,-90.384816,604,2,2015
1374233902,Zenaida galapagoensis,EC,Isla Santa Fe,Galápagos,2,-0.816909,-90.04068,59,2,2015
943758393,Zenaida galapagoensis,EC,Santa Cruz--Los Gemelos sinkholes,Galápagos,1,-0.625613,-90.38525,607,11,2011
2033797257,Zenaida galapagoensis,EC,Isla Baltra,Galápagos,2,-0.462708,-90.275085,33,1,2017
603957734,Zenaida galapagoensis,EC,Santa Cruz--Caleta Tortuga Negra (Black Turtle Cove),Galápagos,4,-0.497125,-90.32599,0,7,2010
2777292340,Zenaida galapagoensis,EC,Genovesa--Darwin Bay,Galápagos,6,0.319123,-89.95776,22,7,2019
3236930982,Zenaida galapagoensis,EC,Salinas otro lado Puerto Ayora,Galápagos,1,-0.754455,-90.31279,12,2,2020
1406138174,Zenaida galapagoensis,EC,Galapagos Islands--entire area (*historical checklists only; please use a more precise location when possible),Galápagos,1,-0.478779,-90.62516,0,7,2009
3651855005,Zenaida galapagoensis,EC,Seymour--Playa Seymour,Galápagos,1,-0.398397,-90.29265,5,4,2021
2659907800,Zenaida galapagoensis,EC,"Galapagos Islands (0.3146,-89.9456) genovesa",Galápagos,3,0.31459,-89.945595,7,2,2019
3583495433,Zenaida galapagoensis,EC,Isabela--Urbina Bay (on land),Galápagos,1,-0.392748,-91.22588,14,7,2000
2183489672,Zenaida galapagoensis,EC,Española--Gardner Bay,Galápagos,2,-1.353596,-89.66131,16,8,2018
602996195,Zenaida galapagoensis,EC,Española--Punta Suarez,Galápagos,1,-1.371529,-89.74399,7,12,2004
3205007274,Zenaida galapagoensis,EC,Isla Rábida,Galápagos,1,-0.400654,-90.70776,9,3,2008
3617371895,Zenaida galapagoensis,EC,Isla Santa Cruz,Galápagos,3,-0.640249,-90.37259,610,12,2021
2656346642,Zenaida galapagoensis,EC,Santa Cruz--El Garrapatero Beach,Galápagos,1,-0.694654,-90.2208,2,2,2019
2096381102,Zenaida galapagoensis,EC,Santa Cruz--Las Bachas Beach,Galápagos,4,-0.494164,-90.340706,4,8,2017
3290733859,Zenaida galapagoensis,EC,North Seymour,Galápagos,1,-0.393273,-90.285645,12,6,2013
2161847834,Zenaida galapagoensis,EC,Española--Punta Suarez,Galápagos,4,-1.371529,-89.74399,7,5,2018
4015116941,Zenaida galapagoensis,EC,,Galápagos,1,-1.371237,-89.744693,14,12,2022
3399379579,Zenaida galapagoensis,EC,,Galápagos,1,-0.431209,-90.282211,21,8,2017
3335366668,Zenaida galapagoensis,EC,,Galápagos,1,-0.801143,-90.04183,0,2,2015
2792739832,Zenaida galapagoensis,EC,Galapagos Islands (Genovesa),Galápagos,1,0.318631,-89.9498,8,8,2019
2700438329,Zenaida galapagoensis,EC,Santa Cruz--Las Bachas Beach,Galápagos,4,-0.494164,-90.340706,4,6,2019
1403843952,Zenaida galapagoensis,EC,Isla Santa Fe,Galápagos,3,-0.816909,-90.04068,59,3,2015
2052195108,Zenaida galapagoensis,EC,Genovesa--Darwin Bay,Galápagos,4,0.319123,-89.95776,22,3,2017
605766965,Zenaida galapagoensis,EC,Isla Baltra,Galápagos,1,-0.462708,-90.275085,33,7,2011
603159366,Zenaida galapagoensis,EC,Isla Bartolome,Galápagos,1,-0.284871,-90.55391,10,4,2006
845406235,Zenaida galapagoensis,EC,Santa Cruz--Puerto Ayora,Galápagos,2,-0.742329,-90.31457,12,8,2009
258403772,Zenaida galapagoensis,EC,"Santa Fe, Galapagos, Ecuador",Galápagos,1,-0.810215,-90.05905,111,5,2004
1789296834,Zenaida galapagoensis,EC,Genovesa--Prince Philip's Steps,Galápagos,1,0.310197,-89.94352,6,2,2012
2799880129,Zenaida galapagoensis,EC,Isla Bartolome,Galápagos,1,-0.284871,-90.55391,10,8,2018
2200519061,Zenaida galapagoensis,EC,Isla Santa Fe,Galápagos,15,-0.816909,-90.04068,59,9,2018
2226398458,Zenaida galapagoensis,EC,Genovesa,Galápagos,2,0.328215,-89.95622,19,4,2018
1383666821,Zenaida galapagoensis,EC,Genovesa--Darwin Bay,Galápagos,35,0.319123,-89.95776,22,8,2015
2634278690,Zenaida galapagoensis,EC,,Galápagos,1,-0.154535,-90.819963,0,1,2017
3888709964,Zenaida galapagoensis,EC,,Galápagos,1,-0.444558,-90.268203,43,8,2022
