gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2778734451,Accipiter collaris,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,1,-0.017016,-78.65079,1867,9,2019
210007383,Accipiter collaris,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,2,2009
817729061,Accipiter collaris,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,12,2006
3173982511,Accipiter collaris,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,8,2000
2770415288,Accipiter collaris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2009
3505618134,Accipiter collaris,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,1,2021
2781073673,Accipiter collaris,EC,Reserva Río Manduriacu,Imbabura,1,0.31026,-78.85736,1213,12,2019
145802471,Accipiter collaris,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,1,2003
3678871429,Accipiter collaris,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,1,2021
2172377399,Accipiter collaris,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,7,2018
1753763612,Accipiter collaris,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,8,2016
2717552455,Accipiter collaris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2009
1395590184,Accipiter collaris,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,10,2015
2221736018,Accipiter collaris,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,11,2018
576240947,Accipiter collaris,EC,Upper Road from Tandayapa,Pichincha,1,-0.010643,-78.679276,1979,12,2010
2208675407,Accipiter collaris,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,11,2018
2130407616,Accipiter collaris,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2018
2139347820,Accipiter collaris,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2018
2178751811,Accipiter collaris,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,8,2018
3230215822,Accipiter collaris,EC,San Jose Farm,Pichincha,1,-0.000663,-78.68726,2233,5,2020
