gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3384066194,Accipiter striatus,EC,,Pichincha,1,-0.109149,-78.566615,3449,9,2021
2099950500,Accipiter striatus,EC,Reserva Geobotánica Pululahua--general area,Pichincha,1,0.040374,-78.50293,2405,10,2017
2125323659,Accipiter striatus,EC,Mindo--El Descanso Lodge,Pichincha,1,-0.054754,-78.777405,1241,1,2018
2117407342,Accipiter striatus,EC,Reserva Río Manduriacu,Imbabura,1,0.31026,-78.85736,1213,1,2018
3685989833,Accipiter striatus,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,12,2021
3595852963,Accipiter striatus,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2016
1786452036,Accipiter striatus,EC,Yanacocha Entrance Track,Pichincha,1,-0.126534,-78.53987,3577,2,2012
2082412370,Accipiter striatus,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,7,2017
1199423907,Accipiter striatus,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,7,2000
1188566979,Accipiter striatus,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2014
2123456233,Accipiter striatus,EC,Upper Tandayapa Valley,Pichincha,1,-0.014162,-78.67891,2126,9,2004
2137894393,Accipiter striatus,EC,Santa Rosa Bird Lodge,Pichincha,1,-0.024567,-78.72461,2126,3,2018
3657176086,Accipiter striatus,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,12,2021
2103150735,Accipiter striatus,EC,Reserva Geobotánica Pululahua (Lower part below 2000m),Pichincha,1,0.077382,-78.518135,1925,10,2017
2704355277,Accipiter striatus,EC,"Unnamed Road, Pichincha, EC (-0.047, -78.635)",Pichincha,1,-0.046594,-78.63493,2162,10,2019
3638433457,Accipiter striatus,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,7,2021
2130907646,Accipiter striatus,EC,Mindo--Vía al Cinto,Pichincha,1,-0.061568,-78.791115,1207,2,2018
3262425073,Accipiter striatus,EC,Kapari Natural Lodge,Pichincha,1,-0.001202,-78.94196,916,6,2020
945459086,Accipiter striatus,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,6,2012
1795444311,Accipiter striatus,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,7,2009
2719952676,Accipiter striatus,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,10,2003
2091185454,Accipiter striatus,EC,Mindo--El Descanso Lodge,Pichincha,1,-0.054754,-78.777405,1241,11,2017
818658765,Accipiter striatus,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,1,-0.017016,-78.65079,1867,3,2012
1186474354,Accipiter striatus,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,8,2014
1204661097,Accipiter striatus,EC,Reserva Intillacta,Pichincha,1,0.048201,-78.72037,1807,8,2005
1790406611,Accipiter striatus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,6,2006
2171507512,Accipiter striatus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,6,2018
3188670502,Accipiter striatus,EC,"San Pablo, Imbabura, EC (0.176, -78.174)",Imbabura,1,0.175762,-78.173874,2714,8,2020
2114720525,Accipiter striatus,EC,Road from San Jorge Ecolodge to Yanacocha Reserve,Pichincha,1,-0.10849,-78.561905,3450,2,2018
