gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3584754118,Aeronautes montivagus,EC,Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.00206,-78.68189,2048,7,2008
817937240,Aeronautes montivagus,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,1,2007
1205989924,Aeronautes montivagus,EC,Mitad del Mundo to Perucho,Pichincha,20,0.078385,-78.43626,2009,2,2013
2218561822,Aeronautes montivagus,EC,San Jorge de Milpe,Pichincha,10,0.044357,-78.88368,1059,11,2018
256284155,Aeronautes montivagus,EC,Tandayapa Lodge,Pichincha,1,0.016984,-78.6738,1611,7,2003
1203194153,Aeronautes montivagus,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,2,-0.013116,-78.677826,2087,8,2012
2173546792,Aeronautes montivagus,EC,Bosque Protector Jerusalem,Pichincha,1,0.000833,-78.355,2295,7,2018
2724861433,Aeronautes montivagus,EC,Forest trail at Tandayapa Bird Lodge,Pichincha,1,0.003301,-78.67915,1844,10,2000
1190341234,Aeronautes montivagus,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,11,2013
2189741177,Aeronautes montivagus,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,8,-0.009865,-78.675896,2022,7,2018
3532569819,Aeronautes montivagus,EC,Perucho y alrededores,Pichincha,15,0.109177,-78.42423,1816,5,2020
3657721742,Aeronautes montivagus,EC,Perucho y alrededores,Pichincha,3,0.109177,-78.42423,1816,5,2020
3623880653,Aeronautes montivagus,EC,Bosque Protector Jerusalem,Pichincha,1,0.000833,-78.355,2295,10,2021
1397835434,Aeronautes montivagus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,8,2001
3643908933,Aeronautes montivagus,EC,Tambo Quinde,Pichincha,1,0.006405,-78.67705,1747,2,2021
3278616135,Aeronautes montivagus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,6,2005
1788772524,Aeronautes montivagus,EC,Tandayapa Bird Lodge,Pichincha,10,0.00235,-78.67743,1742,11,2005
2188191175,Aeronautes montivagus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,7,2018
2169267079,Aeronautes montivagus,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,8,-0.009865,-78.675896,2022,7,2018
1773065042,Aeronautes montivagus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,6,2001
2189734787,Aeronautes montivagus,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,8,-0.009865,-78.675896,2022,7,2018
234972092,Aeronautes montivagus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,10,2009
2132402700,Aeronautes montivagus,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,3,2002
1207926456,Aeronautes montivagus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,10,-0.049224,-78.776825,1268,9,2011
3272866370,Aeronautes montivagus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,1,2019
2121191930,Aeronautes montivagus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2018
1190831628,Aeronautes montivagus,EC,"Sachatamia Transecto impacto, Punto 6",Pichincha,6,-0.018,-78.748,1767,6,2003
970124656,Aeronautes montivagus,EC,Tandayapa Bird Lodge,Pichincha,2,0.00235,-78.67743,1742,2,2008
2039485665,Aeronautes montivagus,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,1,2017
3142668514,Aeronautes montivagus,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,2,-0.013116,-78.677826,2087,2,2020
1191606947,Aeronautes montivagus,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,1,2008
1410726590,Aeronautes montivagus,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2012
1400751658,Aeronautes montivagus,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,2,-0.013116,-78.677826,2087,4,2006
1206082195,Aeronautes montivagus,EC,Chaupi Chupa,Pichincha,10,-0.169365,-78.41352,2157,10,2008
1407929561,Aeronautes montivagus,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,11,2013
3263796813,Aeronautes montivagus,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,2,2020
576952355,Aeronautes montivagus,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,7,2011
1786831322,Aeronautes montivagus,EC,Calacalí--vicinity,Pichincha,2,-0.000687,-78.51512,2811,7,2002
961658323,Aeronautes montivagus,EC,Tandayapa Valley,Pichincha,12,-0.006962,-78.67067,1902,5,2012
1771581334,Aeronautes montivagus,EC,Puembo Birding Garden,Pichincha,1,-0.165593,-78.36133,2422,11,2016
937728590,Aeronautes montivagus,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,3,-0.017016,-78.65079,1867,1,2013
3155119297,Aeronautes montivagus,EC,Tandayapa Bird Lodge,Pichincha,3,0.00235,-78.67743,1742,2,2020
2101346496,Aeronautes montivagus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,8,2005
3689492127,Aeronautes montivagus,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,4,-0.013116,-78.677826,2087,7,2021
575634760,Aeronautes montivagus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,1,2001
575708657,Aeronautes montivagus,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,2,-0.009865,-78.675896,2022,7,2003
3250357646,Aeronautes montivagus,EC,Perucho y alrededores,Pichincha,15,0.109177,-78.42423,1816,5,2020
2729559168,Aeronautes montivagus,EC,Puembo Birding Garden,Pichincha,1,-0.165593,-78.36133,2422,2,2019
1393717400,Aeronautes montivagus,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,7,2015
3527528697,Aeronautes montivagus,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,5,-0.013116,-78.677826,2087,7,2021
3145854240,Aeronautes montivagus,EC,Puembo Birding Garden,Pichincha,2,-0.165593,-78.36133,2422,2,2020
1775356862,Aeronautes montivagus,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,7,2002
2790375812,Aeronautes montivagus,EC,Puembo Birding Garden,Pichincha,2,-0.165593,-78.36133,2422,10,2019
1791567141,Aeronautes montivagus,EC,Tandayapa Bird Lodge,Pichincha,10,0.00235,-78.67743,1742,2,2006
3158055625,Aeronautes montivagus,EC,Vía antigua Perucho.,Pichincha,10,0.10725,-78.43315,1640,5,2020
1196737134,Aeronautes montivagus,EC,Tandayapa,Pichincha,1,0.022316,-78.6864,1779,7,2005
1785897071,Aeronautes montivagus,EC,Bosque Protector Jerusalem,Pichincha,1,0.000833,-78.355,2295,2,2012
1383035193,Aeronautes montivagus,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,8,2002
1190920209,Aeronautes montivagus,EC,"Sachatamia Transecto impacto, Punto 5",Pichincha,2,-0.019,-78.749,1751,12,2003
256468584,Aeronautes montivagus,EC,Tandayapa Bird Lodge,Pichincha,2,0.00235,-78.67743,1742,11,2002
1190882843,Aeronautes montivagus,EC,"Sachatamia Transecto impacto, Punto 6",Pichincha,10,-0.018,-78.748,1767,4,2005
