gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2801822823,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2019
1791707902,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2003
2132859067,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2018
577393392,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2011
3985947357,Aglaeactis cupripennis,EC,,Pichincha,1,-0.11175,-78.585237,3528,11,2022
3986352338,Aglaeactis cupripennis,EC,,Pichincha,1,-0.111739,-78.584856,3530,11,2022
3385200514,Aglaeactis cupripennis,EC,,Pichincha,1,-0.111739,-78.584856,3530,9,2021
2207778518,Aglaeactis cupripennis,EC,Hacienda Rumiloma,Pichincha,3,-0.176159,-78.53123,3343,10,2018
3220108410,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,2,-0.11649,-78.52343,3187,1,2020
1206621788,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,3,2007
3216923443,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2007
2046853420,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2017
2963858093,Aglaeactis cupripennis,EC,,Pichincha,1,-0.08675,-78.598616,3077,8,2020
2868179098,Aglaeactis cupripennis,EC,,Pichincha,1,-0.111104,-78.585471,3521,9,2020
3398668262,Aglaeactis cupripennis,EC,,Pichincha,1,-0.397069,-78.347531,3136,10,2021
2131651201,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2018
2690950532,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,10,-0.11649,-78.52343,3187,7,2019
2228329206,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,4,-0.11649,-78.52343,3187,11,2018
1990630097,Aglaeactis cupripennis,EC,,Pichincha,1,-0.111722,-78.585188,3529,1,2019
2766056587,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,10,-0.111752,-78.584694,3528,8,2019
166379357,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2005
577597416,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,5,2011
3628101809,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,8,-0.111752,-78.584694,3528,9,2017
2763881872,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,11,2019
2216312758,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2018
3635814243,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,11,2021
1404904640,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,10,2015
2766226149,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,7,2019
3223259423,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,2,2020
1702458382,Aglaeactis cupripennis,EC,,Pichincha,1,-0.11155,-78.58531,3525,3,2017
3985857815,Aglaeactis cupripennis,EC,,Pichincha,1,-0.111403,-78.585296,3525,11,2022
2183444504,Aglaeactis cupripennis,EC,Hacienda San Jose--vicinity,Pichincha,1,-0.268477,-78.27128,3309,2,2009
2776324165,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2019
3583787729,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,12,2021
3582338468,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,10,2021
2229597263,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,11,2018
2194867322,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,12,-0.111752,-78.584694,3528,7,2018
1182668894,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,7,2014
2666859522,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,1,2019
2164942430,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,10,-0.111752,-78.584694,3528,6,2018
1405451798,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2015
2189577931,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,6,2018
1190701275,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2007
3273012644,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,12,2020
2171872168,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,6,2018
2161462760,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,5,2007
1780894301,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2011
2074215170,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,5,2017
1205024025,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2014
3297182009,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,12,2020
2721721616,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,10,2019
3159767040,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,3,2020
2764004884,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,11,2019
1194408480,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,10,2014
2769680451,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,11,2016
2747696195,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,4,2019
2786828680,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,11,2019
2204789702,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,7,-0.111752,-78.584694,3528,8,2018
2794927042,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,8,-0.111752,-78.584694,3528,9,2019
2048696593,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,8,-0.111752,-78.584694,3528,3,2017
3637108785,Aglaeactis cupripennis,EC,Laguna de Mojanda,Pichincha,2,0.128617,-78.27057,3722,9,2021
1388797610,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2007
3554544953,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,7,2021
3630470661,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,11,2021
3574245351,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2018
3606531483,Aglaeactis cupripennis,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,2,2007
2680605522,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,6,2019
2116007836,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,11,2017
1206922585,Aglaeactis cupripennis,EC,Atajo/Shortcut from Yanacocha to Quito-Nono road,Pichincha,1,-0.087945,-78.59246,3158,4,2003
3617595401,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,9,2021
1794131148,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2011
2072086153,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,5,2017
1199540911,Aglaeactis cupripennis,EC,Yamaocha Reserve,Pichincha,1,-0.10643,-78.57937,3489,4,2013
2124773930,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2018
3663796667,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,10,-0.111752,-78.584694,3528,10,2021
3547372059,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,8,2021
3683168416,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2021
1190873697,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2007
2781422108,Aglaeactis cupripennis,EC,Laguna de Mojanda (Provincia Imbabura),Imbabura,2,0.149174,-78.264626,3730,9,2019
2752765004,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,2,2019
3196231681,Aglaeactis cupripennis,EC,"Yanacocha Reserve (-0.2122, -78.6175)",Pichincha,2,-0.2122,-78.6175,3539,12,2020
2795440645,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,12,-0.111752,-78.584694,3528,2,2016
3299720604,Aglaeactis cupripennis,EC,"Auto selected -0.27025, -78.28559",Pichincha,2,-0.27025,-78.28559,3175,12,2020
2673691379,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2008
817812915,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2006
2084351773,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,12,-0.111752,-78.584694,3528,6,2017
2123634237,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2005
3657086941,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,11,2021
958281545,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,6,2013
2207795711,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2018
1206204038,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2014
3170813285,Aglaeactis cupripennis,EC,Hacienda Rumiloma,Pichincha,2,-0.176159,-78.53123,3343,7,2020
2794151081,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2019
2657066029,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,2,2019
2655283722,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,7,-0.111752,-78.584694,3528,1,2019
3571070286,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,11,2021
2757392680,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,1,2019
2046023370,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,2,2017
2725256632,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,5,-0.11649,-78.52343,3187,11,2019
3134918219,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,8,-0.111752,-78.584694,3528,1,2020
2743018680,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,12,-0.111752,-78.584694,3528,3,2019
3192081826,Aglaeactis cupripennis,EC,Hacienda Rumiloma,Pichincha,2,-0.176159,-78.53123,3343,7,2020
3686619479,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,6,-0.11649,-78.52343,3187,11,2021
166379509,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,7,2006
3545267553,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,1,2021
2114268741,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2005
3580418658,Aglaeactis cupripennis,EC,Zuro Lama,Pichincha,1,-0.170386,-78.60744,4122,9,2021
2131855455,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,2,-0.11649,-78.52343,3187,2,2018
3692904857,Aglaeactis cupripennis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,10,2021
1405222792,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,10,2008
2752776074,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,9,-0.111752,-78.584694,3528,9,2019
1409535977,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,6,2009
3201617939,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,12,2020
1752376783,Aglaeactis cupripennis,EC,Hacienda Rumiloma,Pichincha,2,-0.176159,-78.53123,3343,7,2016
817949928,Aglaeactis cupripennis,EC,Quito--general area (*Please consider using a more specific hotspot or personal location when possible.),Pichincha,1,-0.2238,-78.5133,2814,9,2007
577607548,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2011
2031527991,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,2,2017
1789500591,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,2,2010
2750061020,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2019
2128200167,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,4,-0.11649,-78.52343,3187,3,2018
2214408380,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,11,2016
576405037,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2010
2031835769,Aglaeactis cupripennis,EC,"Upper Chiriboga Rd. (upper subtropical and temperate zone, >2500m)",Pichincha,1,-0.279515,-78.69269,2491,1,2017
3134717094,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,1,2020
2748629446,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,2,-0.11649,-78.52343,3187,4,2019
2142015133,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2018
3681943525,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,8,2021
2184023983,Aglaeactis cupripennis,EC,Atajo/Shortcut from Yanacocha to Quito-Nono road,Pichincha,1,-0.087945,-78.59246,3158,6,2018
2780617018,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,5,-0.11649,-78.52343,3187,2,2019
2123514905,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2005
3232425297,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2014
2152500033,Aglaeactis cupripennis,EC,Hacienda Rumiloma,Pichincha,2,-0.176159,-78.53123,3343,3,2018
2197492629,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2018
3633432349,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2021
2710245739,Aglaeactis cupripennis,EC,"Zuroloma, Quito",Pichincha,1,-0.08863,-78.599686,3108,10,2019
2140923137,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2018
2784293360,Aglaeactis cupripennis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,12,2019
2115772194,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2018
2710427135,Aglaeactis cupripennis,EC,San Jorge Ecolodge (Quito),Pichincha,3,-0.11649,-78.52343,3187,9,2019
2081621193,Aglaeactis cupripennis,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,7,2017
