gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2217946733,Agriornis montanus,EC,Hacienda San Jose--vicinity,Pichincha,2,-0.268477,-78.27128,3309,8,2003
2744855175,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,4,2019
1791085152,Agriornis montanus,EC,Laguna de Mojanda,Imbabura,2,0.139389,-78.248276,3923,6,2016
1753536976,Agriornis montanus,EC,Calacalí--vicinity,Pichincha,1,-0.000687,-78.51512,2811,8,2007
2794588063,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,9,2019
3567138358,Agriornis montanus,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,8,2021
2756657743,Agriornis montanus,EC,Calacalí--Sendero de la Virgen (Trail from shrine),Pichincha,1,0.004016,-78.488235,2852,1,2015
3506261563,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,1,2021
3186170283,Agriornis montanus,EC,Bosque Nativo de Colibrí Garden (Familia Umaquinga),Pichincha,3,-0.272252,-78.30158,3158,7,2020
2659162926,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,2,2019
3690653307,Agriornis montanus,EC,Volcán Rucu Pichincha,Pichincha,2,-0.162563,-78.56735,4595,11,2021
2216470887,Agriornis montanus,EC,Laguna de Cuicocha,Imbabura,1,0.29262,-78.35747,3069,10,2018
2222967173,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,11,2018
3645448399,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,12,2021
3283496566,Agriornis montanus,EC,Bosque Nativo de Colibrí Garden (Familia Umaquinga),Pichincha,3,-0.272252,-78.30158,3158,7,2020
2794588021,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,9,2019
3506041086,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,2,2021
2728757257,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,4,-0.188183,-78.53542,3933,1,2019
3253862857,Agriornis montanus,EC,Bosque Nativo de Colibrí Garden (Familia Umaquinga),Pichincha,3,-0.272252,-78.30158,3158,7,2020
3135429561,Agriornis montanus,EC,"EC-Pichincha-Quito (-0.1708,-78.5516)",Pichincha,6,-0.170802,-78.55161,4207,2,2020
1777696063,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,4,2013
2763665330,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,4,2019
2799142615,Agriornis montanus,EC,Volcan Pichincha,Pichincha,1,-0.18057,-78.54026,3977,12,2019
1789001038,Agriornis montanus,EC,Hacienda San Jose--vicinity,Pichincha,1,-0.268477,-78.27128,3309,2,2000
2209703250,Agriornis montanus,EC,Quito - teleferico,Pichincha,1,-0.191383,-78.521034,3156,7,2008
2185034061,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,6,2018
2224236395,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,11,2018
3624998816,Agriornis montanus,EC,Areas between Quito and Yanacocha,Pichincha,1,-0.102763,-78.54394,3358,8,2011
3773109595,Agriornis montanus,EC,,Pichincha,1,-0.186466,-78.537736,3943,4,2022
2676164693,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,5,2019
1783034719,Agriornis montanus,EC,Areas between Quito and Yanacocha,Pichincha,1,-0.102763,-78.54394,3358,9,2011
3540200061,Agriornis montanus,EC,Colibrí Garden,Pichincha,1,-0.28576,-78.29207,3377,5,2021
2765048526,Agriornis montanus,EC,Volcan Pichincha,Pichincha,1,-0.18057,-78.54026,3977,12,2019
3236546003,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,3,2020
964554393,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,9,2013
2753649450,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,4,2019
3211723734,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,2,2020
2196217038,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,8,2018
1708969026,Agriornis montanus,EC,Laguna de Mojanda (Pichincha),Pichincha,1,0.133457,-78.26295,3723,1,2016
2699832059,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,9,2019
980226589,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,6,2008
3261435953,Agriornis montanus,EC,Bosque Nativo de Colibrí Garden (Familia Umaquinga),Pichincha,3,-0.272252,-78.30158,3158,7,2020
2699523000,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,9,2019
2737186013,Agriornis montanus,EC,Columpios Teleferico,Pichincha,1,-0.181993,-78.53874,3966,3,2019
261508072,Agriornis montanus,EC,Papallacta--'old house' site,Pichincha,1,-0.266332,-78.2825,3175,11,2008
2167316585,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,5,2018
2102945141,Agriornis montanus,EC,Guagua Pichincha--road and trail to top of volcano,Pichincha,1,-0.203755,-78.58956,3802,10,2009
3295185420,Agriornis montanus,EC,Pichincha trail,Pichincha,1,-0.174465,-78.54682,4081,1,2019
1723612625,Agriornis montanus,EC,Calacalí--vicinity,Pichincha,1,-0.000687,-78.51512,2811,3,2016
2211508752,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,10,2018
818026122,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,6,2010
1410614510,Agriornis montanus,EC,Quito - Old Airport,Pichincha,1,-0.151803,-78.487015,2793,7,2011
3687194920,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,1,2020
3646183728,Agriornis montanus,EC,Volcán Rucu Pichincha,Pichincha,2,-0.162563,-78.56735,4595,11,2021
2798480373,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,3,-0.188183,-78.53542,3933,11,2019
1202812929,Agriornis montanus,EC,"old papallacta road, Ecuador",Pichincha,1,-0.264443,-78.271835,3470,7,2005
1752532940,Agriornis montanus,EC,Guagua Pichincha--road and trail to top of volcano,Pichincha,2,-0.203755,-78.58956,3802,7,2016
2220335591,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,11,2018
2797483127,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,7,2010
3658367963,Agriornis montanus,EC,"San Pablo, Imbabura, EC (0.166, -78.144)",Imbabura,1,0.165598,-78.14396,3782,1,2021
3135218034,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,1,2020
2779353606,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,6,2019
3691867335,Agriornis montanus,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,8,2021
2192622497,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,8,2018
2793720463,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,9,2019
1399009940,Agriornis montanus,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,1,2008
2171115781,Agriornis montanus,EC,Guagua Pichincha--road and trail to top of volcano,Pichincha,1,-0.203755,-78.58956,3802,5,2018
3134171378,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,1,2020
936846613,Agriornis montanus,EC,Guagua Pichincha--road and trail to top of volcano,Pichincha,1,-0.203755,-78.58956,3802,11,2011
1155690569,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,2,2014
3528136669,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,6,2021
2655966301,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,4,-0.188183,-78.53542,3933,1,2019
2797133459,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,9,2019
2787324616,Agriornis montanus,EC,Mitad del Mundo,Pichincha,1,-0.002274,-78.4559,2475,8,2000
2200196329,Agriornis montanus,EC,Cascada El Tingo,Pichincha,1,-0.003675,-78.18123,2609,8,2018
2200366262,Agriornis montanus,EC,Parque Guápulo,Pichincha,1,-0.196777,-78.47306,2609,11,2018
1409810198,Agriornis montanus,EC,Base of summit cone Rucu,Pichincha,1,-0.165158,-78.55813,4313,9,2005
3219847305,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,4,-0.188183,-78.53542,3933,1,2020
3230660544,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,1,2020
818130873,Agriornis montanus,EC,Guagua Pichincha--road and trail to top of volcano,Pichincha,1,-0.203755,-78.58956,3802,6,2011
2736773933,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,2,2019
576314490,Agriornis montanus,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,8,2010
3137719496,Agriornis montanus,EC,Quito Teleferiqo,Pichincha,2,-0.188183,-78.53542,3933,1,2020
2723795811,Agriornis montanus,EC,laguna Mojanda,Imbabura,1,0.209,-78.224,2657,6,2013
