gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1792216921,Amazona farinosa,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,9,2011
2226802403,Amazona farinosa,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,6,2018
3215040953,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,12,2020
2123444438,Amazona farinosa,EC,Rio Silanche--general area,Pichincha,4,0.117101,-79.13609,393,1,2005
1767877032,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2016
1158288250,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,15,0.145185,-79.14147,402,2,2014
819204466,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2012
2680157607,Amazona farinosa,EC,Rio Silanche--entrance road,Pichincha,8,0.108158,-79.13607,400,11,2018
2127075113,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2018
2730668810,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,1,2009
2203220333,Amazona farinosa,EC,Rio Silanche--entrance road,Pichincha,8,0.108158,-79.13607,400,11,2018
2697221951,Amazona farinosa,EC,"Pichincha, EC (0,117, -79,118)",Pichincha,2,0.117487,-79.11756,479,8,2019
2133049139,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,1,2018
2125652570,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2018
3610650438,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2007
2697083461,Amazona farinosa,EC,Rio Silanche--general area,Pichincha,6,0.117101,-79.13609,393,9,2019
3300888758,Amazona farinosa,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,10,2020
965326157,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2013
1789249377,Amazona farinosa,EC,Rio Silanche--general area,Pichincha,3,0.117101,-79.13609,393,12,2005
2216981273,Amazona farinosa,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,8,2018
3568379947,Amazona farinosa,EC,Kapari Natural Lodge,Pichincha,1,-0.001202,-78.94196,916,10,2021
2071185754,Amazona farinosa,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,5,2017
