gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2700203682,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,10,2019
2669396579,Anas flavirostris,EC,Hacienda San Jose--vicinity,Pichincha,3,-0.268477,-78.27128,3309,4,2019
1355150206,Anas flavirostris,EC,Farm Ponds on 28C,Pichincha,11,-0.265387,-78.28815,3090,3,2015
2700835622,Anas flavirostris,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,10,2019
2716960436,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,10,2019
3291093205,Anas flavirostris,EC,Lago San Pablo,Imbabura,2,0.20874,-78.23227,2657,12,2020
2721033609,Anas flavirostris,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,10,2019
3200426984,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,10,2020
2706048685,Anas flavirostris,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,10,2019
3171995641,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,1,-0.269851,-78.45281,2439,7,2020
2200395498,Anas flavirostris,EC,"Unnamed Road, Pichincha, EC (-0.274, -78.254)",Pichincha,2,-0.274125,-78.25384,3503,10,2018
3169576383,Anas flavirostris,EC,Ecuador,Pichincha,1,-0.083496,-78.255615,2985,5,2019
3201913870,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,11,2020
3276345211,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,3,-0.269851,-78.45281,2439,11,2020
3262315848,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,2,-0.269851,-78.45281,2439,9,2020
3652609566,Anas flavirostris,EC,"Unnamed Road, Eugenio Espejo, Imbabura, EC (0.209, -78.238)",Imbabura,1,0.2091,-78.23812,2659,3,2021
2692978490,Anas flavirostris,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,5,2019
2700370632,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,10,2019
2737007242,Anas flavirostris,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,2,2019
3580743017,Anas flavirostris,EC,Quito airport pond,Pichincha,10,-0.109842,-78.36495,2341,11,2021
577671160,Anas flavirostris,EC,Hacienda San Jose--vicinity,Pichincha,1,-0.268477,-78.27128,3309,4,2011
3688241135,Anas flavirostris,EC,Pantanal de Espejo,Imbabura,2,0.209061,-78.23808,2659,9,2021
3579970953,Anas flavirostris,EC,Pantanal de Espejo,Imbabura,2,0.209061,-78.23808,2659,10,2021
2772400407,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,1,-0.269851,-78.45281,2439,6,2019
2698879290,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,10,2019
3290975941,Anas flavirostris,EC,"Carretera Panamericana, Pichincha, EC (-0.241, -78.336)",Pichincha,8,-0.2406,-78.33552,2627,10,2020
3578077094,Anas flavirostris,EC,Quito airport pond,Pichincha,5,-0.109842,-78.36495,2341,11,2021
3180075539,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,1,-0.269851,-78.45281,2439,9,2020
3556978804,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,3,2021
3206494500,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,9,2020
3513199730,Anas flavirostris,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,4,2021
2754047387,Anas flavirostris,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,2,0.199889,-78.2337,2660,7,2019
1160011667,Anas flavirostris,EC,"EC-Imbabura - 0.2008x-78.2328 - Mar 15, 2014, 3:33 PM",Imbabura,2,0.20078,-78.23283,2657,3,2014
3621320673,Anas flavirostris,EC,Reservorio Los Chillos,Pichincha,3,-0.379977,-78.41123,2802,7,2021
3579609642,Anas flavirostris,EC,Lago San Pablo,Imbabura,1,0.216879,-78.21867,2658,11,2021
3188472111,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,1,-0.269851,-78.45281,2439,10,2020
967006328,Anas flavirostris,EC,Hacienda San Jose--vicinity,Pichincha,3,-0.268477,-78.27128,3309,9,2012
2744691270,Anas flavirostris,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,2,2019
942686130,Anas flavirostris,EC,Papallacta--'old house' site,Pichincha,2,-0.266332,-78.2825,3175,2,2013
2687069680,Anas flavirostris,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,2,0.199889,-78.2337,2660,7,2019
2751881705,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,1,-0.269851,-78.45281,2439,4,2019
3662101021,Anas flavirostris,EC,Lago San Pablo,Imbabura,13,0.20874,-78.23227,2657,9,2021
2755403321,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,10,2019
3584038970,Anas flavirostris,EC,Quito airport pond,Pichincha,10,-0.109842,-78.36495,2341,11,2021
3662264429,Anas flavirostris,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,2,0.199889,-78.2337,2660,2,2021
3676110966,Anas flavirostris,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,2,0.199889,-78.2337,2660,7,2019
1190700251,Anas flavirostris,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,7,2008
2703106738,Anas flavirostris,EC,Itulcachi y alrededores,Pichincha,2,-0.268455,-78.34797,2662,7,2018
938164002,Anas flavirostris,EC,Lago San Pablo,Imbabura,2,0.20874,-78.23227,2657,1,2013
2663905277,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,1,-0.269851,-78.45281,2439,2,2019
3623314276,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,2,2021
3279844802,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,2,-0.269851,-78.45281,2439,9,2020
3509797943,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,2,2021
3641377925,Anas flavirostris,EC,Lago San Pablo,Imbabura,2,0.20874,-78.23227,2657,9,2021
1206596676,Anas flavirostris,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,2,2013
2774593186,Anas flavirostris,EC,Lago San Pablo--Parque Acuático Araque,Imbabura,2,0.205291,-78.20698,2659,9,2019
1794232875,Anas flavirostris,EC,Lago San Pablo--Parque Acuático Araque,Imbabura,6,0.205291,-78.20698,2659,9,2009
2714789689,Anas flavirostris,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,10,2019
3635237048,Anas flavirostris,EC,"Vía sin nombre, Pichincha, EC (-0.222, -78.278)",Pichincha,2,-0.222218,-78.27835,3482,11,2021
952940711,Anas flavirostris,EC,Lago San Pablo,Imbabura,5,0.20874,-78.23227,2657,1,2013
2770305013,Anas flavirostris,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,2,2019
2656491190,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,2,-0.269851,-78.45281,2439,1,2019
1175212413,Anas flavirostris,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,11,2011
944431109,Anas flavirostris,EC,Papallacta--'old house' site,Pichincha,2,-0.266332,-78.2825,3175,2,2013
3659699741,Anas flavirostris,EC,Quito airport pond,Pichincha,10,-0.109842,-78.36495,2341,11,2021
3586118440,Anas flavirostris,EC,Quito airport pond,Pichincha,10,-0.109842,-78.36495,2341,11,2021
3543821126,Anas flavirostris,EC,Laguna de Mojanda (Pichincha),Pichincha,1,0.133457,-78.26295,3723,10,2021
1186073219,Anas flavirostris,EC,Hacienda San Jose--vicinity,Pichincha,3,-0.268477,-78.27128,3309,9,2012
3581987809,Anas flavirostris,EC,Quito airport pond,Pichincha,10,-0.109842,-78.36495,2341,11,2021
2661190364,Anas flavirostris,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,2,2019
3173431087,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,2,-0.269851,-78.45281,2439,6,2020
977536721,Anas flavirostris,EC,Papallacta--'old house' site,Pichincha,2,-0.266332,-78.2825,3175,2,2013
3570471647,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,6,-0.193,-78.426834,2354,12,2021
1779022885,Anas flavirostris,EC,Otavalo--general area,Imbabura,1,0.234403,-78.25862,2529,7,2011
3680683636,Anas flavirostris,EC,Laguna de Mojanda (Pichincha),Pichincha,2,0.133457,-78.26295,3723,9,2021
1190804069,Anas flavirostris,EC,Laguna de Cuicocha,Imbabura,7,0.30257,-78.36251,3069,7,2004
1411319778,Anas flavirostris,EC,Otavalo--general area,Imbabura,1,0.234403,-78.25862,2529,10,2010
1778958369,Anas flavirostris,EC,Otavalo--general area,Imbabura,1,0.234403,-78.25862,2529,7,2011
3569697316,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,6,-0.193,-78.426834,2354,12,2021
2730779988,Anas flavirostris,EC,"Cuycocha-Road, Provincia de Imbabura, EC (0,293, -78,357)",Imbabura,4,0.292642,-78.35744,3070,1,2019
2703086420,Anas flavirostris,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,2,0.199889,-78.2337,2660,7,2019
3207808566,Anas flavirostris,EC,Lago San Pablo,Imbabura,2,0.20874,-78.23227,2657,12,2020
3622625959,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,2,2021
2670091811,Anas flavirostris,EC,"MOJANDA, IMBABURA (0,145, -78,269)",Imbabura,2,0.145469,-78.268524,3717,5,2019
2192023612,Anas flavirostris,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,6,2018
2166707242,Anas flavirostris,EC,Road to Coyambe-Coca National Park,Pichincha,14,-0.282553,-78.25454,3526,5,2018
3685845293,Anas flavirostris,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,1,0.199889,-78.2337,2660,4,2021
2778097974,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,10,2019
1190706440,Anas flavirostris,EC,Lago San Pablo,Imbabura,23,0.20874,-78.23227,2657,2,2005
2132617723,Anas flavirostris,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,10,2016
3178968170,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,2,-0.269851,-78.45281,2439,9,2020
2779265664,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,8,-0.193,-78.426834,2354,10,2019
2782062048,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,10,2019
2759034170,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,3,-0.193,-78.426834,2354,10,2019
1190629432,Anas flavirostris,EC,Laguna de Salvefaccha,Imbabura,2,0.23219,-78.15347,3323,7,2004
3258440576,Anas flavirostris,EC,Reservorio Guangopolo,Pichincha,2,-0.269851,-78.45281,2439,9,2020
3198924799,Anas flavirostris,EC,Lago San Pablo--Parque Acuático Araque,Imbabura,2,0.205291,-78.20698,2659,12,2020
3589380785,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,2,2021
3199690688,Anas flavirostris,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,9,2020
1403368276,Anas flavirostris,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,12,2015
2710338615,Anas flavirostris,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,2,0.199889,-78.2337,2660,7,2019
