gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2236863322,Anisognathus notabilis,EC,,Pichincha,1,-0.028839,-78.762188,1634,3,2019
2243558787,Anisognathus notabilis,EC,"Paz de las Aves, Pichincha",,1,0.0226,-78.712,1857,1,2012
2243609852,Anisognathus notabilis,EC,"Paz de las Aves, Pichincha",,1,0.0226,-78.712,1857,7,2014
2243662478,Anisognathus notabilis,EC,Pichincha: Jane Lyon's land SE Mindo,,1,-0.017,-78.733,2060,10,2004
2243609444,Anisognathus notabilis,EC,"Paz de las Aves, Pichincha",,1,0.0226,-78.712,1857,7,2014
2243633098,Anisognathus notabilis,EC,"Un Poco del Choco, Pichincha",,1,0.0736,-78.7685,1713,2,2015
1203220729,Anisognathus notabilis,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,7,2014
2130471223,Anisognathus notabilis,EC,Reserva Amagusa,Pichincha,3,0.1598,-78.8534,1302,2,2018
2077724175,Anisognathus notabilis,EC,Reserva Amagusa,Pichincha,4,0.1598,-78.8534,1302,6,2017
1147213555,Anisognathus notabilis,EC,Reserva Paz de las Aves,Pichincha,1,0.02018,-78.70721,1888,7,2008
2603434991,Anisognathus notabilis,EC,,Pichincha,1,-0.016044,-78.68087,2229,3,2015
2227916973,Anisognathus notabilis,EC,Desvío Mindo (Junction),Pichincha,2,-0.026744,-78.76363,1683,12,2018
3657737466,Anisognathus notabilis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,9,2021
2699959319,Anisognathus notabilis,EC,San Tadeo Birdwatching (Feeders),Pichincha,4,-0.029472,-78.751816,1731,9,2019
2720148293,Anisognathus notabilis,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,10,2019
1782569851,Anisognathus notabilis,EC,Reserva Amagusa,Pichincha,3,0.1598,-78.8534,1302,12,2016
2189300396,Anisognathus notabilis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,7,2013
2988469403,Anisognathus notabilis,EC,,Pichincha,1,0.126176,-78.595846,2109,1,2010
2422863718,Anisognathus notabilis,EC,,Pichincha,1,0.126176,-78.595846,2109,3,2014
2573837953,Anisognathus notabilis,EC,,Pichincha,1,0.020278,-78.707222,1887,3,2012
2800609039,Anisognathus notabilis,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,10,2015
2781075631,Anisognathus notabilis,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,8,2019
3579142955,Anisognathus notabilis,EC,Mindoloma Bird Lodge,Pichincha,1,-0.01163,-78.74401,1785,8,2005
3691844690,Anisognathus notabilis,EC,Reserva Bellavista--general area,Pichincha,2,-0.016544,-78.68791,2278,7,2021
3548932626,Anisognathus notabilis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2008
2202353575,Anisognathus notabilis,EC,Mashpi--general area,Pichincha,7,0.16546,-78.84751,1293,11,2018
1766391322,Anisognathus notabilis,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,2,-0.033302,-78.712814,2228,10,2016
3569102980,Anisognathus notabilis,EC,Reserva Amagusa,Pichincha,4,0.1598,-78.8534,1302,12,2021
2721065071,Anisognathus notabilis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2019
2183154438,Anisognathus notabilis,EC,Reserva Las Gralarias,Pichincha,2,-0.012531,-78.72995,2073,7,2018
2114899891,Anisognathus notabilis,EC,San Tadeo,Pichincha,1,-0.028024,-78.746544,1855,9,2004
1782996629,Anisognathus notabilis,EC,Mashpi--general area,Pichincha,3,0.16546,-78.84751,1293,10,2016
1346007113,Anisognathus notabilis,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,1,2015
2132831770,Anisognathus notabilis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,3,2018
1761279702,Anisognathus notabilis,EC,Nono-Mindo Road near San Tadeo,Pichincha,2,-0.024868,-78.74329,1913,9,2016
3182022927,Anisognathus notabilis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,10,2018
