gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3690836044,Arremon castaneiceps,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,9,2016
1205968126,Arremon castaneiceps,EC,Milpe Road,Pichincha,1,0.051764,-78.90251,1013,10,2011
575909234,Arremon castaneiceps,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,6,2006
963676527,Arremon castaneiceps,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2013
2797694550,Arremon castaneiceps,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,4,2007
2083495884,Arremon castaneiceps,EC,Reserva Río Manduriacu,Imbabura,3,0.31026,-78.85736,1213,6,2017
2133029544,Arremon castaneiceps,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,12,2017
210469701,Arremon castaneiceps,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2005
3547308878,Arremon castaneiceps,EC,Mashpi Lodge ( 500 To 1400 Msnm By Nestor Paladines,Pichincha,2,0.166091,-78.87911,927,10,2021
3243978875,Arremon castaneiceps,EC,Tarabita Cable Car,Pichincha,3,-0.071561,-78.77538,1431,3,2020
3168714600,Arremon castaneiceps,EC,"La Isla Mindo,, EC (-0,05, -78,753)",Pichincha,1,-0.050245,-78.75272,1510,5,2020
3682617108,Arremon castaneiceps,EC,"La Isla Mindo,, EC (-0,05, -78,753)",Pichincha,1,-0.050245,-78.75272,1510,5,2020
1405178905,Arremon castaneiceps,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,11,2004
2680893071,Arremon castaneiceps,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,4,2019
3279176851,Arremon castaneiceps,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,7,2020
1406586044,Arremon castaneiceps,EC,Milpe Road,Pichincha,1,0.051764,-78.90251,1013,10,2011
2121767593,Arremon castaneiceps,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,12,2017
2225642566,Arremon castaneiceps,EC,Bosque Protector Mindo Nambillo--El refugio,Pichincha,1,-0.1014,-78.74411,1681,12,2016
1726008866,Arremon castaneiceps,EC,Reserva las Tangaras,Pichincha,2,-0.077419,-78.76933,1427,3,2016
2670120529,Arremon castaneiceps,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,2,2019
3271240435,Arremon castaneiceps,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,3,2013
2155198598,Arremon castaneiceps,EC,"Unnamed Road, Pichincha, EC (0.157, -78.884)",Pichincha,1,0.157106,-78.88421,734,5,2018
3215775154,Arremon castaneiceps,EC,La Isla Mindo,Pichincha,1,-0.055306,-78.77035,1269,12,2020
3290551080,Arremon castaneiceps,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,8,2005
3549071246,Arremon castaneiceps,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,7,2021
2730417192,Arremon castaneiceps,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,2,2019
2041342570,Arremon castaneiceps,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,4,2017
