gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243609969,Arremonops conirostris,EC,"Distrito Metropolitano de Quito, Pichincha",,1,0.0591,-78.7679,1863,7,2014
2138715095,Arremonops conirostris,EC,"Via de observación de aves, cordillera San Lorenzo, SN Miguel Bancos EC-Pichincha (-0.0606,-78.7703)",Pichincha,2,-0.060592,-78.77027,1262,3,2018
2064043989,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,4,2017
1880584095,Arremonops conirostris,EC,,Pichincha,1,0.159723,-78.853727,1299,8,2017
2784875879,Arremonops conirostris,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,10,2003
1192884540,Arremonops conirostris,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,10,2014
3188501970,Arremonops conirostris,EC,Milpe Road,Pichincha,1,0.051764,-78.90251,1013,10,2020
2423139795,Arremonops conirostris,EC,,Pichincha,1,-0.029214,-78.752735,1744,9,2019
1400743425,Arremonops conirostris,EC,Reserva Mangaloma,Pichincha,2,0.122652,-78.99485,843,5,2006
3229208199,Arremonops conirostris,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,3,2020
2096890977,Arremonops conirostris,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,12,2017
2030318487,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,1,2017
3148231371,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,1,-0.029472,-78.751816,1731,2,2020
1162094226,Arremonops conirostris,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,3,2014
1351725603,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,2,2015
1172252963,Arremonops conirostris,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,5,2014
2064950866,Arremonops conirostris,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,6,2017
2047912377,Arremonops conirostris,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,3,2017
2090498273,Arremonops conirostris,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,10,2017
2077371937,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,6,2017
3222866675,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,1,-0.029472,-78.751816,1731,2,2020
2232318512,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,1,-0.029472,-78.751816,1731,12,2018
2062852778,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,2,-0.029472,-78.751816,1731,5,2017
3533040779,Arremonops conirostris,EC,Pacto City Road,Pichincha,1,0.143273,-78.76661,1159,5,2021
3136581893,Arremonops conirostris,EC,Ruta a la Cascada La Sucia,Pichincha,1,0.001374,-78.906685,936,1,2020
3210511508,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,1,-0.029472,-78.751816,1731,11,2020
1374721262,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,5,2015
2102044207,Arremonops conirostris,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,1,-0.050725,-78.772385,1274,12,2017
3253382703,Arremonops conirostris,EC,Recinto 23 de Junio,Pichincha,1,-0.03193,-78.87659,1117,10,2020
2093347332,Arremonops conirostris,EC,Reserva Amagusa,Pichincha,3,0.1598,-78.8534,1302,9,2017
2120297258,Arremonops conirostris,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,3,2018
1790469061,Arremonops conirostris,EC,Los Bancos-Milpe IBA,Pichincha,1,0.07993,-78.886,923,2,2016
1182349994,Arremonops conirostris,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,7,2014
2127635073,Arremonops conirostris,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,2,2018
1196577205,Arremonops conirostris,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,11,2014
2111212404,Arremonops conirostris,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,2,2018
1197296640,Arremonops conirostris,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,11,2014
2693851388,Arremonops conirostris,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,3,0.20874,-78.73695,854,3,2019
2072483002,Arremonops conirostris,EC,Recinto 23 de Junio--upper lek site,Pichincha,1,-0.05492,-78.86113,1540,5,2017
1347908361,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,1,2015
2704616208,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,2,-0.029472,-78.751816,1731,1,2019
3654527626,Arremonops conirostris,EC,Recinto 23 de Junio--upper lek site,Pichincha,1,-0.05492,-78.86113,1540,8,2021
3221337923,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,1,-0.029472,-78.751816,1731,1,2020
2179942801,Arremonops conirostris,EC,Amagusa Preserve,Pichincha,1,0.160718,-78.85385,1300,6,2018
1400744803,Arremonops conirostris,EC,Reserva Mangaloma,Pichincha,12,0.122652,-78.99485,843,4,2006
2667770526,Arremonops conirostris,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,4,2019
3299534915,Arremonops conirostris,EC,"Sachatamia lodge, Equateur",Pichincha,1,-0.026554,-78.7594,1719,2,2017
2114684936,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,1,-0.029472,-78.751816,1731,2,2018
2654884972,Arremonops conirostris,EC,Milpe Road,Pichincha,3,0.051764,-78.90251,1013,1,2019
3249066140,Arremonops conirostris,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,2,2020
2183158877,Arremonops conirostris,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,7,2018
2654001182,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,2,-0.029472,-78.751816,1731,1,2019
3547631825,Arremonops conirostris,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,2,2016
2094598856,Arremonops conirostris,EC,Mindo--Casa Divina Lodge,Pichincha,1,-0.06509,-78.76884,1285,9,2017
2098657202,Arremonops conirostris,EC,Mindo-La Isla,Pichincha,3,-0.05503,-78.77299,1269,12,2017
975502645,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,12,2013
1175563451,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,6,2014
2085520077,Arremonops conirostris,EC,Mashpi--Entrance road before gate,Pichincha,3,0.160629,-78.84993,1340,8,2017
3532951231,Arremonops conirostris,EC,Ruta de los Tubos,Santo Domingo de los Tsáchilas,1,-0.322741,-78.99407,787,3,2021
2038822253,Arremonops conirostris,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,1,2017
2202006329,Arremonops conirostris,EC,San Miguel de Los Bancos--vicinity,Pichincha,1,0.02274,-78.89481,1078,3,2018
2181220882,Arremonops conirostris,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,5,2018
2661685927,Arremonops conirostris,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,1,2019
1781994488,Arremonops conirostris,EC,Ecollacta,Pichincha,2,0.1171,-78.6409,1322,12,2016
3223932208,Arremonops conirostris,EC,"Carlota Jaramillo, SN Miguel Bancos EC-Pichincha -0.05487, -78.77223",Pichincha,2,-0.05487,-78.77223,1267,3,2020
3247947999,Arremonops conirostris,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,9,2020
2756033629,Arremonops conirostris,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,2,2019
2136572288,Arremonops conirostris,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,2,-0.051046,-78.7784,1259,3,2018
1206194147,Arremonops conirostris,EC,Recinto 23 de Junio,Pichincha,1,-0.03193,-78.87659,1117,11,2011
1400743957,Arremonops conirostris,EC,Reserva Mangaloma,Pichincha,3,0.122652,-78.99485,843,4,2006
2674476822,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,1,-0.029472,-78.751816,1731,5,2019
1197471183,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,11,2014
1350998555,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,2,2015
2693533088,Arremonops conirostris,EC,San tadeo,Pichincha,1,-0.029033,-78.7523,1748,6,2019
2708011641,Arremonops conirostris,EC,Recinto 23 de Junio--upper lek site,Pichincha,1,-0.05492,-78.86113,1540,11,2019
2685342060,Arremonops conirostris,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,6,2019
1166111092,Arremonops conirostris,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,4,2014
2159289598,Arremonops conirostris,EC,Recinto 23 de Junio--upper lek site,Pichincha,1,-0.05492,-78.86113,1540,5,2018
3552202490,Arremonops conirostris,EC,Desvío Mindo (Junction),Pichincha,1,-0.026744,-78.76363,1683,6,2021
1352701731,Arremonops conirostris,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,2,2015
2078631643,Arremonops conirostris,EC,"-0.056x-78.778 - Jul 2, 2017 8:29 AM",Pichincha,1,-0.056387,-78.77826,1240,7,2017
1387967037,Arremonops conirostris,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,9,2015
1177811455,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,6,2014
2086898593,Arremonops conirostris,EC,"Vía a Las Cascadas, Pichincha, EC (-0.067, -78.776)",Pichincha,2,-0.067177,-78.775826,1411,8,2017
3639876225,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,2,-0.029472,-78.751816,1731,10,2021
1773003827,Arremonops conirostris,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,10,2016
3191329670,Arremonops conirostris,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,9,2020
3231901432,Arremonops conirostris,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,1,2020
2114064650,Arremonops conirostris,EC,San Tadeo Birdwatching (Feeders),Pichincha,2,-0.029472,-78.751816,1731,12,2017
2214295944,Arremonops conirostris,EC,"(0.0434,-78.8840) on road from Milpe lodge towards Milpe",Pichincha,2,0.043407,-78.88401,1069,11,2018
1196399584,Arremonops conirostris,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,10,2014
1176862146,Arremonops conirostris,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,6,2014
1779146626,Arremonops conirostris,EC,Puerto Quito,Pichincha,1,0.116386,-79.26367,196,3,2013
2193513945,Arremonops conirostris,EC,"San Tadeo Birding, EC (-0,029, -78,753)",Pichincha,1,-0.029254,-78.7526,1744,8,2018
1150671179,Arremonops conirostris,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,1,2014
3174803768,Arremonops conirostris,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2010
1398787020,Arremonops conirostris,EC,Mindo--Vía al Cinto,Pichincha,1,-0.061568,-78.791115,1207,1,2003
