gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243663675,Atlapetes crassus,EC,Pichincha: Tandayapa ridge 3 km SSW Tandayapa,,1,-0.017,-78.685,2351,6,2004
2243569564,Atlapetes crassus,EC,"Distrito Metropolitano de Quito, Pichincha",,1,0.1038,-78.6027,1600,1,2013
2243556907,Atlapetes crassus,EC,"Tandayapa Valley, Pichincha",,1,-0.0167,-78.6834,2309,1,2012
2243777357,Atlapetes crassus,EC,"Tandayapa Bird Lodge, Tandayapa Valley, Pichincha",,1,0.01,-78.6776,1702,12,2002
2243557305,Atlapetes crassus,EC,"Tandayapa Valley, Pichincha",,1,-0.0167,-78.6834,2309,1,2012
3387649321,Atlapetes crassus,EC,Wälder im Tandayapa Valley und Umgebung,,1,0.011335,-78.689766,2054,11,2004
2243561749,Atlapetes crassus,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,4,2011
2243561383,Atlapetes crassus,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,4,2011
2243591053,Atlapetes crassus,EC,"Reserva Las Tangaras, Mindo, Pichincha",,1,-0.081,-78.7679,1349,12,2013
2243778860,Atlapetes crassus,EC,"Tandayapa Bird Lodge, Tandayapa Valley, Pichincha",,1,0.01,-78.6776,1702,12,2002
2848585148,Atlapetes crassus,EC,"Mindo, Pichincha",,1,-0.0266,-78.7423,1861,2,2020
2243572925,Atlapetes crassus,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,11,2005
2243890869,Atlapetes crassus,EC,"Reserva Los Cedros, Imbabura",,1,0.3139,-78.7864,1507,6,2008
2243625432,Atlapetes crassus,EC,"Un Poco del Choco, Pichincha",,1,0.0736,-78.7685,1713,11,2014
3076289423,Atlapetes crassus,EC,"Pichincha: Reserva Natural Kapari, San Miguel de los Bancos",,1,0.0012,-78.9391,942,3,2021
2243630297,Atlapetes crassus,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,2,2015
2243572898,Atlapetes crassus,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,5,2005
2243891168,Atlapetes crassus,EC,"Reserva Los Cedros, Imbabura",,1,0.3139,-78.7864,1507,6,2008
2848556152,Atlapetes crassus,EC,"Mindo, Pichincha",,1,-0.0266,-78.7423,1861,2,2020
2243562257,Atlapetes crassus,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,4,2011
2243610265,Atlapetes crassus,EC,"Distrito Metropolitano de Quito, Pichincha",,1,0.0591,-78.7679,1863,7,2014
