gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2699098897,Atlapetes tricolor,EC,"Vía a Las Cascadas, Pichincha, EC (-0,06, -78,772)",Pichincha,2,-0.060109,-78.77196,1309,9,2019
3566787619,Atlapetes tricolor,EC,Reserva Bellavista--general area,Pichincha,2,-0.016544,-78.68791,2278,4,2021
1206479461,Atlapetes tricolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,11,2009
2046746029,Atlapetes tricolor,EC,Tandayapa--San Jorge Tandayapa,Pichincha,2,0.010117,-78.676544,1656,2,2017
2746269713,Atlapetes tricolor,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,6,2019
2120231849,Atlapetes tricolor,EC,Mindo--Road from highway to town (1300-1700m),Pichincha,2,-0.03871,-78.76851,1441,12,2007
2084599261,Atlapetes tricolor,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,10,2017
1405082451,Atlapetes tricolor,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,10,2015
1355729036,Atlapetes tricolor,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,3,2015
2764725255,Atlapetes tricolor,EC,San Jorge de Milpe,Pichincha,2,0.044357,-78.88368,1059,2,2017
3567702191,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,7,2021
1767065984,Atlapetes tricolor,EC,Ecollacta,Pichincha,1,0.1171,-78.6409,1322,9,2016
2755994451,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,5,2019
1147250407,Atlapetes tricolor,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,6,2008
3044733358,Atlapetes tricolor,EC,,Pichincha,1,0.006412,-78.676095,1725,2,2021
2619874658,Atlapetes tricolor,EC,,Pichincha,1,0.118406,-78.61208,1883,5,2014
1768196123,Atlapetes tricolor,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,10,2016
1346259095,Atlapetes tricolor,EC,Mashpi--general area,Pichincha,6,0.16546,-78.84751,1293,1,2015
2724874719,Atlapetes tricolor,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,10,2019
2157755785,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,4,-0.062765,-78.77427,1344,5,2018
1767569126,Atlapetes tricolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,3,2013
1786584904,Atlapetes tricolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,2,2015
2185975045,Atlapetes tricolor,EC,Bellavista Cloud Forest Lodge,Pichincha,2,-0.015922,-78.681206,2242,7,2018
2718638361,Atlapetes tricolor,EC,Milpe Road,Pichincha,1,0.051764,-78.90251,1013,2,2004
3525441383,Atlapetes tricolor,EC,Bellavista Cloud Forest Lodge,Pichincha,2,-0.015922,-78.681206,2242,7,2019
2123463143,Atlapetes tricolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,11,2005
2657735517,Atlapetes tricolor,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,2,2019
2037312677,Atlapetes tricolor,EC,Reserva Amagusa,Pichincha,3,0.1598,-78.8534,1302,2,2017
2655675052,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,1,2019
1716511087,Atlapetes tricolor,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,2,2016
2058038719,Atlapetes tricolor,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,4,2017
1794824387,Atlapetes tricolor,EC,Tandayapa,Pichincha,1,0.016984,-78.6738,1611,6,2011
2080133054,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,9,2017
3243627405,Atlapetes tricolor,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,2,2020
2719334788,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,11,2019
3676534724,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,5,2021
3644105647,Atlapetes tricolor,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,12,2021
2167774337,Atlapetes tricolor,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,7,2018
2751969661,Atlapetes tricolor,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,7,2019
3682605614,Atlapetes tricolor,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,10,2021
2708380190,Atlapetes tricolor,EC,"EC-Pichincha-Quito (0,1251,-78,6280)",Pichincha,3,0.125067,-78.62796,1309,11,2019
2718343923,Atlapetes tricolor,EC,Mashpi--general area,Pichincha,2,0.16546,-78.84751,1293,10,2016
2707669622,Atlapetes tricolor,EC,"Vía a Las Cascadas, Pichincha, EC (-0.069, -78.771)",Pichincha,2,-0.0693,-78.771416,1415,11,2019
1777190472,Atlapetes tricolor,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,12,2016
1156581755,Atlapetes tricolor,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,1,2014
1191000866,Atlapetes tricolor,EC,Mindo--Centro de Educacíon Ambiental(CEA),Pichincha,2,-0.074467,-78.75362,1350,10,2014
1165322266,Atlapetes tricolor,EC,Sachatamia Lodge,Pichincha,6,-0.025148,-78.75798,1719,3,2014
3506155672,Atlapetes tricolor,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,1,2021
3618015878,Atlapetes tricolor,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,7,2021
2752059430,Atlapetes tricolor,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,4,2019
2722715128,Atlapetes tricolor,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,8,2019
2694098600,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,9,2019
1787278218,Atlapetes tricolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,2,2008
1379120646,Atlapetes tricolor,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,1,2015
3553288786,Atlapetes tricolor,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,3,0.019655,-78.70693,1906,12,2021
2661049721,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,1,2019
3669646949,Atlapetes tricolor,EC,Reserva Las Tangaras,Pichincha,1,-0.073428,-78.76845,1465,12,2021
2152597782,Atlapetes tricolor,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,2,-0.024804,-78.72448,2126,4,2018
2720818883,Atlapetes tricolor,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,6,0.195715,-78.872116,766,2,2019
3692669918,Atlapetes tricolor,EC,Mashpi Lodge ( 500 To 1400 Msnm By Nestor Paladines,Pichincha,2,0.166091,-78.87911,927,10,2021
3504396711,Atlapetes tricolor,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,11,2008
3262577587,Atlapetes tricolor,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,5,2020
2065805662,Atlapetes tricolor,EC,Alambi Reserve,Pichincha,2,0.030789,-78.680565,1488,6,2017
3601062639,Atlapetes tricolor,EC,Cerro Campana,Pichincha,1,0.126663,-78.626854,1354,5,2021
3196407026,Atlapetes tricolor,EC,Reserva Amagusa,Pichincha,4,0.1598,-78.8534,1302,11,2020
2102096162,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,12,2017
2172060285,Atlapetes tricolor,EC,Recinto 23 de Junio--upper lek site,Pichincha,1,-0.05492,-78.86113,1540,6,2018
2717080412,Atlapetes tricolor,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,10,2015
2699410289,Atlapetes tricolor,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,6,2019
2144827729,Atlapetes tricolor,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,1,2006
2674803105,Atlapetes tricolor,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,4,2019
3613173006,Atlapetes tricolor,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,3,-0.024804,-78.72448,2126,5,2021
1789550914,Atlapetes tricolor,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,3,2011
3219250629,Atlapetes tricolor,EC,San Tadeo Birdwatching (Feeders),Pichincha,3,-0.029472,-78.751816,1731,2,2020
2088712974,Atlapetes tricolor,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,7,2017
1783335521,Atlapetes tricolor,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,12,2016
1201369227,Atlapetes tricolor,EC,Séptimo Paraiso,Pichincha,3,-0.030813,-78.764465,1564,11,2014
1713514522,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,1,2016
2730814359,Atlapetes tricolor,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,3,2019
2702304670,Atlapetes tricolor,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,8,2019
2107766628,Atlapetes tricolor,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,11,2017
3858531672,Atlapetes tricolor,EC,,Pichincha,1,-0.037868,-78.757702,1547,6,2022
2089330404,Atlapetes tricolor,EC,Reserva Las Gralarias,Pichincha,2,-0.012531,-78.72995,2073,8,2017
2740124477,Atlapetes tricolor,EC,Umbrellabird Lek Luis Ajila farm,Pichincha,1,-0.046045,-78.8774,1219,7,2019
2736545473,Atlapetes tricolor,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,7,2018
2658175922,Atlapetes tricolor,EC,Séptimo Paraiso,Pichincha,4,-0.030813,-78.764465,1564,2,2019
3689624688,Atlapetes tricolor,EC,"Via de Observación de Aves, Cordillera San Lorenzo, SN Miguel Bancos EC-Pichincha -0.07601, -78.76406",Pichincha,1,-0.076013,-78.76406,1468,3,2021
1379248037,Atlapetes tricolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,7,2015
3132187904,Atlapetes tricolor,EC,"Via a Cinto, SN Miguel Bancos EC-Pichincha (-0.0582,-78.7800)",Pichincha,1,-0.05825,-78.779976,1231,1,2020
2783343858,Atlapetes tricolor,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,9,2019
3224445290,Atlapetes tricolor,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,3,2020
2174355875,Atlapetes tricolor,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,7,2018
2711982637,Atlapetes tricolor,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,12,2019
971671761,Atlapetes tricolor,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,10,2013
2197585740,Atlapetes tricolor,EC,Reserva Bellavista--general area,Pichincha,3,-0.016544,-78.68791,2278,10,2018
2689516216,Atlapetes tricolor,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,6,2015
2145943733,Atlapetes tricolor,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,3,2018
970118286,Atlapetes tricolor,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,10,2013
2169286037,Atlapetes tricolor,EC,"(-0.0336,-78.7121)",Pichincha,2,-0.033637,-78.712074,2236,7,2018
2051254765,Atlapetes tricolor,EC,Mindozonia Lodge,Pichincha,1,0.030642,-78.71168,1723,3,2017
1360007218,Atlapetes tricolor,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,4,2015
1182351366,Atlapetes tricolor,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,7,2014
