gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243749327,Bangsia flavovirens,EC,"End of the Milpe road, Pichincha",,1,0.0725,-78.9067,784,12,2002
2772784378,Bangsia flavovirens,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.195715,-78.872116,766,9,2019
2206460399,Bangsia flavovirens,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,11,2018
3666833644,Bangsia flavovirens,EC,Milpe--end of the road,Pichincha,2,0.07727,-78.93023,912,11,2010
3289929102,Bangsia flavovirens,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.211644,-78.909584,581,12,2020
2778609301,Bangsia flavovirens,EC,Milpe--end of the road,Pichincha,1,0.07727,-78.93023,912,12,2002
2788075172,Bangsia flavovirens,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,5,2013
2700090633,Bangsia flavovirens,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.195715,-78.872116,766,9,2019
1198495888,Bangsia flavovirens,EC,La Delicia--Guayabillas road (upper part above Mashpi turnoff),Pichincha,2,0.162021,-78.82376,1623,11,2014
3572832621,Bangsia flavovirens,EC,"Via Guayabillas-La Delicia, Quito EC-Pichincha 0.18330, -78.85113",Pichincha,2,0.1833,-78.85113,1073,7,2021
3630626927,Bangsia flavovirens,EC,Mashpi--general area,Pichincha,4,0.16546,-78.84751,1293,8,2021
3388487643,Bangsia flavovirens,EC,Santa Rosa Birdwatchers Lodge,,1,-0.024752,-78.72374,2128,3,2020
3693095970,Bangsia flavovirens,EC,"Via Guayabillas-La Delicia, Quito EC-Pichincha 0.17680, -78.85222",Pichincha,4,0.176796,-78.85223,1137,10,2021
1730310154,Bangsia flavovirens,EC,San Jorge de Milpe,Pichincha,4,0.044357,-78.88368,1059,4,2016
3198143337,Bangsia flavovirens,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.211644,-78.909584,581,12,2020
955486759,Bangsia flavovirens,EC,Milpe--end of the road,Pichincha,1,0.07727,-78.93023,912,11,2002
3223099408,Bangsia flavovirens,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,1,0.195715,-78.872116,766,1,2020
2705187802,Bangsia flavovirens,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.195715,-78.872116,766,11,2019
1201370787,Bangsia flavovirens,EC,La Delicia--Guayabillas road (upper part above Mashpi turnoff),Pichincha,2,0.162021,-78.82376,1623,11,2014
1201366533,Bangsia flavovirens,EC,La Delicia--Guayabillas road (upper part above Mashpi turnoff),Pichincha,2,0.162021,-78.82376,1623,11,2014
1201338903,Bangsia flavovirens,EC,La Delicia--Guayabillas road (upper part above Mashpi turnoff),Pichincha,2,0.162021,-78.82376,1623,11,2014
3192694818,Bangsia flavovirens,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.211644,-78.909584,581,12,2020
3200839888,Bangsia flavovirens,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,11,2018
3202385715,Bangsia flavovirens,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.211644,-78.909584,581,12,2020
3213323890,Bangsia flavovirens,EC,Reserva Cascada Tatalá,Pichincha,3,0.092907,-78.941635,805,12,2020
3209477952,Bangsia flavovirens,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,1,0.195715,-78.872116,766,12,2020
1766580097,Bangsia flavovirens,EC,Milpe Bird Sanctuary,Pichincha,4,0.033327,-78.868454,1110,10,2016
2112449701,Bangsia flavovirens,EC,Milpe Road,Pichincha,5,0.051764,-78.90251,1013,3,2008
1759930247,Bangsia flavovirens,EC,La Delicia--Guayabillas road (upper part above Mashpi turnoff),Pichincha,2,0.162021,-78.82376,1623,11,2014
1201367929,Bangsia flavovirens,EC,La Delicia--Guayabillas road (upper part above Mashpi turnoff),Pichincha,2,0.162021,-78.82376,1623,11,2014
1201372272,Bangsia flavovirens,EC,La Delicia--Guayabillas road (upper part above Mashpi turnoff),Pichincha,2,0.162021,-78.82376,1623,11,2014
