gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3584067777,Bartramia longicauda,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,12,2021
1794508308,Bartramia longicauda,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,1,0.022492,-78.50228,3043,9,2012
3662855290,Bartramia longicauda,EC,Quito airport pond,Pichincha,4,-0.109842,-78.36495,2341,9,2021
2214653949,Bartramia longicauda,EC,"Armenia-Lumbisi Road, Quito, Pichincha, (-0.257, -78.459)",Pichincha,1,-0.256512,-78.45883,2404,9,2018
2718182987,Bartramia longicauda,EC,Road to Bellavista,Pichincha,1,-0.037009,-78.70338,2313,9,2014
2786425666,Bartramia longicauda,EC,Balcón Tumpiki,Pichincha,1,-0.006943,-78.72075,1963,9,2019
1191926342,Bartramia longicauda,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,10,2014
3202787482,Bartramia longicauda,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,9,2020
1194449131,Bartramia longicauda,EC,Casa Anfitriona,Pichincha,1,-0.155401,-78.472565,2793,11,2014
2801530159,Bartramia longicauda,EC,La Armenia-Bellavista Road (alternate road to Bellavista),Pichincha,1,0.00859,-78.69729,2065,9,2019
1761159397,Bartramia longicauda,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,9,2016
2099279614,Bartramia longicauda,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,9,2017
2620026802,Bartramia longicauda,EC,,Pichincha,1,0.116248,-78.600134,1938,10,2014
3186155681,Bartramia longicauda,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,9,2020
3679603599,Bartramia longicauda,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,10,2021
3186285573,Bartramia longicauda,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,9,2020
971856424,Bartramia longicauda,EC,Calle de las Golondrinas,Pichincha,1,-0.157467,-78.455505,2866,9,2009
274540808,Bartramia longicauda,EC,Bellavista Cloud Forest Lodge,Pichincha,3,-0.015922,-78.681206,2242,9,2006
2766539469,Bartramia longicauda,EC,"Jardines del Batan, Quito",Pichincha,1,-0.17179,-78.46959,2864,9,2019
2764725905,Bartramia longicauda,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,9,2019
