gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2187983416,Buteo brachyurus,EC,Hostería El Carmelo de Mindo,Pichincha,1,-0.058923,-78.779655,1238,8,2018
2087886687,Buteo brachyurus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,8,2017
3681439694,Buteo brachyurus,EC,Reserva San Luis,Pichincha,1,-0.071361,-78.797066,1289,4,2021
2039483613,Buteo brachyurus,EC,Tandayapa--San Jorge Tandayapa,Pichincha,1,0.010117,-78.676544,1656,1,2017
4022121576,Buteo brachyurus,EC,,Pichincha,1,0.12386,-78.630086,1285,1,2023
3253789256,Buteo brachyurus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,1,2020
1165324451,Buteo brachyurus,EC,Mirador Rio Blanco -- San Miguel de Los Bancos,Pichincha,1,0.02228,-78.8909,1096,3,2014
1771406644,Buteo brachyurus,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,10,2016
1762046684,Buteo brachyurus,EC,Ecollacta,Pichincha,1,0.1171,-78.6409,1322,9,2016
977531533,Buteo brachyurus,EC,Recinto 23 de Junio--upper lek site,Pichincha,1,-0.05492,-78.86113,1540,2,2013
3692833584,Buteo brachyurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2021
1173936061,Buteo brachyurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,5,2014
3693032466,Buteo brachyurus,EC,Tandayapa--San Jorge Tandayapa,Pichincha,1,0.010117,-78.676544,1656,7,2021
1760795286,Buteo brachyurus,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,9,2016
3507557160,Buteo brachyurus,EC,Finca El Carmelo,Imbabura,1,0.275052,-78.67555,1426,2,2021
3671155304,Buteo brachyurus,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,11,2021
1763427476,Buteo brachyurus,EC,Ecollacta,Pichincha,1,0.1171,-78.6409,1322,9,2016
3551242873,Buteo brachyurus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,3,2019
3604043765,Buteo brachyurus,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,4,2021
3667532169,Buteo brachyurus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,9,2004
580839949,Buteo brachyurus,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,7,2011
2664307319,Buteo brachyurus,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,11,2016
