gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3388471973,Calliphlox mitchellii,EC,El Septimo Paraiso,,1,-0.028574,-78.762718,1636,3,2020
2052744058,Calliphlox mitchellii,EC,San Jorge de Milpe,Pichincha,2,0.044357,-78.88368,1059,4,2017
1791517470,Calliphlox mitchellii,EC,Tandayapa Bird Lodge,Pichincha,6,0.00235,-78.67743,1742,12,2005
2739660707,Calliphlox mitchellii,EC,Alambi Reserve,Pichincha,4,0.030789,-78.680565,1488,3,2019
2140510007,Calliphlox mitchellii,EC,Mashpi--Lodge and trails,Pichincha,3,0.166125,-78.878876,931,2,2018
2049750969,Calliphlox mitchellii,EC,Bellavista--camino a la estación científica (research station road),Pichincha,2,-0.020999,-78.684425,2338,5,2017
1771066322,Calliphlox mitchellii,EC,Ecollacta,Pichincha,1,0.1171,-78.6409,1322,11,2016
3537386676,Calliphlox mitchellii,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,3,-0.009865,-78.675896,2022,7,2021
2099736269,Calliphlox mitchellii,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,12,2017
2144005083,Calliphlox mitchellii,EC,Reserva las Tangaras,Pichincha,2,-0.077419,-78.76933,1427,3,2018
2738475553,Calliphlox mitchellii,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,2,2019
2703030602,Calliphlox mitchellii,EC,Sachatamia Lodge,Pichincha,4,-0.025148,-78.75798,1719,7,2019
2067765533,Calliphlox mitchellii,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,7,2017
2160911248,Calliphlox mitchellii,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,1,-0.033302,-78.712814,2228,2,2010
2075797058,Calliphlox mitchellii,EC,Bellavista--camino a la estación científica (research station road),Pichincha,2,-0.020999,-78.684425,2338,5,2017
210791901,Calliphlox mitchellii,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2005
3586312402,Calliphlox mitchellii,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,12,2017
1748141568,Calliphlox mitchellii,EC,Reserva las Tangaras,Pichincha,3,-0.077419,-78.76933,1427,5,2016
2183676422,Calliphlox mitchellii,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,1,-0.024804,-78.72448,2126,7,2018
3658236711,Calliphlox mitchellii,EC,San Jorge de Milpe,Pichincha,2,0.044357,-78.88368,1059,12,2021
2066917815,Calliphlox mitchellii,EC,La Armenia-Bellavista Road (alternate road to Bellavista),Pichincha,2,0.00859,-78.69729,2065,3,2017
2083216334,Calliphlox mitchellii,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,9,2017
2634373025,Calliphlox mitchellii,EC,,Pichincha,1,0.026042,-78.63977,1854,2,2016
2447840077,Calliphlox mitchellii,EC,,Pichincha,1,0.029694,-78.680495,1485,9,2019
2576258191,Calliphlox mitchellii,EC,,Pichincha,1,0.029701,-78.680789,1483,1,2020
3307504802,Calliphlox mitchellii,EC,,Pichincha,1,-0.009967,-78.676076,2023,3,2019
2802768404,Calliphlox mitchellii,EC,,Pichincha,1,-0.015966,-78.68103,2237,1,2016
3391348341,Calliphlox mitchellii,EC,,Pichincha,1,0.026081,-78.639664,1856,12,2019
1203825265,Calliphlox mitchellii,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,3,2014
2709989925,Calliphlox mitchellii,EC,Bellavista Cloud Forest Lodge,Pichincha,3,-0.015922,-78.681206,2242,3,2019
2005316710,Calliphlox mitchellii,EC,,Pichincha,1,-0.026765,-78.75937,1716,1,2019
1201380425,Calliphlox mitchellii,EC,Bellavista Cloud Forest Lodge,Pichincha,3,-0.015922,-78.681206,2242,11,2014
2114898901,Calliphlox mitchellii,EC,Restaurante Los Colibríes,Pichincha,1,-0.057893,-78.7778,1235,12,2003
3279861111,Calliphlox mitchellii,EC,Mindo Loma,Pichincha,1,-0.020747,-78.743286,1877,6,2005
2701435930,Calliphlox mitchellii,EC,Tandayapa Bird Lodge,Pichincha,15,0.00235,-78.67743,1742,5,2019
