gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243867632,Campylorhamphus pusillus,EC,"Mashpi Road, Pichincha",,1,0.1612,-78.8492,1366,7,2010
2689191979,Campylorhamphus pusillus,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,11,2010
2214133979,Campylorhamphus pusillus,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,11,2018
2799756520,Campylorhamphus pusillus,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,11,2019
3206715601,Campylorhamphus pusillus,EC,Cuatro Rios (Four Rivers),Pichincha,1,0.071925,-78.982285,778,1,2010
2708540013,Campylorhamphus pusillus,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.195715,-78.872116,766,11,2019
3277059137,Campylorhamphus pusillus,EC,Mashpi--Lodge and trails,Pichincha,2,0.166125,-78.878876,931,9,2019
3611042402,Campylorhamphus pusillus,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,10,2021
2749976015,Campylorhamphus pusillus,EC,"San Jorge De Milpe(0,043, -78,884)",Pichincha,1,0.042698,-78.884094,1078,8,2019
978235647,Campylorhamphus pusillus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,6,2012
2212447131,Campylorhamphus pusillus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,10,2018
1173000194,Campylorhamphus pusillus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2013
3585669699,Campylorhamphus pusillus,EC,"SF Pachijal Ruta CBC am Culunco a Chontilla, pm camin Pachijal",Pichincha,2,0.09645,-78.88752,964,12,2021
1178598124,Campylorhamphus pusillus,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,12,2010
3536897225,Campylorhamphus pusillus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2021
3652862716,Campylorhamphus pusillus,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,11,2007
3628246859,Campylorhamphus pusillus,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,6,2021
2716431261,Campylorhamphus pusillus,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,1,-0.024804,-78.72448,2126,10,2019
2723460176,Campylorhamphus pusillus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,4,2013
1351955537,Campylorhamphus pusillus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2015
