gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1354281658,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2015
2864791552,Campylorhamphus trochilirostris,EC,,Pichincha,1,0.108116,-79.168187,363,8,2020
2228397260,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,12,2018
2083904903,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,7,2017
2677373876,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,4,2019
3182784918,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,7,2020
3226941217,Campylorhamphus trochilirostris,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2020
3296494244,Campylorhamphus trochilirostris,EC,Finca La Floreana,Santo Domingo de los Tsáchilas,1,-0.367045,-79.270454,329,10,2020
3139761990,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,3,2020
3533512656,Campylorhamphus trochilirostris,EC,Rancho El Dorado,Pichincha,1,0.128205,-79.19097,335,9,2021
2094242430,Campylorhamphus trochilirostris,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,11,2017
3632859663,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,4,2021
2043235925,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,2,2017
3138055418,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,1,2020
3673830682,Campylorhamphus trochilirostris,EC,"PACTO, PICHINCHA, EC (0.172, -78.901)",Pichincha,2,0.172188,-78.90093,560,12,2021
2134198655,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,1,2018
3136259964,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,2,2020
1173036910,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2014
3570585602,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2021
3585574903,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,10,2009
978238445,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2012
3547183736,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,12,2021
2147456747,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,4,2018
3533798071,Campylorhamphus trochilirostris,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,5,2021
3577183492,Campylorhamphus trochilirostris,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,10,2021
2689750392,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,7,2019
3521800561,Campylorhamphus trochilirostris,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,5,2021
3217862936,Campylorhamphus trochilirostris,EC,Puerto Quito,Pichincha,1,0.116386,-79.26367,196,1,2020
3248716932,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,5,2020
2707172547,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2019
2676911021,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,4,2019
3584704983,Campylorhamphus trochilirostris,EC,"Finca Choibá, Mashpi",Pichincha,2,0.170965,-78.899445,552,12,2021
2749561701,Campylorhamphus trochilirostris,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,4,2019
2798455174,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,6,2019
1748324699,Campylorhamphus trochilirostris,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,6,2016
2149466160,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2018
2773955693,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,8,2019
2231446079,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,12,2018
3643084781,Campylorhamphus trochilirostris,EC,"Unnamed Road, Pichincha, EC (0.212, -78.911)",Pichincha,1,0.212296,-78.910614,531,2,2021
3227904871,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,2,2020
3657277236,Campylorhamphus trochilirostris,EC,Ruta San Bernabé - Hostería Valle Dorado,Pichincha,2,-0.030001,-79.085594,596,5,2021
2070905672,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,5,2017
3572191282,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2021
2099323180,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,10,2017
2793411445,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,10,2019
2738197467,Campylorhamphus trochilirostris,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,3,2019
3209153485,Campylorhamphus trochilirostris,EC,"Vía El Placer, San Antonio del Toachi",Santo Domingo de los Tsáchilas,1,-0.229103,-79.132286,573,10,2020
2715664987,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2019
262785371,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2010
823584334,Campylorhamphus trochilirostris,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,11,2012
3208981953,Campylorhamphus trochilirostris,EC,Cabuyal,Pichincha,1,0.146768,-79.272095,136,10,2020
3279120076,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,10,2020
3156418253,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,4,2020
3556964195,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,8,2021
2659281267,Campylorhamphus trochilirostris,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,2,2019
2701103524,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2019
2785382934,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,11,2019
1187652301,Campylorhamphus trochilirostris,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,8,2014
2789393468,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,6,2016
2720480537,Campylorhamphus trochilirostris,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,11,2019
3261108786,Campylorhamphus trochilirostris,EC,Finca La Floreana,Santo Domingo de los Tsáchilas,1,-0.367045,-79.270454,329,10,2020
1786582770,Campylorhamphus trochilirostris,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,1,2012
1407933085,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2013
2700381531,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2019
2147902504,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,4,2018
1410506575,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2007
3219766342,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,1,2020
3614195058,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,1,2021
2107987607,Campylorhamphus trochilirostris,EC,"Nueva Esperanza, Propiedad Francisco",Pichincha,1,0.09182,-79.27709,300,10,2017
944418873,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2013
2215355614,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,12,2018
2781395588,Campylorhamphus trochilirostris,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,9,2019
3683954975,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,6,2021
2209290398,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,10,2018
3205943121,Campylorhamphus trochilirostris,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,2,-0.299136,-79.0526,732,10,2020
2192309638,Campylorhamphus trochilirostris,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,8,2018
3690740771,Campylorhamphus trochilirostris,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,11,2010
2713955285,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,12,2019
2224251544,Campylorhamphus trochilirostris,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,1,-0.299136,-79.0526,732,11,2015
2722756290,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,12,2019
2661908945,Campylorhamphus trochilirostris,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,3,2019
3185239216,Campylorhamphus trochilirostris,EC,Finca La Floreana,Santo Domingo de los Tsáchilas,1,-0.367045,-79.270454,329,10,2020
1410618673,Campylorhamphus trochilirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2014
3296645087,Campylorhamphus trochilirostris,EC,Finca Sisantu,Santo Domingo de los Tsáchilas,1,-0.171484,-79.34578,304,11,2020
3214474035,Campylorhamphus trochilirostris,EC,Sisantu,Santo Domingo de los Tsáchilas,1,-0.171642,-79.34585,307,11,2020
2696848861,Campylorhamphus trochilirostris,EC,Puerto Quito,Pichincha,1,0.116386,-79.26367,196,7,2014
