gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3039214302,Catharus ustulatus,EC,,Pichincha,1,0.029816,-78.682234,1562,1,2021
2243572084,Catharus ustulatus,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,11,2005
2432403861,Catharus ustulatus,EC,"Jardin Botanico, Quito",,1,-0.1865,-78.4849,2773,11,2014
2243872056,Catharus ustulatus,EC,"Tandayapa Bird Lodge, Tandayapa Valley, Pichincha",,1,0.01,-78.6776,1702,11,2000
2243590261,Catharus ustulatus,EC,"Reserva Las Tangaras, Mindo, Pichincha",,1,-0.081,-78.7679,1349,12,2013
2832362428,Catharus ustulatus,EC,Ecuador - Quito,,3,-0.186754,-78.485862,2776,2,2013
1355402151,Catharus ustulatus,EC,Séptimo Paraiso,Pichincha,8,-0.030813,-78.764465,1564,3,2015
3671151261,Catharus ustulatus,EC,Shino Pi Bolon,Santo Domingo de los Tsáchilas,1,-0.148824,-79.32468,326,1,2021
3588165493,Catharus ustulatus,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,3,-0.299136,-79.0526,732,2,2021
2725451630,Catharus ustulatus,EC,"Unnamed Road, Pichincha, EC (-0.054, -78.778)",Pichincha,2,-0.053837,-78.77796,1241,11,2019
3152680902,Catharus ustulatus,EC,Reserva Amagusa,Pichincha,4,0.1598,-78.8534,1302,1,2020
2661917359,Catharus ustulatus,EC,Reserva Sacha Urco,Pichincha,3,-0.020336,-78.81066,1071,3,2019
3651136206,Catharus ustulatus,EC,Mirador de Guaycapi,Pichincha,1,0.031714,-78.68125,1494,1,2021
2764508685,Catharus ustulatus,EC,Milpe Bird Sanctuary,Pichincha,3,0.033327,-78.868454,1110,3,2014
2687393671,Catharus ustulatus,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,2,-0.186515,-78.48579,2776,12,2015
2115084828,Catharus ustulatus,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,2,2011
2799982287,Catharus ustulatus,EC,San Tadeo Birdwatching (Feeders),Pichincha,1,-0.029472,-78.751816,1731,12,2019
2233018573,Catharus ustulatus,EC,San Tadeo Birdwatching (Feeders),Pichincha,2,-0.029472,-78.751816,1731,12,2018
1774486234,Catharus ustulatus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,10,-0.049224,-78.776825,1268,11,2016
1793035450,Catharus ustulatus,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,3,-0.186515,-78.48579,2776,10,2015
2116453395,Catharus ustulatus,EC,San Tadeo Birdwatching (Feeders),Pichincha,2,-0.029472,-78.751816,1731,2,2018
3221882238,Catharus ustulatus,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,3,2020
2012977734,Catharus ustulatus,EC,,Pichincha,1,-0.064346,-78.773672,1364,2,2019
1990613491,Catharus ustulatus,EC,,Pichincha,1,0.003007,-78.678556,1776,1,2019
2111922233,Catharus ustulatus,EC,Mindo--Casa Divina Lodge,Pichincha,2,-0.06509,-78.76884,1285,12,2017
582700179,Catharus ustulatus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,3,0.019655,-78.70693,1906,12,2011
