gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2066864843,Celeus loricatus,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,7,2017
3650802907,Celeus loricatus,EC,"PACTO, PICHINCHA, EC (0.172, -78.901)",Pichincha,1,0.172188,-78.90093,560,12,2021
2135830375,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2018
3134549362,Celeus loricatus,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,2,2020
1173933174,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,5,2014
1353550242,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2015
1165329144,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,3,2014
2724589466,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,12,2019
2708914100,Celeus loricatus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,11,2019
3565671620,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2021
2124381495,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,4,0.117101,-79.13609,393,1,2018
1789458689,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2011
2750097739,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,7,2019
2684804569,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,5,2019
3134382448,Celeus loricatus,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,2,2020
1173291001,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2013
3136492553,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2020
3286954255,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2020
2710244652,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,8,2019
1754897826,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,7,2016
1190332755,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2013
2800057618,Celeus loricatus,EC,Ruta Cascada Caimán Puerto Quito,Pichincha,1,0.063082,-79.14479,446,12,2019
2688500908,Celeus loricatus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,7,2019
2110803295,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2017
960792696,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2011
3203250280,Celeus loricatus,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,1,2014
3618180122,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2021
582500827,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2011
2203281975,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,8,2018
2697677613,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2019
3546722007,Celeus loricatus,EC,"Torre cb 0.14456, -79.14209",Pichincha,2,0.144558,-79.14209,410,9,2021
3570785407,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2021
1400734682,Celeus loricatus,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,5,2006
2679563973,Celeus loricatus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,4,2019
2066824298,Celeus loricatus,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,7,2017
2707078467,Celeus loricatus,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,7,2009
3622176679,Celeus loricatus,EC,Recinto El Dorado,Santo Domingo de los Tsáchilas,2,-0.21314,-78.950935,739,10,2021
1198252378,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2014
2702421558,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2019
3579558357,Celeus loricatus,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,10,2021
2790722659,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2016
580573690,Celeus loricatus,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,11,2010
2228482233,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,9,2018
2110926436,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,2,2018
1792222744,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,9,2011
2800175747,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,12,2019
2706258123,Celeus loricatus,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,7,2019
2189585788,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2018
3514367187,Celeus loricatus,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.195715,-78.872116,766,4,2021
2758557157,Celeus loricatus,EC,EC--Rio Silanche Reserve,Pichincha,1,0.144925,-79.141304,408,6,2019
2189985633,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2018
255856973,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2009
3219631720,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,2,2020
1778833840,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2014
2208888841,Celeus loricatus,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,10,2018
2105393973,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2017
2157813556,Celeus loricatus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,5,2018
2753186577,Celeus loricatus,EC,Represa Hidroeléctrica Manduriaco,Imbabura,1,0.215743,-78.90205,482,10,2019
2124228857,Celeus loricatus,EC,Represa Hidroeléctrica Manduriacu,Imbabura,7,0.215744,-78.90205,482,1,2018
1729225227,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,4,2016
3504996558,Celeus loricatus,EC,Comunidad Pachijal ruta del Río hacia arriba ( Pachijal ),Pichincha,2,0.147373,-78.93338,546,1,2021
3541258974,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2021
2703153119,Celeus loricatus,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,9,2019
1208139526,Celeus loricatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2014
