gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1352758356,Cephalopterus penduliger,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,2,2015
1173149600,Cephalopterus penduliger,EC,Recinto 23 de Junio,Pichincha,2,-0.03193,-78.87659,1117,1,2013
2839343122,Cephalopterus penduliger,EC,Ecuador - Pichincha,,5,0.05862,-78.814031,1448,1,2016
3222577316,Cephalopterus penduliger,EC,"Via 23 de Junio, San Miguel de Los Bancos EC-Province de Pichincha (-0,0326,-78,8779)",Pichincha,4,-0.032641,-78.8779,1106,2,2020
3643439421,Cephalopterus penduliger,EC,"Auto selected -0.06274, -78.87783",Pichincha,5,-0.062739,-78.87782,1343,11,2021
255838058,Cephalopterus penduliger,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,10,2009
3161728098,Cephalopterus penduliger,EC,Recinto 23 de Junio,Pichincha,1,-0.03193,-78.87659,1117,11,2013
2206677424,Cephalopterus penduliger,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,3,2013
2031019633,Cephalopterus penduliger,EC,Recinto 23 de Junio--upper lek site,Pichincha,5,-0.05492,-78.86113,1540,1,2017
2693620477,Cephalopterus penduliger,EC,Recinto 23 de Junio--upper lek site,Pichincha,6,-0.05492,-78.86113,1540,5,2019
3225217596,Cephalopterus penduliger,EC,Recinto 23 de Junio,Pichincha,4,-0.03193,-78.87659,1117,2,2020
1180208425,Cephalopterus penduliger,EC,Recinto 23 de Junio--upper lek site,Pichincha,4,-0.05492,-78.86113,1540,7,2014
2750555973,Cephalopterus penduliger,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,5,2019
178841719,Cephalopterus penduliger,EC,Reserva Mangaloma,Pichincha,2,0.122652,-78.99485,843,8,2006
3540888122,Cephalopterus penduliger,EC,Ecuador - Mangaloma Reserve,Pichincha,1,0.108164,-78.98548,741,8,2021
2731491576,Cephalopterus penduliger,EC,Mindo Lindo,Pichincha,1,-0.024389,-78.76986,1647,3,2019
961948564,Cephalopterus penduliger,EC,Recinto 23 de Junio,Pichincha,4,-0.03193,-78.87659,1117,8,2013
2668705609,Cephalopterus penduliger,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,3,0.05295,-78.84311,1177,8,2015
3230843641,Cephalopterus penduliger,EC,Recinto El Dorado,Santo Domingo de los Tsáchilas,3,-0.315077,-78.95492,841,5,2020
2125116488,Cephalopterus penduliger,EC,Mashpi--Lodge and trails,Pichincha,3,0.166125,-78.878876,931,12,2017
3650081287,Cephalopterus penduliger,EC,"Auto selected -0.06498, -78.87775",Pichincha,6,-0.064976,-78.87775,1358,10,2021
3660473068,Cephalopterus penduliger,EC,Recinto 23 de Junio--upper lek site,Pichincha,14,-0.05492,-78.86113,1540,8,2021
1399106927,Cephalopterus penduliger,EC,Recinto 23 de Junio,Pichincha,7,-0.03193,-78.87659,1117,11,2015
2772512350,Cephalopterus penduliger,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,9,2019
3690853051,Cephalopterus penduliger,EC,Recinto 23 de Junio--upper lek site,Pichincha,1,-0.05492,-78.86113,1540,11,2021
2794722534,Cephalopterus penduliger,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,5,0.05295,-78.84311,1177,12,2015
