gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3076293701,Cercomacra tyrannina,EC,"Pichincha: Reserva Natural Kapari, San Miguel de los Bancos",,1,0.0012,-78.9391,942,4,2021
2243563185,Cercomacra tyrannina,EC,"Milpe, Pichincha",,1,0.0287,-78.8628,1146,4,2011
3111497452,Cercomacra tyrannina,EC,"Pichincha: Reserva Natural Kapari, San Miguel de los Bancos",,1,0.0012,-78.9391,942,4,2021
3015580394,Cercomacra tyrannina,EC,"Pacto (near Chaguaraco), Distrito Metropolitano de Quito, Pichincha",,1,0.2012,-78.7588,1162,12,2020
178843807,Cercomacra tyrannina,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2007
1722919699,Cercomacra tyrannina,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,1,2016
2793175032,Cercomacra tyrannina,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,2,2009
937480026,Cercomacra tyrannina,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,2,2008
1206190107,Cercomacra tyrannina,EC,Reserva Mangaloma,Pichincha,2,0.122652,-78.99485,843,11,2007
579798260,Cercomacra tyrannina,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2006
2668280991,Cercomacra tyrannina,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,1,2019
1400754085,Cercomacra tyrannina,EC,Reserva Mangaloma,Pichincha,2,0.122652,-78.99485,843,5,2006
2718005821,Cercomacra tyrannina,EC,Mashpi--general area,Pichincha,2,0.16546,-78.84751,1293,7,2013
2688453168,Cercomacra tyrannina,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,7,2019
1347699502,Cercomacra tyrannina,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,1,2015
3159484403,Cercomacra tyrannina,EC,"Rio Sardinas, 3-5km bellow",Pichincha,2,0.190409,-78.86343,880,4,2020
1355380114,Cercomacra tyrannina,EC,Rio Silanche Reserve--Parking Lot and Rd .1448 X -79.1412,Pichincha,1,0.14481,-79.14123,410,3,2015
944814079,Cercomacra tyrannina,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,8,2003
1794738897,Cercomacra tyrannina,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2007
2688531667,Cercomacra tyrannina,EC,San Jorge de Milpe,Pichincha,2,0.044357,-78.88368,1059,7,2019
