gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2167880111,Chaetura spinicaudus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,10,2014
3650700012,Chaetura spinicaudus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,9,2021
1788315586,Chaetura spinicaudus,EC,Milpe Road,Pichincha,8,0.051764,-78.90251,1013,3,2008
1348394973,Chaetura spinicaudus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2015
2229772040,Chaetura spinicaudus,EC,Rio Silanche Bird Sanctuary,Pichincha,8,0.145185,-79.14147,402,12,2018
1187790672,Chaetura spinicaudus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,4,0.019655,-78.70693,1906,9,2014
1399797003,Chaetura spinicaudus,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,11,2015
2191340679,Chaetura spinicaudus,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,7,2018
584348832,Chaetura spinicaudus,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,12,2010
3196381007,Chaetura spinicaudus,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,12,2020
1773707699,Chaetura spinicaudus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2016
2089083549,Chaetura spinicaudus,EC,Recinto 23 de Junio,Pichincha,2,-0.03193,-78.87659,1117,9,2017
1193606773,Chaetura spinicaudus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,10,2014
972806264,Chaetura spinicaudus,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,8,2008
2064733695,Chaetura spinicaudus,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,5,2017
3637784401,Chaetura spinicaudus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,3,2021
2227360591,Chaetura spinicaudus,EC,EC-Pichincha-Rio Silanche Reserve,Pichincha,1,0.144958,-79.14181,406,11,2018
1711505547,Chaetura spinicaudus,EC,San Jorge de Milpe,Pichincha,5,0.044357,-78.88368,1059,1,2016
3629382149,Chaetura spinicaudus,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.195715,-78.872116,766,8,2021
2065164876,Chaetura spinicaudus,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,5,2017
2084540768,Chaetura spinicaudus,EC,Rio Silanche--entrance road,Pichincha,6,0.108158,-79.13607,400,7,2017
2043393680,Chaetura spinicaudus,EC,San Jorge de Milpe,Pichincha,5,0.044357,-78.88368,1059,2,2017
2785569598,Chaetura spinicaudus,EC,Rio Silanche--general area,Pichincha,5,0.117101,-79.13609,393,11,2019
3240469857,Chaetura spinicaudus,EC,"Pacto, Pichincha, EC (0.085, -78.901)",Pichincha,2,0.084977,-78.901276,940,6,2020
2052671237,Chaetura spinicaudus,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,5,2017
2226932270,Chaetura spinicaudus,EC,Road to Milpe,Pichincha,1,0.007323,-78.82627,1333,7,2008
1777530263,Chaetura spinicaudus,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,4,-0.051046,-78.7784,1259,6,2015
