gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
4034703997,Chlorophanes spiza,EC,,Pichincha,1,-0.054506,-78.773597,1259,1,2023
2634385181,Chlorophanes spiza,EC,,Pichincha,1,0.182477,-78.912301,514,1,2017
2724861128,Chlorophanes spiza,EC,San Jorge de Milpe,Pichincha,3,0.044357,-78.88368,1059,11,2019
258803346,Chlorophanes spiza,EC,Milpe Road,Pichincha,1,0.051764,-78.90251,1013,9,2007
3167366858,Chlorophanes spiza,EC,"Vía 140 La Isla, Pichincha, EC (0,119, -79,234)",Pichincha,1,0.118908,-79.23436,111,7,2020
2125256198,Chlorophanes spiza,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2018
2754025455,Chlorophanes spiza,EC,Milpe Bird Sanctuary,Pichincha,3,0.033327,-78.868454,1110,8,2019
1788871517,Chlorophanes spiza,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,7,2009
3604379520,Chlorophanes spiza,EC,Rio Silanche--general area,Pichincha,3,0.117101,-79.13609,393,3,2019
2687094982,Chlorophanes spiza,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,6,2019
3144411570,Chlorophanes spiza,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,2,2020
2681036841,Chlorophanes spiza,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,6,2019
1784830756,Chlorophanes spiza,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,4,2012
2676031063,Chlorophanes spiza,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,5,2019
2160389793,Chlorophanes spiza,EC,Milpe Bird Sanctuary,Pichincha,4,0.033327,-78.868454,1110,4,2006
1348413582,Chlorophanes spiza,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,1,2015
2225661126,Chlorophanes spiza,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2018
2772988026,Chlorophanes spiza,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,7,2019
2187679760,Chlorophanes spiza,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,6,2018
2766246338,Chlorophanes spiza,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2018
3643268702,Chlorophanes spiza,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,9,2021
2726879228,Chlorophanes spiza,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,10,2015
2883018569,Chlorophanes spiza,EC,,Pichincha,1,0.025173,-78.892044,1074,11,2018
3985807817,Chlorophanes spiza,EC,,Pichincha,1,0.030354,-78.866461,1155,11,2022
1791532016,Chlorophanes spiza,EC,Tandayapa--pueblo y valle inferior (town and lower valley),Pichincha,1,0.015986,-78.67585,1612,12,2005
3557912409,Chlorophanes spiza,EC,Milpe Road,Pichincha,2,0.051764,-78.90251,1013,12,2021
2082998972,Chlorophanes spiza,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2017
2397556584,Chlorophanes spiza,EC,,Pichincha,1,0.030517,-78.866455,1154,8,2019
960091077,Chlorophanes spiza,EC,Rio Silanche--general area,Pichincha,3,0.117101,-79.13609,393,7,2013
