gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243609782,Chlorornis riefferii,EC,"Bellavista-Mindo road, Pichincha",,1,-0.0431,-78.7376,1866,7,2014
2243621630,Chlorornis riefferii,EC,"Bellavista, Tandayapa",,1,-0.0181,-78.6834,2353,4,2008
2184451967,Chlorornis riefferii,EC,Bellavista Cloud Forest Lodge,Pichincha,3,-0.015922,-78.681206,2242,7,2018
2146899040,Chlorornis riefferii,EC,Sendero Siempre verde-Siempre vida,Imbabura,1,0.342548,-78.420044,2925,5,2018
1190964267,Chlorornis riefferii,EC,Campanario Transecto control P02,Pichincha,1,-0.03314,-78.66414,2541,9,2004
2573811996,Chlorornis riefferii,EC,,Pichincha,1,0.007994,-78.679458,1775,3,2012
2078043261,Chlorornis riefferii,EC,Bellavista Cloud Forest Lodge,Pichincha,2,-0.015922,-78.681206,2242,6,2017
1190953299,Chlorornis riefferii,EC,Guarumos Transecto impacto P07,Pichincha,2,-0.04864,-78.64856,2580,5,2003
1190938310,Chlorornis riefferii,EC,Guarumos Transecto impacto P09,Pichincha,2,-0.04892,-78.65133,2622,4,2007
2736999378,Chlorornis riefferii,EC,Bellavista--camino a la estación científica (research station road),Pichincha,3,-0.020999,-78.684425,2338,2,2019
1182252671,Chlorornis riefferii,EC,La Armenia-Bellavista Road (alternate road to Bellavista),Pichincha,1,0.00859,-78.69729,2065,6,2007
3280277468,Chlorornis riefferii,EC,Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.00206,-78.68189,2048,2,2007
2730413689,Chlorornis riefferii,EC,Bellavista Cloud Forest Lodge,Pichincha,3,-0.015922,-78.681206,2242,3,2019
2071378920,Chlorornis riefferii,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,7,2017
3543915715,Chlorornis riefferii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,12,2021
1190710145,Chlorornis riefferii,EC,Guarumos Transecto impacto P09,Pichincha,2,-0.04892,-78.65133,2622,5,2005
3217757580,Chlorornis riefferii,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,1,2020
1374717469,Chlorornis riefferii,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,5,2015
1190794652,Chlorornis riefferii,EC,"San Luis Transecto impacto, Punto 5",Pichincha,1,-0.018,-78.688,2325,5,2004
1756651849,Chlorornis riefferii,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,6,2008
3586329557,Chlorornis riefferii,EC,Nono-Mindo Road near San Tadeo,Pichincha,1,-0.024868,-78.74329,1913,11,2021
1190810133,Chlorornis riefferii,EC,Campanario Transecto control P01,Pichincha,1,-0.03425,-78.66342,2546,9,2003
2677327129,Chlorornis riefferii,EC,Bellavista--camino a la estación científica (research station road),Pichincha,2,-0.020999,-78.684425,2338,3,2019
1190960449,Chlorornis riefferii,EC,Campanario Transecto control P05,Pichincha,1,-0.03014,-78.66375,2491,9,2005
2780453480,Chlorornis riefferii,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,8,2006
2664733910,Chlorornis riefferii,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,5,-0.033302,-78.712814,2228,3,2018
1190808318,Chlorornis riefferii,EC,Campanario Transecto control P02,Pichincha,1,-0.03314,-78.66414,2541,10,2007
2052965582,Chlorornis riefferii,EC,Road to Bellavista hasta la T,Pichincha,2,-0.017703,-78.684265,2362,3,2017
1406511506,Chlorornis riefferii,EC,Mindo--Vía al Cinto,Pichincha,1,-0.061568,-78.791115,1207,11,2014
257090304,Chlorornis riefferii,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,2,2007
