gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243664095,Chlorospingus flavigularis,EC,"Pichincha: ridge between Río Mindo and Río Nambillo, 3 km SE Mindo",,1,-0.0834,-78.761,1622,2,2009
2243663422,Chlorospingus flavigularis,EC,"Pichincha: ridge between Río Mindo and Río Nambillo, 3 km SE Mindo",,1,-0.0834,-78.761,1622,2,2009
2698990024,Chlorospingus flavigularis,EC,Mindo--Casa Divina Lodge,Pichincha,2,-0.06509,-78.76884,1285,9,2019
3694706046,Chlorospingus flavigularis,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,5,-0.062765,-78.77427,1344,12,2019
2796288723,Chlorospingus flavigularis,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,8,2019
3565740379,Chlorospingus flavigularis,EC,Mashpi Road,Pichincha,1,0.15703,-78.83025,1497,8,2021
3588061177,Chlorospingus flavigularis,EC,Milpe Road,Pichincha,4,0.051764,-78.90251,1013,1,2021
3661795570,Chlorospingus flavigularis,EC,Reserva Amagusa,Pichincha,3,0.1598,-78.8534,1302,12,2021
2800166399,Chlorospingus flavigularis,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,1,-0.050725,-78.772385,1274,10,2015
1776654450,Chlorospingus flavigularis,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,2,-0.049224,-78.776825,1268,12,2016
1375145670,Chlorospingus flavigularis,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,4,-0.062765,-78.77427,1344,6,2015
2176738358,Chlorospingus flavigularis,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,1,-0.050725,-78.772385,1274,5,2018
1410489457,Chlorospingus flavigularis,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,3,2007
2185768531,Chlorospingus flavigularis,EC,San Miguel de Los Bancos--vicinity,Pichincha,1,0.02274,-78.89481,1078,3,2018
3221645761,Chlorospingus flavigularis,EC,Reserva las Tangaras,Pichincha,4,-0.077419,-78.76933,1427,2,2020
1714858758,Chlorospingus flavigularis,EC,Séptimo Paraiso,Pichincha,6,-0.030813,-78.764465,1564,2,2016
3540180319,Chlorospingus flavigularis,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,5,2021
1151225861,Chlorospingus flavigularis,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,1,2014
1753238448,Chlorospingus flavigularis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,4,0.019655,-78.70693,1906,7,2016
3548730603,Chlorospingus flavigularis,EC,Mindo Loma,Pichincha,2,-0.020747,-78.743286,1877,6,2021
2767716832,Chlorospingus flavigularis,EC,Milpe Bird Sanctuary,Pichincha,6,0.033327,-78.868454,1110,3,2019
2728443118,Chlorospingus flavigularis,EC,Séptimo Paraiso,Pichincha,6,-0.030813,-78.764465,1564,2,2019
3298781728,Chlorospingus flavigularis,EC,Reserva San Luis,Pichincha,5,-0.071361,-78.797066,1289,7,2020
1205785738,Chlorospingus flavigularis,EC,Milpe Road,Pichincha,1,0.051764,-78.90251,1013,7,2010
3262471217,Chlorospingus flavigularis,EC,Recinto 23 de Junio,Pichincha,2,-0.03193,-78.87659,1117,2,2020
3567142538,Chlorospingus flavigularis,EC,Milpe Road,Pichincha,2,0.033898,-78.87003,1128,6,2021
3569108152,Chlorospingus flavigularis,EC,Choco Toucan Reserve,Pichincha,1,0.038,-78.872,1114,5,2021
2100029024,Chlorospingus flavigularis,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,9,2017
3586012390,Chlorospingus flavigularis,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2012
2670337442,Chlorospingus flavigularis,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,3,-0.033302,-78.712814,2228,3,2019
3595734299,Chlorospingus flavigularis,EC,"Vía a Las Cascadas, Pichincha, EC (-0.069, -78.772)",Pichincha,2,-0.068654,-78.772064,1400,1,2021
1744430973,Chlorospingus flavigularis,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,4,-0.062765,-78.77427,1344,6,2016
