gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3760402169,Chroicocephalus serranus,EC,,Pichincha,1,-0.109766,-78.363765,2340,4,2022
2999057819,Chroicocephalus serranus,EC,,Pichincha,1,-0.279271,-78.251227,3543,12,2020
2684981075,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,7,2019
4015016950,Chroicocephalus serranus,EC,,Pichincha,1,-0.196522,-78.428868,2354,12,2022
2691867542,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,7,2019
2213171885,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,8,-0.109842,-78.36495,2341,11,2017
3691216730,Chroicocephalus serranus,EC,"Quito-Papallacta, Mulauco, Pichincha, EC (-0,26, -78,295)",Pichincha,1,-0.260463,-78.29537,3043,8,2021
2786062080,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,7,2019
2719361059,Chroicocephalus serranus,EC,Otavalo--general area,Imbabura,2,0.234403,-78.25862,2529,12,2016
2752873582,Chroicocephalus serranus,EC,"(-0.2697,-78.2557)",Pichincha,2,-0.269658,-78.25573,3468,2,2019
3667772062,Chroicocephalus serranus,EC,Quito--Reservorio de Cumbayá,Pichincha,5,-0.193,-78.426834,2354,10,2021
2674599366,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,2,2019
3169023981,Chroicocephalus serranus,EC,Reservorio Guangopolo,Pichincha,2,-0.269851,-78.45281,2439,7,2020
2091243119,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,9,2017
1722645814,Chroicocephalus serranus,EC,Hacienda San Jose--vicinity,Pichincha,3,-0.268477,-78.27128,3309,3,2016
1348682039,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,2,2015
3577870651,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2021
2201696665,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,9,2018
585522783,Chroicocephalus serranus,EC,Hacienda San Jose--vicinity,Pichincha,3,-0.268477,-78.27128,3309,4,2011
1778957103,Chroicocephalus serranus,EC,Otavalo--general area,Imbabura,1,0.234403,-78.25862,2529,7,2011
2045223097,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,2,2017
2697868549,Chroicocephalus serranus,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,6,0.199889,-78.2337,2660,9,2019
2183794651,Chroicocephalus serranus,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,11,2017
2770155143,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,7,2019
1203703892,Chroicocephalus serranus,EC,Quito--general area (*Please consider using a more specific hotspot or personal location when possible.),Pichincha,7,-0.2238,-78.5133,2814,7,2014
2053550947,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,3,2017
3660110116,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2021
3663235299,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2021
2102252622,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,11,2017
3248438786,Chroicocephalus serranus,EC,San Jose del Tablon,Pichincha,1,-0.28286,-78.290764,3399,9,2010
1385000080,Chroicocephalus serranus,EC,Lago San Pablo,Imbabura,40,0.20874,-78.23227,2657,9,2015
2719497538,Chroicocephalus serranus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,6,0.019655,-78.70693,1906,3,2012
953849842,Chroicocephalus serranus,EC,PIfo--gas station,Pichincha,4,-0.220466,-78.35273,2550,8,2003
3578278883,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,9,2021
2104517059,Chroicocephalus serranus,EC,"(-0.2679,-78.2831)",Pichincha,6,-0.267859,-78.28313,3160,11,2017
2038276678,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,3,2017
3583264805,Chroicocephalus serranus,EC,Lago San Pablo,Imbabura,18,0.20874,-78.23227,2657,9,2021
2084868303,Chroicocephalus serranus,EC,Hotel San José Aeropuerto,Pichincha,1,-0.189592,-78.35297,2474,8,2017
2201202730,Chroicocephalus serranus,EC,"E20 Hwy (-0.2696,-78.2560)",Pichincha,1,-0.269584,-78.25597,3464,11,2018
3692495069,Chroicocephalus serranus,EC,Quito--Reservorio de Cumbayá,Pichincha,5,-0.193,-78.426834,2354,10,2021
2687484570,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,7,2019
1383919359,Chroicocephalus serranus,EC,"-0.2686x-78.2605 - Aug 6, 2015, 8:37 AM",Pichincha,3,-0.268601,-78.2605,3403,8,2015
2215883006,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,8,-0.109842,-78.36495,2341,11,2017
1190705032,Chroicocephalus serranus,EC,Lago San Pablo,Imbabura,17,0.20874,-78.23227,2657,2,2005
3241423740,Chroicocephalus serranus,EC,Colibrí Garden,Pichincha,3,-0.271118,-78.30196,3176,5,2020
3630476612,Chroicocephalus serranus,EC,"Carretera Transversal Norte, Quito EC-Pichincha -0.26905, -78.27516",Pichincha,2,-0.269049,-78.27516,3272,7,2021
1389823407,Chroicocephalus serranus,EC,Granja Agroecológica San Isidro-Píntag,Pichincha,1,-0.358676,-78.37021,2808,9,2015
2701913363,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,3,-0.109842,-78.36495,2341,6,2017
2104438992,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2017
1353824111,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,3,2015
825140082,Chroicocephalus serranus,EC,Otavalo--general area,Imbabura,1,0.234403,-78.25862,2529,2,2003
2168271191,Chroicocephalus serranus,EC,"Lake/reservoir, on E28 west of N end of Mariscal Sucre Airport",Pichincha,3,-0.104799,-78.37604,2252,6,2018
1183223344,Chroicocephalus serranus,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,8,2014
2216582264,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2018
2664042971,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,15,-0.109842,-78.36495,2341,1,2019
3663729569,Chroicocephalus serranus,EC,"Auto selected 0.14322, -78.05317",Pichincha,20,0.143225,-78.05317,3160,2,2021
3654227170,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,11,2021
3546137524,Chroicocephalus serranus,EC,"Mariana de Jesus, Pedro Moncayo EC-Pichincha (0.0694,-78.1603)",Pichincha,15,0.069411,-78.160286,2784,10,2021
1190870628,Chroicocephalus serranus,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,2,2008
2146774003,Chroicocephalus serranus,EC,"(-0.404, -78.369)",Pichincha,15,-0.40429,-78.368805,3042,4,2018
3586960648,Chroicocephalus serranus,EC,Tumbaco,Pichincha,1,-0.21124,-78.394165,2354,11,2017
1195955011,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,11,2014
825100602,Chroicocephalus serranus,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,9,2002
1783034565,Chroicocephalus serranus,EC,Areas between Quito and Yanacocha,Pichincha,1,-0.102763,-78.54394,3358,9,2011
3678484458,Chroicocephalus serranus,EC,Reservorio Guangopolo,Pichincha,6,-0.269851,-78.45281,2439,7,2021
1359329463,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,2,2015
3692672015,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,11,2021
3166104589,Chroicocephalus serranus,EC,Reservorio Guangopolo,Pichincha,2,-0.269851,-78.45281,2439,7,2020
3670167535,Chroicocephalus serranus,EC,Reservorio Guangopolo,Pichincha,1,-0.269851,-78.45281,2439,12,2021
2141370074,Chroicocephalus serranus,EC,"lago san pablo Road, Eugenio Espejo, Provincia de Imbabura, EC (0.216, -78.237)",Imbabura,2,0.215564,-78.237366,2659,2,2018
2713289526,Chroicocephalus serranus,EC,Calacalí--Sendero de la Virgen (Trail from shrine),Pichincha,1,0.004016,-78.488235,2852,9,2017
1186073201,Chroicocephalus serranus,EC,Hacienda San Jose--vicinity,Pichincha,3,-0.268477,-78.27128,3309,9,2012
3666270444,Chroicocephalus serranus,EC,Reservorio Guangopolo,Pichincha,3,-0.269851,-78.45281,2439,10,2021
3244578272,Chroicocephalus serranus,EC,Colibrí Garden (Familia Umaquinga),Pichincha,4,-0.285834,-78.2923,3372,7,2020
3579627938,Chroicocephalus serranus,EC,Quito--Reservorio de Cumbayá,Pichincha,7,-0.193,-78.426834,2354,11,2021
3269769683,Chroicocephalus serranus,EC,Quito airport pond,Pichincha,4,-0.109842,-78.36495,2341,9,2016
2736649070,Chroicocephalus serranus,EC,"Palugo - (-0,267, -78,282)",Pichincha,2,-0.26749,-78.282196,3176,1,2019
2766429598,Chroicocephalus serranus,EC,Hacienda San Jose--vicinity,Pichincha,5,-0.268477,-78.27128,3309,7,2019
967006899,Chroicocephalus serranus,EC,Hacienda San Jose--vicinity,Pichincha,3,-0.268477,-78.27128,3309,9,2012
