gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243867735,Cinclus leucocephalus,EC,"Nono-Mindo Road, Pichincha",,1,-0.0281,-78.6901,2291,7,2010
2728424449,Cinclus leucocephalus,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,1,-0.024804,-78.72448,2126,2,2019
3246456140,Cinclus leucocephalus,EC,Alambi Reserve,Pichincha,2,0.030789,-78.680565,1488,3,2020
2110343702,Cinclus leucocephalus,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,2,-0.068914,-78.588905,2712,2,2018
2083684315,Cinclus leucocephalus,EC,Mashpi--general area,Pichincha,2,0.16546,-78.84751,1293,7,2017
2180603128,Cinclus leucocephalus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,6,2018
2423145656,Cinclus leucocephalus,EC,,Pichincha,1,0.123755,-78.629907,1282,6,2016
2114961663,Cinclus leucocephalus,EC,Lower Chiriboga Road,Santo Domingo de los Tsáchilas,2,-0.310611,-78.907005,1166,3,2005
1388411795,Cinclus leucocephalus,EC,Macquipucana,Pichincha,1,0.053172,-78.68131,1509,8,2007
2731056537,Cinclus leucocephalus,EC,"Ecuador - Via a Cinto, SN Miguel Bancos EC-Pichincha (-0.0610,-78.7901)",Pichincha,1,-0.060983,-78.790054,1202,2,2019
1189050425,Cinclus leucocephalus,EC,Road between Santa Lucia and Maquipucuna,Pichincha,1,0.1232,-78.62168,1395,9,2014
3210092706,Cinclus leucocephalus,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,2,2001
2089845113,Cinclus leucocephalus,EC,Mindo--Vía al Cinto,Pichincha,2,-0.061568,-78.791115,1207,7,2017
961368680,Cinclus leucocephalus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,7,2013
3415610275,Cinclus leucocephalus,EC,,Pichincha,1,0.124141,-78.629103,1276,11,2021
2265893109,Cinclus leucocephalus,EC,,Pichincha,1,-0.051735,-78.629192,2207,3,2019
2725553340,Cinclus leucocephalus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,5,2010
3133314704,Cinclus leucocephalus,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,1,2020
1197907658,Cinclus leucocephalus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,8,2014
2189690905,Cinclus leucocephalus,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,2,-0.051046,-78.7784,1259,8,2018
2181858717,Cinclus leucocephalus,EC,"(-0.0470,-78.6332)",Pichincha,1,-0.047019,-78.633224,2160,7,2018
2724573722,Cinclus leucocephalus,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,11,2019
3254592326,Cinclus leucocephalus,EC,"Vía a Las Cascadas, Pichincha, EC (-0.069, -78.772)",Pichincha,1,-0.068654,-78.772064,1400,9,2020
3150131462,Cinclus leucocephalus,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,2,-0.017016,-78.65079,1867,2,2020
2657620480,Cinclus leucocephalus,EC,ECUADOR: Mindo Rd to Jardin Mariposa,Pichincha,1,-0.058638,-78.779976,1233,2,2019
2179420925,Cinclus leucocephalus,EC,"(0.016, -78.886)",Pichincha,3,0.016096,-78.88625,840,8,2018
3678370893,Cinclus leucocephalus,EC,MAYU Guajalito Reserva & Lodge,Santo Domingo de los Tsáchilas,2,-0.247991,-78.804924,1873,11,2021
2124330980,Cinclus leucocephalus,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,2,-0.068914,-78.588905,2712,2,2018
977338487,Cinclus leucocephalus,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,1,-0.017016,-78.65079,1867,12,2013
2113196661,Cinclus leucocephalus,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,7,2014
1183704585,Cinclus leucocephalus,EC,Santa Lucia Lodge,Pichincha,2,0.118575,-78.61154,1881,7,2014
1357105331,Cinclus leucocephalus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,2,2015
2101171017,Cinclus leucocephalus,EC,Lower Tandayapa Valley,Pichincha,1,0.004678,-78.675606,1654,11,2004
3229103008,Cinclus leucocephalus,EC,Alambi Reserve,Pichincha,2,0.030789,-78.680565,1488,3,2020
3210969659,Cinclus leucocephalus,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,12,2020
3572732844,Cinclus leucocephalus,EC,"Nono-Tandayapa Rd., Pichincha, EC (-0.037, -78.638)",Pichincha,2,-0.036581,-78.6377,2167,11,2021
1772393317,Cinclus leucocephalus,EC,"Nono to Tandayapa Road, -0.0560x-78.6154 - Oct 3, 2016, 2:13 PM",Pichincha,1,-0.055963,-78.615425,2321,10,2016
1402724687,Cinclus leucocephalus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,12,2015
2677427813,Cinclus leucocephalus,EC,"(-0.0099,-78.6800)",Pichincha,1,-0.009886,-78.67997,1946,2,2019
3620490532,Cinclus leucocephalus,EC,Ruta de los Tubos,Santo Domingo de los Tsáchilas,1,-0.322741,-78.99407,787,5,2021
1782486599,Cinclus leucocephalus,EC,Reserva Maquipucuna,Pichincha,2,0.120898,-78.63837,1310,12,2016
2123460210,Cinclus leucocephalus,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,12,2004
3217203073,Cinclus leucocephalus,EC,Alambi Reserve,Pichincha,2,0.030789,-78.680565,1488,1,2020
1376407999,Cinclus leucocephalus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,6,2015
3517474145,Cinclus leucocephalus,EC,Reserva Río Bravo,Pichincha,1,-0.078083,-78.731995,1583,5,2021
3273845393,Cinclus leucocephalus,EC,Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.00206,-78.68189,2048,12,2007
2196749527,Cinclus leucocephalus,EC,"Middle Chiriboga Road (subtropical zone, <1850m, provincia de Santo Domingo)",Santo Domingo de los Tsáchilas,1,-0.246333,-78.809875,1898,11,2009
3158061895,Cinclus leucocephalus,EC,San Jose Farm,Pichincha,1,-0.000663,-78.68726,2233,5,2020
2226899247,Cinclus leucocephalus,EC,"(-0.0582,-78.7800) Rio Nambillo River / Mindo Valley",Pichincha,1,-0.058175,-78.780014,1232,11,2018
1753644734,Cinclus leucocephalus,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,1,-0.017016,-78.65079,1867,8,2007
2135347235,Cinclus leucocephalus,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,4,2018
828380563,Cinclus leucocephalus,EC,El Refugio,Imbabura,2,0.366709,-78.54684,1922,10,2012
1208683214,Cinclus leucocephalus,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,1,-0.017016,-78.65079,1867,2,2010
2729349029,Cinclus leucocephalus,EC,Reserva las Tangaras,Pichincha,2,-0.077419,-78.76933,1427,3,2019
2229196384,Cinclus leucocephalus,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,9,2010
2732153806,Cinclus leucocephalus,EC,Mirador de Guaycapi,Pichincha,2,0.031714,-78.68125,1494,2,2019
2716672194,Cinclus leucocephalus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,10,2019
