gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1764775626,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,9,2016
1208392685,Cinnycerthia unirufa,EC,Guarumos Transecto control P05,Pichincha,2,-0.04347,-78.64967,2606,3,2008
2797606527,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,11,2019
3145000540,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,2,2020
2223832057,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,12,2018
1190857279,Cinnycerthia unirufa,EC,Campanario Transecto control P01,Pichincha,2,-0.03425,-78.66342,2546,6,2007
3681654444,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,8,2021
1208338698,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2007
1190926904,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P11,Pichincha,2,-0.0465,-78.65397,2664,7,2004
3585415037,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,12,2021
1190924598,Cinnycerthia unirufa,EC,Campanario Transecto control P02,Pichincha,2,-0.03314,-78.66414,2541,6,2007
3214312110,Cinnycerthia unirufa,EC,"Upper Chiriboga Rd. (upper subtropical and temperate zone, >2500m)",Pichincha,2,-0.279515,-78.69269,2491,12,2020
1208294512,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P08,Pichincha,2,-0.04933,-78.65,2580,2,2008
1190808386,Cinnycerthia unirufa,EC,Guarumos Transecto control P02,Pichincha,1,-0.04556,-78.64794,2714,9,2003
1190795536,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P07,Pichincha,2,-0.04864,-78.64856,2580,9,2003
3137865173,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,1,2020
2194871059,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,7,2018
3271509125,Cinnycerthia unirufa,EC,Area de Protección y Conservación Cerro Blanco,Imbabura,1,0.209989,-78.34595,3209,6,2019
1190984375,Cinnycerthia unirufa,EC,Campanario Transecto control P02,Pichincha,1,-0.03314,-78.66414,2541,5,2004
2197273448,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,8,2018
1190838350,Cinnycerthia unirufa,EC,Guarumos Transecto control P02,Pichincha,2,-0.04556,-78.64794,2714,6,2004
3521998326,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,5,2021
1158277226,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,2,2014
2742597642,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2004
583839941,Cinnycerthia unirufa,EC,"nono-tandayapa rd, ecuador",Pichincha,1,-0.046692,-78.63464,2157,6,2005
1190823233,Cinnycerthia unirufa,EC,Guarumos Transecto control P05,Pichincha,2,-0.04347,-78.64967,2606,1,2004
1778834863,Cinnycerthia unirufa,EC,Area de Protección y Conservación Cerro Blanco,Imbabura,1,0.209989,-78.34595,3209,12,2016
2038301784,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,2,2017
1190901653,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P09,Pichincha,2,-0.04892,-78.65133,2622,5,2008
1751258101,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,7,2016
1190858743,Cinnycerthia unirufa,EC,Guarumos Transecto control P03,Pichincha,1,-0.04425,-78.64864,2601,3,2005
1190928900,Cinnycerthia unirufa,EC,Guarumos Transecto control P03,Pichincha,1,-0.04425,-78.64864,2601,12,2007
1190797097,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P08,Pichincha,2,-0.04933,-78.65,2580,4,2008
1190981771,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P10,Pichincha,2,-0.04753,-78.65253,2661,1,2007
2710974514,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,8,2019
1190796695,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P05,Pichincha,2,-0.04844,-78.64581,2581,1,2004
1190848873,Cinnycerthia unirufa,EC,Guarumos Transecto control P04,Pichincha,2,-0.0435,-78.64925,2572,3,2008
1766357364,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,6,2002
2724978388,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,14,-0.111752,-78.584694,3528,8,2009
1190628080,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P10,Pichincha,2,-0.04753,-78.65253,2661,3,2007
1776706060,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,11,2016
1190984860,Cinnycerthia unirufa,EC,"Chiquilpe Transecto impacto, Punto 7",Pichincha,1,-0.024,-78.594,2629,11,2003
971643657,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,7,2008
1190846950,Cinnycerthia unirufa,EC,Campanario Transecto control P04,Pichincha,2,-0.03086,-78.66378,2499,8,2007
1190965108,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P08,Pichincha,2,-0.04933,-78.65,2580,1,2007
1190692713,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P06,Pichincha,2,-0.04781,-78.64708,2589,7,2008
2664284550,Cinnycerthia unirufa,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,3,2019
1190883361,Cinnycerthia unirufa,EC,"Hacienda Verdecocha, Reserva Privada",Pichincha,1,-0.120667,-78.597664,3351,3,2007
1190978891,Cinnycerthia unirufa,EC,Guarumos Transecto impacto P09,Pichincha,1,-0.04892,-78.65133,2622,6,2002
