gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2265907365,Coeligena wilsoni,EC,,Pichincha,1,0.106894,-78.628765,1608,6,2019
2243597920,Coeligena wilsoni,EC,"Reserva Las Tangaras, Mindo, Pichincha",,1,-0.081,-78.7679,1349,12,2013
2243560136,Coeligena wilsoni,EC,"Mashpi Road, Pichincha",,1,0.1612,-78.8492,1366,6,2012
2796858747,Coeligena wilsoni,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,11,2019
2742080903,Coeligena wilsoni,EC,Mindo Lindo,Pichincha,4,-0.024389,-78.76986,1647,4,2019
3644309213,Coeligena wilsoni,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,11,2021
1202706858,Coeligena wilsoni,EC,"Equateur, Las Gralarias",Pichincha,1,-0.055697,-78.720985,1783,3,2007
2793503393,Coeligena wilsoni,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,4,2019
2739043645,Coeligena wilsoni,EC,"(0,1601,-78,8563)",Pichincha,1,0.160116,-78.856316,1270,4,2019
1201747215,Coeligena wilsoni,EC,Reserva Bellavista--general area,Pichincha,2,-0.016544,-78.68791,2278,12,2003
1794823961,Coeligena wilsoni,EC,East Old Nono-Mindo Rd,Pichincha,1,-0.053215,-78.62846,2201,6,2011
1190636185,Coeligena wilsoni,EC,"Sachatamia Transecto impacto, Punto 2",Pichincha,2,-0.007,-78.757,1679,2,2003
2123474274,Coeligena wilsoni,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,12,2004
2085899268,Coeligena wilsoni,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,8,2017
2103748178,Coeligena wilsoni,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,1,-0.033302,-78.712814,2228,10,2017
3674363176,Coeligena wilsoni,EC,San Tadeo Birdwatching (Feeders),Pichincha,2,-0.029472,-78.751816,1731,12,2021
1784305375,Coeligena wilsoni,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,9,2014
3572169532,Coeligena wilsoni,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2021
2106032113,Coeligena wilsoni,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,7,2016
977956580,Coeligena wilsoni,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,11,2013
2672883005,Coeligena wilsoni,EC,Mirador de Guaycapi,Pichincha,1,0.031714,-78.68125,1494,5,2019
2696767223,Coeligena wilsoni,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,9,2019
2447944248,Coeligena wilsoni,EC,,Pichincha,1,-0.063126,-78.766098,1293,9,2010
3031751587,Coeligena wilsoni,EC,,Pichincha,1,-0.010691,-78.730799,2059,1,2017
3391335149,Coeligena wilsoni,EC,,Pichincha,1,0.118406,-78.61208,1883,10,2021
2988334612,Coeligena wilsoni,EC,,Pichincha,1,-0.030288,-78.763805,1538,1,2020
257162232,Coeligena wilsoni,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,11,2005
2101239340,Coeligena wilsoni,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,8,2005
2753797962,Coeligena wilsoni,EC,San Tadeo Birdwatching (Feeders),Pichincha,2,-0.029472,-78.751816,1731,9,2019
3255582984,Coeligena wilsoni,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,2,2013
