gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2988481479,Colaptes rivolii,EC,,Pichincha,1,-0.086689,-78.598677,3077,11,2020
2243870559,Colaptes rivolii,EC,"Yanacocha reserve, Pichincha",,1,-0.1667,-78.5834,4211,4,2001
2243778748,Colaptes rivolii,EC,"Tandayapa Bird Lodge, Tandayapa Valley, Pichincha",,1,0.01,-78.6776,1702,3,2001
2243609735,Colaptes rivolii,EC,"Recinto 23 de Junio, Pichincha",,1,-0.0301,-78.876,1114,7,2014
3549629297,Colaptes rivolii,EC,Tumbaco--Restaurante Chiche,Pichincha,1,-0.202274,-78.37398,2402,10,2021
3520882783,Colaptes rivolii,EC,"506 Avenida de los Conquistadores, Quito, Pichincha, EC (-0.198, -78.473)",Pichincha,1,-0.197637,-78.47333,2601,5,2021
1190950886,Colaptes rivolii,EC,Campanario Transecto control P01,Pichincha,1,-0.03425,-78.66342,2546,9,2003
2609343797,Colaptes rivolii,EC,,Pichincha,1,-0.015424,-78.68657,2330,11,2018
4034633818,Colaptes rivolii,EC,,Pichincha,1,-0.019717,-78.686228,2353,1,2023
3547059055,Colaptes rivolii,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,10,2021
584038030,Colaptes rivolii,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,1,2008
2756524632,Colaptes rivolii,EC,"8 Río San Pedro, Quito, Pichincha, EC (-0,2, -78,375)",Pichincha,1,-0.199972,-78.375496,2405,4,2019
3575558383,Colaptes rivolii,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,7,2021
260557017,Colaptes rivolii,EC,Reserva Las Gralarias,Pichincha,1,-0.014162,-78.72983,2090,10,2007
1411367433,Colaptes rivolii,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,8,2015
3253204033,Colaptes rivolii,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,1,2020
2052946677,Colaptes rivolii,EC,Hacienda Puyucunapi,Pichincha,1,0.026042,-78.69709,1990,3,2017
2135584887,Colaptes rivolii,EC,Nanegalito--road to Refugio Paz de las Aves,Pichincha,1,0.030906,-78.71834,1707,2,2018
979842289,Colaptes rivolii,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,11,2007
2186410165,Colaptes rivolii,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,7,2018
3604223310,Colaptes rivolii,EC,"Middle Chiriboga Road (subtropical zone, <1850m, provincia de Santo Domingo)",Santo Domingo de los Tsáchilas,2,-0.246333,-78.809875,1898,2,2021
1717974812,Colaptes rivolii,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,2,2016
2237521982,Colaptes rivolii,EC,,Pichincha,1,-0.073203,-78.75432,1349,1,2012
961994545,Colaptes rivolii,EC,Bellavista Lodge area,Pichincha,1,-0.032618,-78.74892,1652,8,2013
2796507555,Colaptes rivolii,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,1,-0.017016,-78.65079,1867,1,2010
3660197188,Colaptes rivolii,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,12,2021
1189837018,Colaptes rivolii,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,9,2014
1180620892,Colaptes rivolii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2014
1736750136,Colaptes rivolii,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,5,2016
2133586201,Colaptes rivolii,EC,Bellavista Cloud Forest Lodge,Pichincha,2,-0.015922,-78.681206,2242,7,2016
2742160439,Colaptes rivolii,EC,Laguna de Cuicocha,Imbabura,1,0.30257,-78.36251,3069,6,2019
3694638276,Colaptes rivolii,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,1,-0.033302,-78.712814,2228,7,2001
2123107786,Colaptes rivolii,EC,Bellavista Lodge,Pichincha,1,-0.0143,-78.6771,2071,2,2011
2688374865,Colaptes rivolii,EC,"Pichincha, EC (0,118, -78,612)",Pichincha,1,0.118401,-78.612206,1883,4,2019
2660752675,Colaptes rivolii,EC,Road to Rumiloma,Pichincha,1,-0.176639,-78.52491,3215,3,2019
3570989518,Colaptes rivolii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2021
962866597,Colaptes rivolii,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,12,2005
2658251850,Colaptes rivolii,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,1,2019
2123383824,Colaptes rivolii,EC,Upper Tandayapa Valley,Pichincha,1,-0.014162,-78.67891,2126,11,2001
3235421602,Colaptes rivolii,EC,Puembo Birding Garden,Pichincha,1,-0.165593,-78.36133,2422,2,2020
3670693721,Colaptes rivolii,EC,Cañón del río San Pedro,Pichincha,1,-0.278455,-78.45154,2399,12,2021
261688149,Colaptes rivolii,EC,Upper Tandayapa Valley,Pichincha,1,0.030212,-78.69507,1878,12,2008
3582832950,Colaptes rivolii,EC,Bosque Protector Jerusalem,Pichincha,3,0.000833,-78.355,2295,10,2021
2127329479,Colaptes rivolii,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,2,2018
