gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2113463206,Colonia colonus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,6,2017
3264993976,Colonia colonus,EC,"vía al Pachijal, Pichincha, EC (0,026, -78,858)",Pichincha,1,0.025522,-78.85767,1170,8,2020
3256515417,Colonia colonus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,4,2020
2037523442,Colonia colonus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,3,2017
1755997433,Colonia colonus,EC,San Lorenzo Road,Pichincha,1,-0.056386,-78.75165,1743,9,2013
262427236,Colonia colonus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2009
3265307363,Colonia colonus,EC,Río Pachijal Road,Pichincha,1,0.074229,-78.90523,791,8,2020
2189990434,Colonia colonus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2018
2084171111,Colonia colonus,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,7,2017
2731699541,Colonia colonus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2019
2079264378,Colonia colonus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,6,2017
3273730129,Colonia colonus,EC,"Auto selected 0.02529, -78.85748",Pichincha,1,0.02529,-78.85748,1175,8,2020
2212084367,Colonia colonus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,12,2018
944802400,Colonia colonus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2003
3295356624,Colonia colonus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2020
2059084330,Colonia colonus,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,6,2017
2192559829,Colonia colonus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2018
3294709232,Colonia colonus,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,11,2020
2203594075,Colonia colonus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,6,2018
3187968304,Colonia colonus,EC,"Finca La Cauchera,Pichincha, EC (0,214, -79,137)",Pichincha,1,0.214177,-79.13706,388,10,2020
3287500488,Colonia colonus,EC,"Vía a Masphi, Pichincha, EC (0.181, -78.912)",Pichincha,1,0.180546,-78.91152,514,4,2020
2769549113,Colonia colonus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,12,2014
3270430426,Colonia colonus,EC,"vía al Pachijal, Pichincha, EC (0,026, -78,858)",Pichincha,1,0.025522,-78.85767,1170,7,2020
976316851,Colonia colonus,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,3,2005
2054389632,Colonia colonus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,3,2017
1709424902,Colonia colonus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2016
