gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1806054936,Columba livia,EC,UTM50_17M_0750_9950,,1,-0.333676,-78.440674,2504,12,2017
2174517406,Columba livia,EC,Areas between Quito and Yanacocha,Pichincha,6,-0.102763,-78.54394,3358,2,2004
2150254006,Columba livia,EC,San Miguel de Los Bancos--vicinity,Pichincha,2,0.02274,-78.89481,1078,4,2018
3547142014,Columba livia,EC,Mindo--El Descanso Lodge,Pichincha,3,-0.054754,-78.777405,1241,6,2021
3275418464,Columba livia,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,4,-0.186515,-78.48579,2776,7,2020
2662650488,Columba livia,EC,"(-0.1811,-78.3499)",Pichincha,16,-0.181146,-78.34994,2454,1,2019
585742562,Columba livia,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,9,2011
2173783759,Columba livia,EC,Mindo--El Descanso Lodge,Pichincha,1,-0.054754,-78.777405,1241,7,2018
1198767428,Columba livia,EC,Quito--general area (*Please consider using a more specific hotspot or personal location when possible.),Pichincha,1,-0.2238,-78.5133,2814,7,2009
3214468033,Columba livia,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,9,2007
2984542867,Columba livia,EC,,Pichincha,1,-0.091269,-78.525661,3047,11,2020
3343934636,Columba livia,EC,,Pichincha,1,-0.372158,-78.373396,2851,8,2021
2988320821,Columba livia,EC,,Pichincha,1,-0.077798,-78.989397,733,11,2020
2172515761,Columba livia,EC,Mindo--center,Pichincha,1,-0.052807,-78.77473,1250,5,2018
3204492303,Columba livia,EC,Lago San Pablo--Parque Acuático Araque,Imbabura,5,0.205291,-78.20698,2659,12,2020
3201874920,Columba livia,EC,"Avenida Quito, Pichincha, EC (-0.054, -78.778)",Pichincha,5,-0.054221,-78.77779,1247,10,2020
3144812198,Columba livia,EC,"Edificio Suecia, Quito",Pichincha,21,-0.179185,-78.48132,2783,1,2020
4028884502,Columba livia,EC,,Pichincha,1,-0.214179,-78.502586,2816,2,2023
3988448227,Columba livia,EC,,Pichincha,1,-0.328968,-78.44813,2512,12,2022
2518154922,Columba livia,EC,,Pichincha,1,-0.220384,-78.515288,2838,1,2019
3994116893,Columba livia,EC,,Pichincha,1,-0.3286,-78.448594,2504,12,2022
1993723061,Columba livia,EC,,Pichincha,1,-0.223888,-78.513017,2813,2,2019
1717485646,Columba livia,EC,Puembo,Pichincha,1,-0.175266,-78.35866,2442,2,2016
2732854289,Columba livia,EC,zambiza,Pichincha,5,-0.148715,-78.44056,2603,1,2019
3666499706,Columba livia,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,4,2021
3171547111,Columba livia,EC,Parque Lineal Santa Clara,Pichincha,4,-0.330452,-78.441986,2498,6,2020
2688787445,Columba livia,EC,Quito--Parque Metropolitano Guangüiltagua,Pichincha,1,-0.182604,-78.4671,2928,11,2016
