gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3615809526,Columbina buckleyi,EC,"Valle Hermoso, Santo Domingo de los Tsáchilas",Santo Domingo de los Tsáchilas,4,-0.090019,-79.278824,260,2,2021
3176936679,Columbina buckleyi,EC,Bosque Provincial Kasama,Santo Domingo de los Tsáchilas,3,-0.252486,-79.14583,589,6,2020
2078210946,Columbina buckleyi,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,6,2017
3132683028,Columbina buckleyi,EC,"Vía Recinto San Gerardo Bajo, SN Miguel Bancos EC-Pichincha (0.1279,-79.2525)",Pichincha,2,0.12794,-79.252464,231,1,2020
2114899596,Columbina buckleyi,EC,Hotel Zaracay,Santo Domingo de los Tsáchilas,1,-0.248527,-79.15532,575,3,2005
3215972466,Columbina buckleyi,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,1,2019
3273249783,Columbina buckleyi,EC,Finca La Floreana,Santo Domingo de los Tsáchilas,2,-0.367045,-79.270454,329,10,2020
3547982282,Columbina buckleyi,EC,Centro Cultural Mushily,Santo Domingo de los Tsáchilas,1,-0.322233,-79.213486,427,9,2021
2658749434,Columbina buckleyi,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,2,2019
2151412260,Columbina buckleyi,EC,"Ruta Flor del valle, Provincia de Santo Domingo de los Tsáchilas, EC (-0.088, -79.275)",Santo Domingo de los Tsáchilas,3,-0.087926,-79.27479,288,4,2018
3194898376,Columbina buckleyi,EC,Centro Cultural Mushily,Santo Domingo de los Tsáchilas,2,-0.322233,-79.213486,427,11,2020
3610261648,Columbina buckleyi,EC,Sendero Frutti Tour & Birdwatching,Pichincha,1,0.08146,-79.05632,595,8,2021
2793926272,Columbina buckleyi,EC,Recinto la Magdalena,Santo Domingo de los Tsáchilas,1,-0.286986,-79.0295,867,10,2019
3203391015,Columbina buckleyi,EC,Bosque Provincial Kasama,Santo Domingo de los Tsáchilas,2,-0.252486,-79.14583,589,12,2020
3179204646,Columbina buckleyi,EC,"138 Avenida Río Lelia, Santo Domingo, Provincia de Santo Domingo de los Tsáchilas, EC (-0,251, -79,154)",Santo Domingo de los Tsáchilas,3,-0.250788,-79.15395,568,7,2020
2192621174,Columbina buckleyi,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,7,2018
3162154959,Columbina buckleyi,EC,"6 jun. 2020 10:05--0,237, -79,162",Santo Domingo de los Tsáchilas,1,-0.237365,-79.16202,559,6,2020
3233524228,Columbina buckleyi,EC,Bosque Provincial Kasama,Santo Domingo de los Tsáchilas,2,-0.252486,-79.14583,589,3,2020
2754593391,Columbina buckleyi,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2019
3260618450,Columbina buckleyi,EC,"Vía el Achiote, Pichincha, EC (0.113, -79.237)",Pichincha,2,0.113319,-79.23691,160,10,2020
3255020698,Columbina buckleyi,EC,Finca Sisantu,Santo Domingo de los Tsáchilas,5,-0.171765,-79.345856,309,5,2020
980604029,Columbina buckleyi,EC,"Terminal terrestre, Santo Domingo de los Tsáchilas",Santo Domingo de los Tsáchilas,4,-0.25,-79.16,568,10,2011
3270056616,Columbina buckleyi,EC,"La Mina De La Piedra Del Vapor, Pichincha, EC (0.147, -79.324)",Pichincha,2,0.1466,-79.3241,157,10,2020
2786602184,Columbina buckleyi,EC,Rio Silanche--entrance road,Pichincha,7,0.108158,-79.13607,400,11,2019
3230186292,Columbina buckleyi,EC,Puerto Quito,Pichincha,6,0.116386,-79.26367,196,4,2020
3692183109,Columbina buckleyi,EC,"Vía Piedra de Vapor, Pichincha, EC (0.143, -79.312)",Pichincha,1,0.143305,-79.31244,145,8,2021
2231041298,Columbina buckleyi,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2018
2123419803,Columbina buckleyi,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,1,-0.299136,-79.0526,732,7,2004
2226493112,Columbina buckleyi,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,11,2018
3162181049,Columbina buckleyi,EC,Finca Sisantu,Santo Domingo de los Tsáchilas,3,-0.170801,-79.34543,303,5,2020
3234593749,Columbina buckleyi,EC,"Vía El Placer, San Antonio del Toachi",Santo Domingo de los Tsáchilas,2,-0.229103,-79.132286,573,5,2020
3619898401,Columbina buckleyi,EC,"Auto selected 0.11846, -79.23887",Pichincha,4,0.118458,-79.23887,133,5,2021
148543623,Columbina buckleyi,EC,San Miguel de Los Bancos--vicinity,Pichincha,1,0.02274,-78.89481,1078,8,2005
3259464458,Columbina buckleyi,EC,Bosque Provincial Kasama,Santo Domingo de los Tsáchilas,4,-0.252486,-79.14583,589,10,2020
2100273028,Columbina buckleyi,EC,Nueva Esperanza to Puerto Quito,Pichincha,1,0.101027,-79.2866,248,10,2017
3624563003,Columbina buckleyi,EC,Puerto Quito--Macallares,Pichincha,2,0.102935,-79.25522,248,11,2021
3301173381,Columbina buckleyi,EC,Centro Cultural Mushily,Santo Domingo de los Tsáchilas,2,-0.322233,-79.213486,427,12,2020
3628405368,Columbina buckleyi,EC,Barrio el Carmen Juan Eulogio,Santo Domingo de los Tsáchilas,4,-0.229335,-79.19641,496,1,2021
583987824,Columbina buckleyi,EC,"zEcuador, Pichincha - Colegio Adventista del Ecuador (CADE)",Santo Domingo de los Tsáchilas,2,-0.344007,-79.232025,384,2,2007
3185554991,Columbina buckleyi,EC,Cielo Roto. Puerto Quito,Pichincha,4,0.071924,-79.236725,319,10,2020
2691133297,Columbina buckleyi,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,7,2019
3290977118,Columbina buckleyi,EC,Bosque Provincial Kasama,Santo Domingo de los Tsáchilas,1,-0.252486,-79.14583,589,9,2020
3155163635,Columbina buckleyi,EC,"Vía a Chila, San Jacinto.",Santo Domingo de los Tsáchilas,5,-0.236685,-79.26759,403,5,2020
2766425620,Columbina buckleyi,EC,Puerto Quito--Macallares,Pichincha,1,0.102935,-79.25522,248,7,2019
2786550737,Columbina buckleyi,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,7,2019
2789511815,Columbina buckleyi,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2019
2697523180,Columbina buckleyi,EC,Comunidad Tsachila MU'SHILY,Santo Domingo de los Tsáchilas,2,-0.296389,-79.20629,481,7,2019
2716701878,Columbina buckleyi,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,12,2019
2720292754,Columbina buckleyi,EC,Puerto Quito--Macallares,Pichincha,1,0.102935,-79.25522,248,7,2019
3687390125,Columbina buckleyi,EC,Finca La Floreana,Santo Domingo de los Tsáchilas,2,-0.367045,-79.270454,329,10,2021
3580426520,Columbina buckleyi,EC,La Mina,Pichincha,6,0.147426,-79.32015,164,8,2021
3180824947,Columbina buckleyi,EC,"Vía 140 La Isla, Pichincha, EC (0,119, -79,234)",Pichincha,1,0.118908,-79.23436,111,7,2020
3220229459,Columbina buckleyi,EC,"Vía Recinto San Gerardo Bajo, SN Miguel Bancos EC-Pichincha (0.1279,-79.2525)",Pichincha,2,0.12794,-79.252464,231,1,2020
3679143966,Columbina buckleyi,EC,Centro Cultural Mushily,Santo Domingo de los Tsáchilas,2,-0.322233,-79.213486,427,6,2021
3266404315,Columbina buckleyi,EC,Bosque Provincial Kasama,Santo Domingo de los Tsáchilas,3,-0.252486,-79.14583,589,10,2020
3192943279,Columbina buckleyi,EC,Cielo Roto. Puerto Quito,Pichincha,2,0.071924,-79.236725,319,10,2020
2711805599,Columbina buckleyi,EC,Via a Piedra de Vapor,Pichincha,1,0.14665,-79.32621,129,12,2019
3652794403,Columbina buckleyi,EC,Lenguajeo (ASOANE) Nueva Esperanza,Pichincha,2,0.09108,-79.27806,234,10,2021
3288544280,Columbina buckleyi,EC,Finca La Floreana,Santo Domingo de los Tsáchilas,2,-0.367045,-79.270454,329,10,2020
3270572186,Columbina buckleyi,EC,"Av. Chone km 2,5 La Aurora",Santo Domingo de los Tsáchilas,3,-0.24604,-79.21441,497,5,2020
2164803034,Columbina buckleyi,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,5,2018
3599523968,Columbina buckleyi,EC,Finca la Floreana,Santo Domingo de los Tsáchilas,2,-0.352017,-79.27731,325,6,2021
2109314170,Columbina buckleyi,EC,Puerto Quito,Pichincha,2,0.116386,-79.26367,196,12,2017
3569326852,Columbina buckleyi,EC,Centro Cultural Mushily,Santo Domingo de los Tsáchilas,2,-0.322233,-79.213486,427,8,2021
3685598778,Columbina buckleyi,EC,Cabuyal,Pichincha,4,0.147075,-79.26828,131,10,2021
3158397211,Columbina buckleyi,EC,Finca Sisantu,Santo Domingo de los Tsáchilas,3,-0.170801,-79.34543,303,5,2020
3173891737,Columbina buckleyi,EC,"138 Avenida Río Lelia, Santo Domingo, Provincia de Santo Domingo de los Tsáchilas, EC (-0,251, -79,154)",Santo Domingo de los Tsáchilas,2,-0.250788,-79.15395,568,7,2020
