gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2641390538,Contopus cooperi,EC,,Pichincha,1,0.126339,-78.673414,1372,3,2020
1400740849,Contopus cooperi,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,4,2006
3295381737,Contopus cooperi,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,3,-0.186515,-78.48579,2776,10,2020
3142739793,Contopus cooperi,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,1,-0.050725,-78.772385,1274,3,2020
2657234416,Contopus cooperi,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
1765192555,Contopus cooperi,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,10,2016
2780474673,Contopus cooperi,EC,Bosque Protector Jerusalem,Pichincha,1,0.000833,-78.355,2295,10,2009
3194718615,Contopus cooperi,EC,Bosque El Dorado,Santo Domingo de los Tsáchilas,1,-0.213096,-78.950676,741,11,2020
2682157247,Contopus cooperi,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,4,2019
3563574958,Contopus cooperi,EC,Lower Chiriboga Road,Santo Domingo de los Tsáchilas,1,-0.310611,-78.907005,1166,2,2021
2089776487,Contopus cooperi,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,10,2017
2110851768,Contopus cooperi,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,11,2017
3581640185,Contopus cooperi,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,11,2021
2142627920,Contopus cooperi,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,2,2018
3509827046,Contopus cooperi,EC,Lower Chiriboga Road,Santo Domingo de los Tsáchilas,1,-0.310611,-78.907005,1166,2,2021
2185762214,Contopus cooperi,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,3,2018
2056288790,Contopus cooperi,EC,Via Las Cascadas,Pichincha,1,-0.067205,-78.77197,1389,3,2017
2211898796,Contopus cooperi,EC,Hacienda Rumiloma,Pichincha,1,-0.176159,-78.53123,3343,10,2018
1709175043,Contopus cooperi,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,2,-0.051046,-78.7784,1259,1,2016
2144289882,Contopus cooperi,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,4,2018
2218883305,Contopus cooperi,EC,Quinta de Goulaine,Pichincha,1,0.117095,-79.117516,487,11,2018
3216274618,Contopus cooperi,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2007
2659296677,Contopus cooperi,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
2767567607,Contopus cooperi,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,11,2019
1205893331,Contopus cooperi,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,2,2002
3592735946,Contopus cooperi,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,1,-0.299136,-79.0526,732,2,2021
1719696003,Contopus cooperi,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,3,2016
3205154316,Contopus cooperi,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,2,2002
1190920039,Contopus cooperi,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,11,2013
2147997280,Contopus cooperi,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,4,2018
1762377859,Contopus cooperi,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,3,2010
3217637647,Contopus cooperi,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,2,2020
2113120762,Contopus cooperi,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2017
