gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3456808827,Contopus fumigatus,EC,,Pichincha,1,0.02082,-78.709789,1834,8,2021
2848560155,Contopus fumigatus,EC,"Mindo, Pichincha",,1,-0.0266,-78.7423,1861,2,2020
2243611731,Contopus fumigatus,EC,"Recinto 23 de Junio, Pichincha",,1,-0.0301,-78.876,1114,7,2014
3387807991,Contopus fumigatus,EC,Niedrige Landschaften (Lowlands) nähe Arasha,,1,0.100909,-79.096443,530,11,2004
1777784913,Contopus fumigatus,EC,Bellavista--camino a la estación científica (research station road),Pichincha,2,-0.020999,-78.684425,2338,12,2016
3573829920,Contopus fumigatus,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,11,2021
3578589285,Contopus fumigatus,EC,Mashpi--Entrance road before gate,Pichincha,2,0.160629,-78.84993,1340,3,2019
1190972227,Contopus fumigatus,EC,"San Luis Transecto impacto, Punto 8",Pichincha,1,-0.017,-78.697,2366,10,2004
1190852005,Contopus fumigatus,EC,"Sachatamia Transecto impacto, Punto 10",Pichincha,1,-0.008,-78.758,1680,2,2005
2151068693,Contopus fumigatus,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2018
1190638985,Contopus fumigatus,EC,Guarumos Transecto control P01,Pichincha,1,-0.04692,-78.64769,2699,5,2007
2689188467,Contopus fumigatus,EC,Reserva Geobotánica Pululahua--general area,Pichincha,2,0.040374,-78.50293,2405,5,2019
3264494559,Contopus fumigatus,EC,Mashpi--Entrance road before gate,Pichincha,2,0.160629,-78.84993,1340,2,2020
3674858521,Contopus fumigatus,EC,Mindoloma Bird Lodge,Pichincha,1,-0.01163,-78.74401,1785,6,2021
1396691625,Contopus fumigatus,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,11,2015
2710783217,Contopus fumigatus,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,12,2008
2697134112,Contopus fumigatus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,6,2019
3575603516,Contopus fumigatus,EC,"Ecotura El Quinde, SN Miguel Bancos EC-Pichincha -0.02884, -78.74322",Pichincha,2,-0.028842,-78.743225,1890,10,2021
2227297319,Contopus fumigatus,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,2,2003
1717609742,Contopus fumigatus,EC,Reserva Las Gralarias,Pichincha,2,-0.011232,-78.73018,2061,2,2016
1749899219,Contopus fumigatus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,9,2012
2746647816,Contopus fumigatus,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,8,2019
3636039670,Contopus fumigatus,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,3,2021
2211155767,Contopus fumigatus,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,10,2018
1767071223,Contopus fumigatus,EC,Ecollacta,Pichincha,1,0.1171,-78.6409,1322,9,2016
3068017446,Contopus fumigatus,EC,,Pichincha,1,-0.017069,-78.650846,1873,2,2019
2225927136,Contopus fumigatus,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,12,2018
3220262351,Contopus fumigatus,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,3,-0.024804,-78.72448,2126,1,2020
3132190460,Contopus fumigatus,EC,cochapamba sur,Pichincha,1,-0.159294,-78.503174,2972,1,2020
1400102654,Contopus fumigatus,EC,Bellavista--camino a la estación científica (research station road),Pichincha,2,-0.020999,-78.684425,2338,12,2015
