gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2715709790,Crotophaga sulcirostris,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,10,2015
3513563749,Crotophaga sulcirostris,EC,Urbanización Brisas del Río--Santo Domingo de los Tsáchilas,Santo Domingo de los Tsáchilas,3,-0.211858,-79.1801,503,1,2021
3591668163,Crotophaga sulcirostris,EC,"Urbanización "" Las Bromelias""",Pichincha,5,0.079067,-79.0339,633,2,2021
3142239712,Crotophaga sulcirostris,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,7,0.20874,-78.73695,854,2,2020
3669220151,Crotophaga sulcirostris,EC,Urbanización Brisas del Río--Santo Domingo de los Tsáchilas,Santo Domingo de los Tsáchilas,3,-0.211858,-79.1801,503,1,2021
1748513068,Crotophaga sulcirostris,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,2,-0.049224,-78.776825,1268,4,2002
2800338531,Crotophaga sulcirostris,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,10,2015
2084610907,Crotophaga sulcirostris,EC,"Julio Moreno, Santo Domingo de los Colorados, Provincia de Santo Domingo de los Tsáchilas, EC (-0.346, -79.165)",Santo Domingo de los Tsáchilas,4,-0.345852,-79.164795,466,10,2017
2721553154,Crotophaga sulcirostris,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,10,2015
2101146772,Crotophaga sulcirostris,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,1,2004
3387856866,Crotophaga sulcirostris,EC,Tinalandia Lodge,,1,-0.308046,-79.038895,679,12,2004
3604056203,Crotophaga sulcirostris,EC,Caoni Riverside Suites,Pichincha,7,0.117549,-79.23913,118,7,2021
1166622639,Crotophaga sulcirostris,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,4,2014
3515222258,Crotophaga sulcirostris,EC,Bosque Provincial Kasama,Santo Domingo de los Tsáchilas,2,-0.252486,-79.14583,589,3,2021
3297498178,Crotophaga sulcirostris,EC,"Urbanización "" Las Bromelias""",Pichincha,3,0.079067,-79.0339,633,11,2020
1790597903,Crotophaga sulcirostris,EC,La Hesperia Biological Station,Pichincha,1,-0.347955,-78.86656,1262,9,2008
2029334022,Crotophaga sulcirostris,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,1,-0.299136,-79.0526,732,11,2003
2791102809,Crotophaga sulcirostris,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,9,2019
2726129023,Crotophaga sulcirostris,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,10,2015
1751826152,Crotophaga sulcirostris,EC,"Via al Cinto, Mindo",Pichincha,1,-0.047121,-78.77832,1296,12,2012
936955481,Crotophaga sulcirostris,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,2,-0.299136,-79.0526,732,11,2012
1400748794,Crotophaga sulcirostris,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,5,2006
3518187286,Crotophaga sulcirostris,EC,Urbanización Brisas del Río--Santo Domingo de los Tsáchilas,Santo Domingo de los Tsáchilas,3,-0.211858,-79.1801,503,1,2021
3208496943,Crotophaga sulcirostris,EC,Ruta de los Tubos,Santo Domingo de los Tsáchilas,2,-0.322741,-78.99407,787,12,2020
2784901896,Crotophaga sulcirostris,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,10,2015
2071329210,Crotophaga sulcirostris,EC,Global Big Day - Comuna Unión Carchence - Santo Domingo,Santo Domingo de los Tsáchilas,1,-0.346188,-79.165855,466,5,2017
3606953637,Crotophaga sulcirostris,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,2,0.20874,-78.73695,854,3,2021
1752436155,Crotophaga sulcirostris,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,2,-0.049224,-78.776825,1268,4,2002
3224739595,Crotophaga sulcirostris,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,7,0.20874,-78.73695,854,2,2020
3518529677,Crotophaga sulcirostris,EC,Bosque Provincial Kasama,Santo Domingo de los Tsáchilas,2,-0.252486,-79.14583,589,3,2021
2101200199,Crotophaga sulcirostris,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,1,-0.299136,-79.0526,732,7,2004
1193313772,Crotophaga sulcirostris,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,11,2008
2792387568,Crotophaga sulcirostris,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,10,2015
1400746142,Crotophaga sulcirostris,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,4,2006
3225158880,Crotophaga sulcirostris,EC,Puerto Quito,Pichincha,7,0.116386,-79.26367,196,1,2020
2114901982,Crotophaga sulcirostris,EC,Hotel Zaracay,Santo Domingo de los Tsáchilas,2,-0.248527,-79.15532,575,12,2004
3672506255,Crotophaga sulcirostris,EC,Urbanización Brisas del Río--Santo Domingo de los Tsáchilas,Santo Domingo de los Tsáchilas,3,-0.211858,-79.1801,503,1,2021
