gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
273214852,Cyanocompsa cyanoides,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,3,2010
2192320386,Cyanocompsa cyanoides,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,8,2018
1202528813,Cyanocompsa cyanoides,EC,"Equateur, Pedro Vicente Maldonado",Pichincha,1,0.085053,-79.05508,594,11,2005
584788586,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2010
3567539488,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2021
1727174798,Cyanocompsa cyanoides,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,2,2016
1752710312,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2013
2178143130,Cyanocompsa cyanoides,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,8,2018
3144167910,Cyanocompsa cyanoides,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,1,2020
2087990362,Cyanocompsa cyanoides,EC,Reserva Río Manduriacu,Imbabura,2,0.31026,-78.85736,1213,8,2017
2117369989,Cyanocompsa cyanoides,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2018
275142848,Cyanocompsa cyanoides,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,3,2010
3215944104,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2014
2691498388,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,8,2019
1351493342,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2015
2218539083,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2018
2228955943,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2018
2692613482,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,8,2019
2675784971,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2015
3672645034,Cyanocompsa cyanoides,EC,Pais Tropical,Pichincha,1,0.17327,-78.93343,543,12,2021
1178048743,Cyanocompsa cyanoides,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,2,-0.051046,-78.7784,1259,6,2014
961986761,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,5,2012
1178825581,Cyanocompsa cyanoides,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,3,-0.051046,-78.7784,1259,6,2014
2745784284,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
2218028353,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2018
1165334742,Cyanocompsa cyanoides,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,3,2014
1167171437,Cyanocompsa cyanoides,EC,Mindo--Las Mariposas,Pichincha,3,-0.045619,-78.77948,1300,4,2014
2670923707,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2019
3388911025,Cyanocompsa cyanoides,EC,Tinalandia Lodge,,1,-0.308046,-79.038895,679,12,2004
1794579611,Cyanocompsa cyanoides,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,10,2009
2130304039,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2013
2105394846,Cyanocompsa cyanoides,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,7,2017
2742658011,Cyanocompsa cyanoides,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,7,2004
3610773015,Cyanocompsa cyanoides,EC,Finca La Consentida Luis Palacios,Pichincha,1,0.101053,-79.24222,236,11,2021
1792222059,Cyanocompsa cyanoides,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,9,2011
3627982738,Cyanocompsa cyanoides,EC,Sendero Frutti Tour & Birdwatching,Pichincha,1,0.08146,-79.05632,595,11,2021
2793352719,Cyanocompsa cyanoides,EC,"San Pablo de Lago, Ecuador",Imbabura,1,0.209965,-78.20858,2670,5,2003
2697169567,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2019
3281798570,Cyanocompsa cyanoides,EC,"Bamburé, Reserva privada",Pichincha,2,0.101075,-79.20286,162,9,2020
2677255854,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2018
1378678028,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2015
2220337181,Cyanocompsa cyanoides,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,11,2018
825340604,Cyanocompsa cyanoides,EC,MIndo Junction & Mindo Road,Pichincha,1,-0.027466,-78.76001,1678,9,2007
2658959362,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2019
1751598717,Cyanocompsa cyanoides,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,12,2015
2733925113,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
2759654538,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2018
2208770144,Cyanocompsa cyanoides,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,11,2018
3664640920,Cyanocompsa cyanoides,EC,Finca La Consentida Luis Palacios,Pichincha,1,0.101053,-79.24222,236,11,2021
2123437895,Cyanocompsa cyanoides,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2004
2052661726,Cyanocompsa cyanoides,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,3,2017
3575451202,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2021
2773136943,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
2719269693,Cyanocompsa cyanoides,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.195715,-78.872116,766,10,2019
2731915677,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2019
1166347877,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,4,2014
1791816323,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2000
3518331977,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,5,2021
2742087057,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2015
2709205477,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2019
2798999146,Cyanocompsa cyanoides,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,7,2017
1202704430,Cyanocompsa cyanoides,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,10,2009
3291792524,Cyanocompsa cyanoides,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,5,2020
3221821756,Cyanocompsa cyanoides,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,1,2020
1788866485,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2000
584738828,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2010
1359175040,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2015
1411066564,Cyanocompsa cyanoides,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,9,2006
2118312285,Cyanocompsa cyanoides,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,3,2003
1353762669,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2015
1789451254,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2011
1202154972,Cyanocompsa cyanoides,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,2,2004
3204794633,Cyanocompsa cyanoides,EC,Centro de lenguajeo,Pichincha,2,0.084692,-79.24455,280,10,2020
3220828089,Cyanocompsa cyanoides,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,1,2020
2730596862,Cyanocompsa cyanoides,EC,Rio Silanche,Pichincha,1,0.144917,-79.1413,408,3,2019
3230317594,Cyanocompsa cyanoides,EC,Itapoa Project Puerto Quito,Pichincha,2,0.122808,-79.27116,128,1,2020
2227189715,Cyanocompsa cyanoides,EC,cabanas del rio puerto quito,Pichincha,1,0.123392,-79.27017,132,4,2005
584730053,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2010
1187651000,Cyanocompsa cyanoides,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,8,2014
1363009403,Cyanocompsa cyanoides,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,4,2015
584090848,Cyanocompsa cyanoides,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2008
2705108190,Cyanocompsa cyanoides,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.195715,-78.872116,766,10,2019
1777860328,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2013
2193861537,Cyanocompsa cyanoides,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,8,2018
1773305698,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2011
1784525793,Cyanocompsa cyanoides,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,12,2009
2791723843,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2019
3689888802,Cyanocompsa cyanoides,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2016
2219694943,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2018
1372136944,Cyanocompsa cyanoides,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,6,2015
2156452704,Cyanocompsa cyanoides,EC,Santo Domingo de las Tsáchilas--city (*For historical checklists; please use a more precise location when possible),Santo Domingo de los Tsáchilas,1,-0.254899,-79.17269,562,4,2018
2229217271,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2015
2216677538,Cyanocompsa cyanoides,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,10,2018
2668476214,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
1771253067,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2011
2145461636,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,4,2018
943871427,Cyanocompsa cyanoides,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,3,2013
1387944905,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2015
1379623973,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2015
1400735604,Cyanocompsa cyanoides,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,5,2006
2801402281,Cyanocompsa cyanoides,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,8,2019
1371880023,Cyanocompsa cyanoides,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.195715,-78.872116,766,4,2015
2215279861,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2018
1353860827,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2015
3653917556,Cyanocompsa cyanoides,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,9,2021
3205715300,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2020
1717604484,Cyanocompsa cyanoides,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,2,2016
3585034876,Cyanocompsa cyanoides,EC,Refugio De Vida Silvestre Isla De Los Monos - Zoo Isla Del Tapir,Santo Domingo de los Tsáchilas,1,-0.120993,-79.26121,371,11,2021
1717499774,Cyanocompsa cyanoides,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2016
3186102959,Cyanocompsa cyanoides,EC,Centro de lenguajeo,Pichincha,2,0.084692,-79.24455,280,10,2020
586744591,Cyanocompsa cyanoides,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,2,2011
1179773112,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2014
584814350,Cyanocompsa cyanoides,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2010
