gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3558433593,Dacnis lineata,EC,Punto Ornitológico Mindo,Pichincha,2,-0.052496,-78.782295,1231,12,2021
3162348446,Dacnis lineata,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,4,2020
975857503,Dacnis lineata,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,12,2013
2166397996,Dacnis lineata,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,6,2018
2701306732,Dacnis lineata,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,10,2019
3149022387,Dacnis lineata,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,1,2020
3141977640,Dacnis lineata,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2020
584003954,Dacnis lineata,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2007
2802553858,Dacnis lineata,EC,,Pichincha,1,-0.064502,-78.768552,1278,2,2020
2736570898,Dacnis lineata,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Imbabura,1,0.226039,-78.72564,730,3,2019
3555361042,Dacnis lineata,EC,Rancho El Dorado,Pichincha,1,0.128205,-79.19097,335,2,2021
2704915308,Dacnis lineata,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,7,2019
2104551600,Dacnis lineata,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2017
1788746527,Dacnis lineata,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,1,2016
2126455823,Dacnis lineata,EC,Represa Hidroeléctrica Manduriacu,Imbabura,6,0.215744,-78.90205,482,1,2018
2672770979,Dacnis lineata,EC,"Vía al mariposario, SN Miguel Bancos EC-Pichincha (-0.0588,-78.7711)",Pichincha,1,-0.0588,-78.771095,1267,2,2019
2675782462,Dacnis lineata,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,3,2019
3219580615,Dacnis lineata,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2020
3005129672,Dacnis lineata,EC,,Pichincha,1,0.145612,-79.140327,422,12,2020
3773372376,Dacnis lineata,EC,,Pichincha,1,0.144916,-79.141299,408,6,2016
2045025346,Dacnis lineata,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,3,2017
3633627501,Dacnis lineata,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,3,-0.049224,-78.776825,1268,11,2016
