gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2988287883,Dendrocincla fuliginosa,EC,,Pichincha,1,-0.051254,-78.772305,1275,12,2013
3813656660,Dendrocincla fuliginosa,EC,"Finca Cuatro Rios, San Miguel de Los Bancos, Pichincha",,1,0.0742,-78.9817,767,4,2001
2243650639,Dendrocincla fuliginosa,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,4,2015
2243561284,Dendrocincla fuliginosa,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,4,2011
3659948325,Dendrocincla fuliginosa,EC,Mindo--Vía a Cunuco,Pichincha,1,-0.051862,-78.783066,1228,10,2021
2178837586,Dendrocincla fuliginosa,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,10,2014
2085992205,Dendrocincla fuliginosa,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,8,2017
3184885748,Dendrocincla fuliginosa,EC,Valentura,Pichincha,1,0.050597,-78.88076,1071,7,2020
1405254146,Dendrocincla fuliginosa,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,12,2015
1378747988,Dendrocincla fuliginosa,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,7,2015
2799942944,Dendrocincla fuliginosa,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
3176247561,Dendrocincla fuliginosa,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,2,0.05295,-78.84311,1177,6,2020
1794824018,Dendrocincla fuliginosa,EC,Milpe Bird Sanctuary,Pichincha,2,0.028496,-78.85403,1115,6,2011
1743926966,Dendrocincla fuliginosa,EC,Casa Divina Lodge Reserve,Pichincha,2,-0.06607,-78.76921,1294,6,2016
1751174880,Dendrocincla fuliginosa,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,7,2016
2113919495,Dendrocincla fuliginosa,EC,Mashpi Sendero Restauración,Pichincha,1,0.183213,-78.90909,534,1,2018
2771149235,Dendrocincla fuliginosa,EC,Reserva las Tangaras,Pichincha,2,-0.077419,-78.76933,1427,8,2019
3285572760,Dendrocincla fuliginosa,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,10,2020
1402803110,Dendrocincla fuliginosa,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,12,2015
2101217106,Dendrocincla fuliginosa,EC,Restaurante Los Colibríes,Pichincha,1,-0.057893,-78.7778,1235,12,2003
1201785670,Dendrocincla fuliginosa,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,12,2014
3223847190,Dendrocincla fuliginosa,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,3,2020
2793645955,Dendrocincla fuliginosa,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,10,2019
584788587,Dendrocincla fuliginosa,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,12,2010
3679171995,Dendrocincla fuliginosa,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,6,2021
2768225624,Dendrocincla fuliginosa,EC,Finca CHICAO--San Francisco De Silanche,Pichincha,4,0.157494,-79.22513,149,9,2019
2654452375,Dendrocincla fuliginosa,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,1,2019
